n,p,n_steps,time,bottom_reached
1,0.01,1,0.000314046,0
5,0.01,1,0.000389013,0
13,0.01,1,0.000668827,0
1,0.02,1,2.84649e-05,0
1,0.03,1,6.37025e-07,0
1,0.04,1,4.73112e-07,0
1,0.05,1,2.88524e-05,0
1,0.06,1,2.07871e-05,0
1,0.07,1,1.81124e-05,0
1,0.08,1,2.90982e-05,0
1,0.09,1,2.11522e-05,0
1,0.1,1,2.09659e-05,0
1,0.11,1,1.31652e-05,0
1,0.12,1,3.47905e-05,0
1,0.13,1,9.84222e-06,0
1,0.14,1,6.81728e-07,0
1,0.15,1,4.86597e-05,0
1,0.16,1,8.3074e-07,0
1,0.17,1,1.09896e-05,0
1,0.18,1,3.96185e-05,0
1,0.19,1,2.51271e-05,0
1,0.2,1,7.56234e-07,0
1,0.21,1,1.77547e-05,0
1,0.22,2,1.10641e-06,1
1,0.23,2,1.92709e-05,1
5,0.02,1,0.000441987,0
1,0.24,1,3.58671e-05,0
1,0.25,1,1.00657e-05,0
1,0.26,2,6.18398e-07,1
1,0.27,2,3.41013e-05,1
1,0.28,1,5.1029e-05,0
1,0.29,2,9.31323e-07,1
1,0.3,2,6.55651e-07,1
1,0.31,2,1.57095e-05,1
9,0.01,2,0.00129085,0
1,0.32,2,1.31503e-05,1
1,0.33,2,7.82311e-07,1
1,0.34,1,2.563e-05,0
1,0.35,2,2.69227e-05,1
1,0.36,2,1.92188e-05,1
1,0.37,1,3.49991e-05,0
1,0.38,2,1.98968e-05,1
1,0.39,1,2.95229e-05,0
1,0.4,1,6.8333e-05,0
1,0.41,1,2.65203e-05,0
1,0.42,2,1.35712e-05,1
1,0.43,1,1.29789e-05,0
1,0.44,1,5.80773e-05,0
1,0.45,2,1.14739e-06,1
5,0.03,1,0.000501812,0
1,0.46,1,2.44863e-05,0
1,0.47,2,6.92904e-07,1
1,0.48,2,1.09226e-05,1
1,0.49,2,2.96012e-05,1
1,0.5,2,8.56817e-07,1
1,0.51,2,4.54783e-05,1
1,0.52,2,2.19606e-05,1
1,0.53,2,5.99772e-07,1
1,0.54,1,1.08406e-06,0
1,0.55,2,7.00355e-07,1
1,0.56,1,3.20002e-05,0
9,0.02,2,0.000546772,0
1,0.57,1,1.00732e-05,0
1,0.58,2,1.25952e-05,1
1,0.59,1,6.25849e-07,0
1,0.6,2,4.04865e-05,1
1,0.61,2,1.98446e-05,1
1,0.62,2,1.05798e-06,1
1,0.63,2,2.98768e-05,1
13,0.02,1,0.00125496,0
5,0.04,1,0.000318445,0
1,0.64,1,3.70108e-05,0
1,0.65,1,2.64496e-05,0
1,0.66,1,1.19731e-05,0
1,0.67,2,1.97291e-05,1
1,0.68,2,1.8958e-05,1
1,0.69,2,9.89065e-06,1
1,0.7,2,2.11708e-05,1
1,0.71,2,1.22041e-05,1
1,0.72,1,2.10628e-05,0
1,0.73,2,5.28991e-07,1
1,0.74,2,7.22706e-07,1
1,0.75,1,8.77306e-06,0
1,0.76,2,1.40816e-06,1
1,0.77,2,1.77063e-05,1
1,0.78,2,9.49949e-06,1
1,0.79,2,2.95937e-05,1
1,0.8,2,5.21541e-07,1
1,0.81,2,5.17815e-07,1
1,0.82,2,2.22586e-05,1
1,0.83,1,2.13087e-05,0
1,0.839999,2,1.22227e-05,1
5,0.05,1,0.000316098,0
1,0.849999,2,2.02656e-05,1
1,0.859999,2,3.38554e-05,1
1,0.869999,2,1.47745e-05,1
1,0.879999,2,4.16301e-05,1
1,0.889999,2,7.59959e-07,1
1,0.899999,2,2.0206e-05,1
17,0.01,1,0.0024009,0
1,0.909999,2,9.33185e-06,1
1,0.919999,2,2.06642e-05,1
1,0.929999,2,1.03936e-06,1
1,0.939999,2,1.00955e-05,1
1,0.949999,2,1.17309e-05,1
9,0.03,1,0.000660907,0
1,0.959999,2,3.2939e-05,1
1,0.969999,2,1.35377e-05,1
1,0.979999,2,1.02334e-05,1
1,0.989999,2,1.34744e-05,1
1,0.999999,2,1.30534e-05,1
5,0.06,1,0.00030506,0
2,0.01,1,7.54297e-05,0
2,0.02,1,3.65973e-05,0
2,0.03,1,1.43051e-06,0
2,0.04,1,0.000139832,0
5,0.07,1,0.000240158,0
2,0.05,1,0.000144936,0
2,0.06,1,0.000107102,0
5,0.08,1,0.000276953,0
2,0.07,1,9.0111e-05,0
2,0.08,1,2.74628e-05,0
2,0.09,1,6.75097e-05,0
2,0.1,1,7.05644e-05,0
2,0.11,1,1.79932e-06,0
9,0.04,1,0.000867926,0
5,0.09,1,0.000258133,0
21,0.01,1,0.00339869,0
2,0.12,1,9.38438e-05,0
2,0.13,2,2.45981e-05,0
13,0.03,1,0.00152883,0
2,0.14,1,3.91938e-05,0
5,0.1,2,0.000165544,0
2,0.15,1,6.88992e-05,0
2,0.16,1,3.24063e-05,0
2,0.17,1,4.04753e-05,0
2,0.18,1,7.011e-05,0
2,0.19,2,4.42639e-05,0
2,0.2,1,1.90735e-06,0
9,0.05,1,0.000480451,0
5,0.11,2,0.000320733,0
2,0.21,1,9.20743e-05,0
2,0.22,1,5.32158e-05,0
2,0.23,1,0.000120938,0
2,0.24,2,1.95876e-05,0
2,0.25,4,2.8532e-05,1
2,0.26,1,4.93564e-05,0
5,0.12,1,0.000304732,0
2,0.27,2,0.000101384,0
2,0.28,2,5.43259e-05,0
2,0.29,2,2.11708e-05,0
2,0.3,3,2.11075e-05,1
2,0.31,3,3.72939e-05,1
2,0.32,3,1.25021e-05,1
2,0.33,1,2.81669e-05,0
5,0.13,2,0.000284549,0
2,0.34,4,6.09457e-05,1
2,0.35,1,3.23206e-05,0
2,0.36,2,1.12131e-05,0
13,0.04,2,0.00106168,0
2,0.37,2,7.1194e-05,0
2,0.38,4,5.164e-05,1
9,0.06,1,0.000834145,0
5,0.14,2,0.000266097,0
2,0.39,3,8.15094e-05,1
5,0.15,2,0.000102341,0
2,0.4,2,0.000102114,0
2,0.41,1,1.47521e-06,0
2,0.42,2,1.88984e-05,0
2,0.43,1,6.62208e-05,0
2,0.44,3,1.24425e-06,1
2,0.45,1,7.07321e-05,0
2,0.46,3,1.78441e-06,1
25,0.01,1,0.00506764,0
2,0.47,3,4.47035e-05,1
5,0.16,2,0.000281405,0
2,0.48,2,5.77047e-05,0
9,0.07,2,0.000562128,0
2,0.49,1,0.000146728,0
2,0.5,4,2.31899e-05,1
2,0.51,2,0.000134595,0
2,0.52,4,1.51247e-06,1
17,0.02,2,0.00304378,0
5,0.17,1,0.000422653,0
2,0.53,4,9.71109e-05,1
2,0.54,3,2.66396e-05,1
2,0.55,3,3.3956e-05,1
2,0.56,2,4.32171e-05,0
5,0.18,1,0.000117421,0
2,0.57,2,4.64208e-05,0
2,0.58,3,1.34185e-05,1
2,0.59,3,9.37097e-05,1
2,0.6,2,3.25665e-05,0
2,0.61,2,2.18116e-05,0
2,0.62,3,0.000106946,1
9,0.08,2,0.000728723,0
2,0.63,3,2.29441e-05,1
5,0.19,4,0.000355348,0
2,0.64,2,0.000103746,0
13,0.05,1,0.00157923,0
2,0.65,3,4.44055e-05,1
21,0.02,2,0.00286674,0
5,0.2,2,0.000246078,0
2,0.66,2,0.000122905,0
2,0.67,2,3.59453e-05,0
2,0.68,3,1.17868e-05,1
2,0.69,2,5.21615e-05,0
5,0.21,1,0.000139397,0
2,0.7,4,4.16189e-05,1
2,0.71,3,3.36394e-05,1
2,0.72,3,4.49903e-05,1
2,0.73,3,7.55787e-05,1
2,0.74,3,3.88622e-05,1
2,0.75,4,1.99676e-06,1
2,0.76,4,1.34856e-06,1
5,0.22,1,0.000243586,0
2,0.77,3,4.12203e-05,1
9,0.09,1,0.000742301,0
2,0.78,4,8.02875e-05,1
5,0.23,2,0.000234034,0
2,0.79,2,0.000156231,0
2,0.8,3,7.76984e-05,1
9,0.1,1,0.000325467,0
2,0.81,2,6.13518e-05,0
5,0.24,2,0.000181664,0
2,0.82,3,0.000115443,1
2,0.83,1,5.84945e-05,0
17,0.03,2,0.00179432,0
2,0.839999,3,3.45223e-05,1
5,0.25,3,0.000234552,0
2,0.849999,3,0.000105828,1
2,0.859999,4,7.44089e-05,1
5,0.26,2,0.000179749,0
29,0.01,2,0.00749877,0
2,0.869999,3,7.43531e-05,1
13,0.06,2,0.00139481,0
2,0.879999,3,8.40686e-05,1
2,0.889999,3,1.08816e-05,1
2,0.899999,3,3.37064e-05,1
2,0.909999,4,1.68756e-06,1
2,0.919999,3,9.83104e-06,1
2,0.929999,3,7.48932e-05,1
2,0.939999,4,3.74503e-05,1
2,0.949999,3,3.38592e-05,1
2,0.959999,4,3.14042e-05,1
2,0.969999,3,3.22238e-05,1
5,0.27,3,0.000401244,0
2,0.979999,3,1.5758e-05,1
2,0.989999,3,4.12166e-05,1
33,0.01,1,0.00805116,0
2,0.999999,3,9.78597e-05,1
3,0.01,1,3.65041e-05,0
25,0.02,1,0.00314846,0
3,0.02,1,0.000139322,0
3,0.03,1,3.40305e-05,0
5,0.28,5,0.000378426,0
9,0.11,3,0.00125702,0
3,0.04,1,0.000144135,0
3,0.05,1,8.01459e-05,0
13,0.07,2,0.000958495,0
3,0.06,1,0.000168901,0
5,0.29,4,0.00041496,0
3,0.07,1,7.12499e-05,0
37,0.01,1,0.00877402,0
3,0.08,2,0.000109185,0
3,0.09,2,5.13792e-05,0
9,0.12,1,0.000636369,0
3,0.1,1,0.000119742,0
3,0.11,1,6.35758e-05,0
5,0.3,1,0.000397667,0
3,0.12,2,6.09756e-05,0
17,0.04,1,0.00196909,0
3,0.13,1,9.24878e-05,0
21,0.03,1,0.00298885,0
3,0.14,1,8.49999e-05,0
5,0.31,2,0.000264727,0
3,0.15,2,0.000130214,0
9,0.13,1,0.000661481,0
13,0.08,2,0.00120033,0
3,0.16,1,0.000262331,0
3,0.17,1,4.1049e-05,0
5,0.32,6,0.000414167,0
3,0.18,2,0.000141356,0
5,0.33,3,0.000268329,0
3,0.19,1,0.000130996,0
9,0.14,2,0.000543781,0
3,0.2,1,0.000134841,0
41,0.01,1,0.0102213,0
3,0.21,3,3.87691e-05,0
5,0.34,3,0.00032426,0
3,0.22,1,0.000161499,0
9,0.15,2,0.000322543,0
3,0.23,3,0.000140727,0
3,0.24,1,9.71146e-05,0
25,0.03,1,0.00242658,0
3,0.25,2,4.90807e-05,0
5,0.35,3,0.000357166,0
3,0.26,1,6.08377e-05,0
3,0.27,2,0.000116866,0
3,0.28,2,0.000121944,0
5,0.36,3,0.000303749,0
3,0.29,1,0.000103254,0
13,0.09,1,0.00143537,0
17,0.05,3,0.00192499,0
5,0.37,3,0.0002083,0
3,0.3,1,0.000231978,0
9,0.16,2,0.000864856,0
5,0.38,2,0.000169918,0
3,0.31,2,0.000118058,0
3,0.32,2,6.35572e-05,0
3,0.33,2,5.06118e-05,0
5,0.39,2,0.000252079,0
3,0.34,2,0.00017317,0
3,0.35,4,1.11796e-05,1
3,0.36,5,0.000124253,1
3,0.37,4,3.35164e-05,0
13,0.1,2,0.000837803,0
21,0.04,1,0.00273359,0
5,0.4,4,0.000416778,0
3,0.38,2,0.000209633,0
9,0.17,1,0.000881501,0
3,0.39,2,0.000189997,0
3,0.4,1,9.52296e-05,0
5,0.41,6,0.000331301,0
29,0.02,1,0.00502494,0
3,0.41,1,0.000123784,0
3,0.42,1,0.00011633,0
5,0.42,1,0.000346594,0
9,0.18,2,0.000590738,0
3,0.43,4,0.00018001,1
3,0.44,4,8.52831e-05,0
3,0.45,2,5.10253e-05,0
3,0.46,2,7.43121e-05,0
3,0.47,3,5.47953e-05,0
3,0.48,5,0.000155862,1
3,0.49,3,2.9318e-06,0
5,0.43,2,0.000493232,0
3,0.5,1,8.36216e-05,0
9,0.19,2,0.000545803,0
3,0.51,3,9.69619e-05,0
3,0.52,2,9.86643e-05,0
17,0.06,2,0.00239825,0
3,0.53,4,5.24558e-05,1
5,0.44,3,0.000344805,0
25,0.04,1,0.00302544,0
3,0.54,2,0.000119686,0
13,0.11,2,0.00184475,0
9,0.2,2,0.000494145,0
3,0.55,2,0.000157509,0
3,0.56,4,9.59449e-05,1
3,0.57,4,3.08938e-05,1
5,0.45,2,0.000395223,0
53,0.01,1,0.0165745,0
41,0.02,1,0.00689017,0
57,0.01,2,0.017327,0
29,0.03,1,0.00439582,0
13,0.12,2,0.00115388,0
25,0.05,1,0.00261809,0
3,0.58,6,2.37375e-05,1
9,0.21,2,0.000655215,0
33,0.02,1,0.00654308,0
17,0.07,2,0.00182122,0
49,0.01,2,0.0145476,0
37,0.02,1,0.00792606,0
45,0.01,1,0.014695,0
3,0.59,4,0.000147693,1
5,0.46,3,0.00020308,0
21,0.05,1,0.00371882,0
3,0.6,2,6.27749e-05,0
3,0.61,5,0.000150688,1
5,0.47,2,0.000346076,0
3,0.62,5,0.000223488,1
3,0.63,3,2.43708e-05,0
3,0.64,2,0.000110224,0
9,0.22,2,0.000890426,0
3,0.65,5,0.000169303,1
5,0.48,7,0.000394858,1
3,0.66,5,7.3038e-05,1
5,0.49,5,0.000120524,0
3,0.67,6,0.000133369,1
3,0.68,4,1.65775e-05,1
3,0.69,4,8.56854e-05,0
5,0.5,1,0.000249397,0
13,0.13,2,0.00132922,0
3,0.7,4,0.000207812,1
3,0.71,2,4.54932e-05,0
5,0.51,5,0.000195656,0
9,0.23,2,0.000695612,0
3,0.72,5,0.000203848,1
3,0.73,2,5.19417e-05,0
5,0.52,5,0.000254016,0
3,0.74,5,0.000141364,1
3,0.75,5,0.000120182,1
5,0.53,7,0.000263102,1
3,0.76,5,0.000154249,1
61,0.01,2,0.0199585,0
3,0.77,4,0.000131633,1
3,0.78,4,1.33961e-05,1
5,0.54,2,0.00036642,0
9,0.24,2,0.000863142,0
3,0.79,4,0.000156216,1
17,0.08,1,0.00254216,0
3,0.8,5,0.000104576,1
65,0.01,1,0.0204153,0
5,0.55,4,0.000316635,0
13,0.14,3,0.00138948,0
3,0.81,3,0.000158086,0
3,0.82,4,4.74602e-05,1
3,0.83,5,0.000131261,1
3,0.839999,6,6.21229e-05,1
3,0.849999,5,0.00010537,1
9,0.25,2,0.000646297,0
3,0.859999,4,3.19555e-05,1
5,0.56,3,0.000414725,0
3,0.869999,4,4.36939e-05,1
3,0.879999,5,8.7522e-05,1
3,0.889999,5,2.10293e-05,1
5,0.57,2,0.000171274,0
3,0.899999,5,0.000110406,1
25,0.06,3,0.00340367,0
3,0.909999,4,0.000112958,1
3,0.919999,4,5.22509e-05,1
9,0.26,2,0.000441663,0
3,0.929999,4,3.61651e-05,1
3,0.939999,4,1.57841e-05,1
5,0.58,8,0.000316687,1
3,0.949999,4,0.000118218,1
3,0.959999,5,8.52123e-05,1
3,0.969999,4,6.38142e-05,1
13,0.15,2,0.0011641,0
3,0.979999,4,9.0804e-05,1
3,0.989999,4,2.28435e-05,1
9,0.27,2,0.000477735,0
3,0.999999,4,5.44377e-05,1
5,0.59,12,0.000510573,1
4,0.01,1,0.000145487,0
5,0.6,7,0.000161007,1
4,0.02,2,0.000149522,0
4,0.03,1,5.00865e-05,0
5,0.61,9,0.000176445,1
21,0.06,2,0.00431892,0
4,0.04,1,0.000233933,0
9,0.28,4,0.000602562,0
4,0.05,2,4.43272e-05,0
17,0.09,4,0.00220241,0
13,0.16,2,0.000884928,0
4,0.06,1,0.000120066,0
5,0.62,9,0.000341821,1
4,0.07,1,0.000202253,0
9,0.29,3,0.000416167,0
5,0.63,7,0.000299059,1
4,0.08,1,0.000131849,0
29,0.04,2,0.00522899,0
4,0.09,1,0.000149623,0
5,0.64,9,0.000189546,1
5,0.65,2,7.35298e-05,0
9,0.3,2,0.000544842,0
5,0.66,7,0.000249151,0
4,0.1,1,0.000394408,0
13,0.17,2,0.00104539,0
4,0.11,2,0.000148829,0
5,0.67,8,0.000280347,1
4,0.12,1,0.000238143,0
5,0.68,8,0.000181228,1
4,0.13,4,9.67309e-05,0
5,0.69,5,0.00016281,0
4,0.14,1,0.00012337,0
9,0.31,5,0.000745762,0
5,0.7,2,9.34787e-05,0
4,0.15,3,0.00018201,0
17,0.1,3,0.00173214,0
4,0.16,2,2.48589e-05,0
5,0.71,8,0.000255547,1
4,0.17,1,0.000181589,0
4,0.18,1,0.000140365,0
5,0.72,8,0.000317156,1
13,0.18,2,0.00120558,0
4,0.19,2,0.00024543,0
33,0.03,2,0.00711114,0
5,0.73,8,0.000228096,1
9,0.32,3,0.000882968,0
5,0.74,7,0.000148211,1
25,0.07,2,0.00394921,0
68,0.01,1,0.0252248,0
4,0.2,3,0.000417303,0
5,0.75,10,0.000322245,1
4,0.21,1,0.000181407,0
37,0.03,1,0.00772737,0
21,0.07,2,0.00325323,0
4,0.22,1,0.000285484,0
5,0.76,11,0.000352345,1
4,0.23,2,0.000148132,0
5,0.77,7,0.000128213,1
17,0.11,1,0.00162803,0
4,0.24,2,0.000191614,0
5,0.78,8,0.000217162,1
9,0.33,5,0.00112198,0
13,0.19,2,0.00132696,0
4,0.25,2,0.000123333,0
5,0.79,8,0.000288244,1
4,0.26,2,0.000297237,0
4,0.27,2,0.000214536,0
5,0.8,7,0.000330593,1
4,0.28,1,0.000192918,0
5,0.81,7,0.00024217,1
74,0.01,2,0.0270194,0
4,0.29,1,0.000215136,0
9,0.34,2,0.00101495,0
41,0.03,2,0.00958585,0
5,0.82,7,0.000368293,1
4,0.3,2,0.000270296,0
13,0.2,3,0.001496,0
5,0.83,8,0.000283398,1
4,0.31,2,0.000237904,0
4,0.32,2,0.00020247,0
5,0.839999,10,0.000265367,1
4,0.33,2,0.00025443,0
9,0.35,5,0.000978965,0
5,0.849999,9,0.000236277,1
17,0.12,2,0.00225908,0
71,0.01,2,0.0282111,0
4,0.34,2,0.000251535,0
4,0.35,4,6.04168e-05,0
5,0.859999,7,0.000368144,1
5,0.869999,9,3.61986e-05,1
4,0.36,2,0.000186313,0
4,0.37,5,3.03648e-05,1
29,0.05,2,0.00578046,0
4,0.38,4,0.000175212,0
4,0.39,5,8.58866e-05,0
5,0.879999,8,0.000384349,1
9,0.36,3,0.000824869,0
13,0.21,2,0.00138449,0
5,0.889999,7,0.000141114,1
4,0.4,3,0.000212129,0
21,0.08,2,0.00358393,0
45,0.02,2,0.0116574,0
4,0.41,5,0.000354141,0
5,0.899999,7,0.000408314,1
77,0.01,2,0.0295096,0
25,0.08,2,0.00440589,0
4,0.42,6,0.000109568,0
