n,p,n_steps,time,bottom_reached
1,0.01,1,0.000444522,0
5,0.01,1,0.000599639,0
9,0.01,1,0.000747619,0
1,0.02,1,2.46633e-05,0
1,0.03,1,2.09156e-05,0
1,0.04,1,1.10622e-05,0
1,0.05,1,9.60007e-06,0
1,0.06,1,5.08502e-07,0
1,0.07,1,7.41333e-07,0
1,0.08,1,6.16498e-05,0
1,0.09,1,3.11285e-05,0
1,0.1,1,5.27129e-07,0
1,0.11,1,1.07475e-06,0
5,0.02,1,0.000220697,0
1,0.12,1,6.51013e-05,0
1,0.13,1,5.30854e-07,0
1,0.14,1,8.92207e-07,0
1,0.15,1,1.1351e-05,0
1,0.16,1,1.07847e-05,0
1,0.17,1,2.93702e-05,0
1,0.18,1,5.06639e-07,0
1,0.19,1,3.72157e-05,0
1,0.2,1,1.54562e-05,0
1,0.21,1,1.94833e-05,0
1,0.22,1,1.16546e-05,0
1,0.23,1,2.63788e-05,0
1,0.24,1,2.21059e-05,0
1,0.25,1,2.62782e-05,0
1,0.26,1,6.16536e-07,0
1,0.27,2,1.50874e-05,1
1,0.28,1,4.71249e-07,0
1,0.29,1,8.43778e-07,0
5,0.03,1,0.000267252,0
1,0.3,1,1.04755e-05,0
1,0.31,1,3.05027e-05,0
1,0.32,2,3.08007e-05,1
1,0.33,1,5.99772e-07,0
9,0.02,1,0.000561891,0
1,0.34,1,3.13725e-05,0
1,0.35,2,7.30157e-07,1
1,0.36,2,6.20037e-05,1
1,0.37,1,5.55273e-05,0
1,0.38,2,2.01501e-05,1
1,0.39,1,2.13999e-05,0
1,0.4,2,1.25729e-06,1
1,0.41,2,1.05966e-05,1
1,0.42,2,2.13347e-05,1
5,0.04,1,0.000312326,0
1,0.43,1,2.20239e-05,0
1,0.44,2,1.20476e-05,1
1,0.45,1,1.49943e-06,0
1,0.46,2,4.82425e-07,1
1,0.47,1,2.02097e-06,0
1,0.48,1,1.42306e-05,0
1,0.49,2,2.02022e-05,1
1,0.5,2,5.97909e-07,1
1,0.51,2,2.97707e-05,1
1,0.52,2,1.2055e-05,1
1,0.53,1,4.69405e-05,0
1,0.54,2,1.00862e-05,1
1,0.55,1,1.2219e-06,0
1,0.56,2,1.38823e-05,1
1,0.57,2,9.44547e-06,1
1,0.58,1,4.63147e-05,0
1,0.59,1,2.06977e-05,0
1,0.6,1,8.34465e-07,0
5,0.05,1,0.000285074,0
1,0.61,2,9.8329e-06,1
1,0.62,1,7.37607e-07,0
1,0.63,2,9.83663e-06,1
1,0.64,2,1.12168e-05,1
1,0.65,2,7.13393e-07,1
1,0.66,2,2.50563e-05,1
1,0.67,1,2.11522e-05,0
1,0.68,2,2.68482e-05,1
1,0.69,2,6.0536e-07,1
1,0.7,2,1.34669e-05,1
1,0.71,2,1.82725e-05,1
1,0.72,1,1.017e-05,0
1,0.73,2,3.05343e-05,1
5,0.06,1,0.000201136,0
13,0.01,1,0.00218808,0
1,0.74,2,3.12403e-05,1
1,0.75,2,1.24108e-05,1
1,0.76,2,4.38169e-05,1
9,0.03,1,0.000801157,0
1,0.77,1,2.60882e-05,0
1,0.78,1,1.91201e-05,0
1,0.79,1,8.82894e-07,0
1,0.8,2,1.31223e-05,1
1,0.81,2,3.47942e-05,1
1,0.82,2,1.22618e-05,1
1,0.83,1,1.17496e-05,0
1,0.839999,2,8.41916e-07,1
1,0.849999,2,2.49948e-05,1
1,0.859999,2,2.53972e-05,1
5,0.07,1,0.000276834,0
1,0.869999,2,2.43168e-05,1
1,0.879999,1,1.92076e-05,0
1,0.889999,2,2.28453e-05,1
1,0.899999,2,1.31689e-06,1
1,0.909999,2,6.74408e-05,1
1,0.919999,2,3.00221e-05,1
5,0.08,2,0.000147874,0
1,0.929999,1,9.28529e-06,0
