n,p,n_steps,time,bottom_reached
100,0.01,1,0.0206543,0
100,0.02,1,0.0172613,0
100,0.03,2,0.0182135,0
200,0.01,2,0.0686997,0
100,0.04,2,0.0169015,0
100,0.05,2,0.0173869,0
100,0.06,2,0.0181978,0
100,0.07,2,0.0167499,0
200,0.02,2,0.0697356,0
100,0.08,2,0.0183959,0
300,0.01,2,0.156642,0
100,0.09,3,0.0161139,0
100,0.1,3,0.0178474,0
100,0.11,2,0.0181656,0
200,0.03,2,0.0674144,0
100,0.12,2,0.0175832,0
100,0.13,5,0.0193649,0
400,0.01,2,0.249442,0
100,0.14,4,0.0177484,0
100,0.15,3,0.0189937,0
200,0.04,2,0.0668245,0
100,0.16,5,0.0191419,0
100,0.17,4,0.0183767,0
300,0.02,2,0.153502,0
100,0.18,5,0.0182686,0
200,0.05,2,0.0703776,0
100,0.19,4,0.0181801,0
100,0.2,5,0.0179423,0
100,0.21,4,0.0197214,0
500,0.01,2,0.395154,0
100,0.22,4,0.0189699,0
200,0.06,3,0.0635622,0
100,0.23,5,0.0177408,0
100,0.24,6,0.019336,0
100,0.25,5,0.0183231,0
300,0.03,2,0.156548,0
200,0.07,2,0.0681072,0
100,0.26,9,0.0193675,0
100,0.27,6,0.0188191,0
400,0.02,2,0.244954,0
100,0.28,7,0.0178244,0
100,0.29,9,0.01784,0
200,0.08,2,0.0700105,0
600,0.01,2,0.54682,0
100,0.3,11,0.0183148,0
100,0.31,5,0.0185013,0
100,0.32,6,0.0184184,0
100,0.33,10,0.0184811,0
200,0.09,4,0.0701936,0
300,0.04,2,0.152148,0
100,0.34,5,0.0184838,0
100,0.35,13,0.0181495,0
100,0.36,5,0.0182906,0
100,0.37,6,0.018914,0
200,0.1,2,0.0706441,0
100,0.38,10,0.0194605,0
100,0.39,18,0.0193701,0
100,0.4,14,0.0194375,0
400,0.03,2,0.242873,0
100,0.41,17,0.0192948,0
200,0.11,3,0.0704661,0
100,0.42,19,0.0202325,0
300,0.05,3,0.158837,0
100,0.43,10,0.0189687,0
700,0.01,2,0.79601,0
500,0.02,2,0.405782,0
100,0.44,14,0.0183324,0
200,0.12,5,0.070376,0
100,0.45,11,0.0192787,0
100,0.46,27,0.0206114,0
100,0.47,28,0.0210288,0
100,0.48,22,0.0195055,0
200,0.13,5,0.0694973,0
100,0.49,43,0.0218938,0
300,0.06,2,0.156829,0
100,0.5,23,0.0205487,0
100,0.51,46,0.0221928,0
200,0.14,4,0.0679219,0
800,0.01,2,0.967892,0
100,0.52,61,0.0210699,0
400,0.04,3,0.248834,0
100,0.53,42,0.0217314,0
100,0.54,91,0.023761,0
200,0.15,6,0.0669589,0
100,0.55,57,0.0227281,0
100,0.56,85,0.022332,0
300,0.07,3,0.152593,0
100,0.57,24,0.0207148,0
600,0.02,3,0.548505,0
200,0.16,5,0.0684612,0
100,0.58,166,0.0257239,0
100,0.59,55,0.0243459,0
200,0.17,5,0.0675659,0
100,0.6,209,0.028135,1
100,0.61,241,0.028579,1
500,0.03,3,0.407882,0
100,0.62,270,0.0268479,1
200,0.18,5,0.0658919,0
300,0.08,2,0.152414,0
400,0.05,3,0.253803,0
100,0.63,208,0.0262601,1
100,0.64,168,0.0268902,1
200,0.19,5,0.0660722,0
100,0.65,152,0.0248807,1
900,0.01,2,1.30457,0
100,0.66,157,0.0253838,1
100,0.67,157,0.0239551,1
200,0.2,4,0.0615636,0
100,0.68,155,0.0252272,1
300,0.09,3,0.15043,0
100,0.69,162,0.024664,1
100,0.7,148,0.0238273,1
200,0.21,4,0.0653032,0
100,0.71,142,0.0240569,1
100,0.72,144,0.0234259,1
400,0.06,2,0.245998,0
200,0.22,4,0.0670235,0
100,0.73,141,0.0239557,1
100,0.74,131,0.0224738,1
1000,0.01,2,1.53994,0
100,0.75,132,0.0218539,1
300,0.1,3,0.156527,0
200,0.23,6,0.0677529,0
100,0.76,132,0.0232051,1
100,0.77,130,0.0233765,1
700,0.02,3,0.80143,0
500,0.04,3,0.397245,0
100,0.78,125,0.0230496,1
200,0.24,7,0.0647718,0
100,0.79,124,0.0229849,1
100,0.8,125,0.0231574,1
100,0.81,118,0.0219871,1
600,0.03,2,0.589491,0
200,0.25,8,0.0681029,0
100,0.82,120,0.0225503,1
300,0.11,4,0.156792,0
100,0.83,118,0.0205463,1
400,0.07,3,0.246044,0
100,0.839999,119,0.0220084,1
200,0.26,6,0.0643006,0
100,0.849999,116,0.0222488,1
100,0.859999,116,0.0215973,1
100,0.869999,116,0.0226056,1
200,0.27,8,0.0655277,0
100,0.879999,114,0.0207369,1
100,0.889999,114,0.0215776,1
300,0.12,7,0.161023,0
100,0.899999,110,0.0222948,1
200,0.28,9,0.0682967,0
100,0.909999,111,0.0213198,1
100,0.919999,109,0.0220858,1
100,0.929999,109,0.0216743,1
200,0.29,9,0.0669707,0
100,0.939999,108,0.021555,1
100,0.949999,107,0.0226657,1
800,0.02,2,1.0171,0
400,0.08,4,0.255047,0
100,0.959999,106,0.0207904,1
500,0.05,4,0.408061,0
300,0.13,4,0.160243,0
100,0.969999,105,0.0212638,1
200,0.3,12,0.0674569,0
100,0.979999,105,0.0223012,1
100,0.989999,104,0.0208025,1
100,0.999999,101,0.0209068,1
200,0.31,7,0.0673625,0
200,0.32,11,0.0624244,0
300,0.14,6,0.151069,0
200,0.33,10,0.0619832,0
400,0.09,3,0.239052,0
600,0.04,2,0.580584,0
200,0.34,12,0.0631382,0
300,0.15,6,0.141022,0
200,0.35,12,0.0617998,0
700,0.03,2,0.770596,0
500,0.06,2,0.378692,0
200,0.36,16,0.064573,0
400,0.1,3,0.231065,0
300,0.16,5,0.147557,0
200,0.37,9,0.060781,0
200,0.38,13,0.0622549,0
900,0.02,2,1.27872,0
200,0.39,23,0.065064,0
300,0.17,5,0.147548,0
200,0.4,10,0.0624611,0
400,0.11,5,0.244156,0
200,0.41,17,0.0648098,0
300,0.18,6,0.147006,0
500,0.07,4,0.375897,0
200,0.42,13,0.0651549,0
600,0.05,4,0.54671,0
200,0.43,23,0.0665282,0
800,0.03,3,0.907929,0
300,0.19,6,0.145279,0
200,0.44,15,0.0625804,0
1000,0.02,2,1.39088,0
400,0.12,5,0.245699,0
200,0.45,22,0.0616705,0
300,0.2,6,0.12945,0
200,0.46,21,0.0614197,0
700,0.04,2,0.706431,0
200,0.47,30,0.0629224,0
500,0.08,4,0.343754,0
400,0.13,4,0.212593,0
300,0.21,7,0.127501,0
200,0.48,19,0.0608794,0
200,0.49,31,0.0641789,0
300,0.22,5,0.129684,0
200,0.5,47,0.0684906,0
600,0.06,3,0.486992,0
400,0.14,5,0.207383,0
200,0.51,75,0.0756294,0
300,0.23,5,0.125404,0
500,0.09,2,0.31953,0
200,0.52,30,0.0650995,0
200,0.53,57,0.0682764,0
300,0.24,5,0.135002,0
200,0.54,88,0.0771999,0
400,0.15,6,0.220419,0
200,0.55,46,0.0705585,0
900,0.03,3,1.10409,0
300,0.25,6,0.137413,0
700,0.05,3,0.650693,0
800,0.04,4,0.842189,0
200,0.56,136,0.0885722,0
500,0.1,5,0.345214,0
400,0.16,3,0.205152,0
600,0.07,4,0.507219,0
200,0.57,101,0.082028,0
300,0.26,10,0.136828,0
200,0.58,259,0.118996,0
300,0.27,7,0.134758,0
400,0.17,8,0.203058,0
200,0.59,191,0.100619,0
300,0.28,11,0.136387,0
500,0.11,4,0.345004,0
200,0.6,424,0.135341,1
400,0.18,4,0.201194,0
300,0.29,10,0.120897,0
1000,0.03,3,1.3359,0
200,0.61,436,0.13411,1
600,0.08,4,0.511872,0
300,0.3,11,0.124857,0
700,0.06,5,0.677718,0
400,0.19,4,0.206438,0
200,0.62,348,0.115453,1
500,0.12,4,0.347544,0
300,0.31,9,0.128643,0
200,0.63,427,0.119923,1
800,0.05,3,0.857352,0
300,0.32,10,0.129161,0
400,0.2,7,0.207339,0
200,0.64,391,0.110717,1
300,0.33,10,0.128395,0
200,0.65,328,0.102521,1
900,0.04,2,1.0867,0
500,0.13,4,0.31993,0
600,0.09,3,0.472533,0
400,0.21,5,0.21533,0
300,0.34,16,0.118259,0
200,0.66,314,0.106371,1
300,0.35,11,0.115109,0
200,0.67,291,0.108113,1
400,0.22,8,0.231576,0
700,0.07,3,0.663764,0
300,0.36,16,0.116686,0
200,0.68,291,0.103731,1
500,0.14,5,0.347033,0
200,0.69,285,0.102759,1
300,0.37,16,0.116153,0
600,0.1,4,0.487526,0
400,0.23,8,0.224191,0
200,0.7,277,0.101221,1
300,0.38,12,0.115698,0
200,0.71,272,0.0978336,1
300,0.39,12,0.117484,0
800,0.06,3,0.878002,0
200,0.72,274,0.0963298,1
500,0.15,5,0.344528,0
400,0.24,7,0.232262,0
300,0.4,19,0.127451,0
200,0.73,259,0.0953518,1
1000,0.04,3,1.32491,0
200,0.74,264,0.0888825,1
300,0.41,20,0.127259,0
400,0.25,9,0.205808,0
700,0.08,4,0.670497,0
200,0.75,257,0.0881178,1
600,0.11,5,0.48164,0
300,0.42,13,0.136065,0
500,0.16,6,0.338911,0
200,0.76,250,0.0959314,1
900,0.05,3,1.09206,0
200,0.77,254,0.0949369,1
400,0.26,9,0.226106,0
300,0.43,32,0.150567,0
200,0.78,245,0.0924134,1
300,0.44,27,0.153089,0
200,0.79,239,0.0938262,1
400,0.27,9,0.226194,0
500,0.17,4,0.36755,0
200,0.8,240,0.0948229,1
600,0.12,4,0.515666,0
300,0.45,23,0.153936,0
200,0.81,236,0.0920485,1
700,0.09,4,0.592544,0
800,0.07,4,0.877094,0
400,0.28,7,0.216447,0
200,0.82,232,0.0900887,1
300,0.46,26,0.149205,0
200,0.83,231,0.090536,1
500,0.18,5,0.363173,0
300,0.47,32,0.156293,0
200,0.839999,233,0.0923201,1
400,0.29,9,0.221189,0
200,0.849999,229,0.0905988,1
300,0.48,28,0.147225,0
200,0.859999,223,0.0877676,1
600,0.13,4,0.509252,0
400,0.3,13,0.236081,0
200,0.869999,225,0.0921694,1
300,0.49,28,0.143266,0
500,0.19,6,0.345133,0
1000,0.05,3,1.34491,0
200,0.879999,221,0.0876844,1
700,0.1,5,0.663702,0
900,0.06,2,1.13129,0
300,0.5,31,0.151636,0
200,0.889999,225,0.0861161,1
