n,p,n_steps,time,bottom_reached
100,0.01,2,0.0220833,0
100,0.02,2,0.0207518,0
100,0.03,2,0.0221041,0
200,0.01,2,0.075774,0
100,0.04,2,0.022747,0
100,0.05,2,0.0232503,0
100,0.06,2,0.0205114,0
200,0.02,2,0.0730121,0
100,0.07,3,0.0204103,0
100,0.08,2,0.0208673,0
300,0.01,1,0.179824,0
100,0.09,3,0.021615,0
100,0.1,3,0.0215061,0
200,0.03,3,0.0740247,0
100,0.11,3,0.0215791,0
100,0.12,4,0.0224064,0
100,0.13,4,0.0212794,0
400,0.01,2,0.288644,0
200,0.04,2,0.0745458,0
100,0.14,5,0.0204832,0
100,0.15,4,0.020692,0
100,0.16,4,0.0209921,0
300,0.02,2,0.171647,0
100,0.17,4,0.0205632,0
200,0.05,2,0.0750338,0
100,0.18,3,0.021826,0
100,0.19,5,0.0209345,0
100,0.2,7,0.0211495,0
500,0.01,2,0.443494,0
200,0.06,3,0.0726642,0
100,0.21,5,0.0213428,0
100,0.22,7,0.0231661,0
100,0.23,4,0.0216425,0
100,0.24,3,0.0220407,0
200,0.07,2,0.0744297,0
300,0.03,2,0.170201,0
100,0.25,5,0.0222539,0
100,0.26,7,0.0224664,0
400,0.02,2,0.284556,0
100,0.27,6,0.0211302,0
200,0.08,3,0.0733611,0
100,0.28,4,0.0225358,0
100,0.29,5,0.0217184,0
600,0.01,2,0.643804,0
100,0.3,8,0.0212783,0
200,0.09,3,0.0729599,0
100,0.31,6,0.0225872,0
100,0.32,10,0.0232783,0
300,0.04,3,0.173269,0
100,0.33,8,0.0231523,0
100,0.34,13,0.0225458,0
200,0.1,3,0.0742008,0
100,0.35,11,0.0221739,0
100,0.36,6,0.0180216,0
100,0.37,6,0.0180536,0
200,0.11,3,0.0699449,0
100,0.38,9,0.0188064,0
100,0.39,17,0.0193749,0
400,0.03,2,0.271691,0
300,0.05,3,0.155277,0
100,0.4,10,0.0179065,0
700,0.01,2,0.855314,0
500,0.02,3,0.424668,0
100,0.41,16,0.0175811,0
200,0.12,4,0.0640128,0
100,0.42,22,0.0197532,0
100,0.43,20,0.0197146,0
100,0.44,32,0.0196521,0
200,0.13,3,0.0656018,0
100,0.45,13,0.0190215,0
100,0.46,22,0.0189191,0
100,0.47,19,0.0197062,0
300,0.06,2,0.14564,0
200,0.14,4,0.0649544,0
100,0.48,19,0.0191393,0
100,0.49,32,0.0197891,0
100,0.5,18,0.0182868,0
800,0.01,2,1.04496,0
100,0.51,47,0.0215405,0
200,0.15,4,0.0654845,0
100,0.52,40,0.0219694,0
400,0.04,2,0.247228,0
100,0.53,79,0.0244014,0
100,0.54,17,0.0202942,0
200,0.16,5,0.0737504,0
300,0.07,2,0.150178,0
100,0.55,69,0.0235465,0
100,0.56,28,0.0210029,0
100,0.57,37,0.0224237,0
200,0.17,4,0.0708752,0
100,0.58,189,0.0292357,0
600,0.02,3,0.586556,0
100,0.59,39,0.0226424,0
500,0.03,3,0.403925,0
100,0.6,238,0.0312003,1
200,0.18,4,0.072744,0
300,0.08,5,0.150474,0
100,0.61,209,0.0279629,1
900,0.01,2,1.31789,0
100,0.62,214,0.0274034,1
400,0.05,2,0.26222,0
200,0.19,5,0.0709753,0
100,0.63,178,0.0289403,1
100,0.64,168,0.0270095,1
100,0.65,162,0.0266502,1
200,0.2,7,0.0727405,0
300,0.09,5,0.147771,0
100,0.66,196,0.0265069,1
100,0.67,146,0.0245234,1
100,0.68,151,0.0249448,1
200,0.21,4,0.0716822,0
100,0.69,150,0.0251604,1
100,0.7,141,0.0247763,1
100,0.71,148,0.0252313,1
200,0.22,5,0.0729882,0
300,0.1,3,0.149023,0
100,0.72,130,0.0254504,1
100,0.73,134,0.024843,1
400,0.06,3,0.268995,0
700,0.02,2,0.790654,0
100,0.74,149,0.0250621,1
200,0.23,10,0.073829,0
1000,0.01,2,1.65911,0
100,0.75,139,0.0243977,1
500,0.04,3,0.420501,0
100,0.76,128,0.0242832,1
100,0.77,126,0.0243148,1
200,0.24,5,0.0754409,0
300,0.11,4,0.145444,0
100,0.78,127,0.0248255,1
100,0.79,125,0.0248903,1
100,0.8,127,0.0246157,1
200,0.25,9,0.0744035,0
100,0.81,120,0.0249255,1
600,0.03,3,0.596323,0
100,0.82,118,0.0246377,1
100,0.83,116,0.0235562,1
200,0.26,8,0.0738459,0
300,0.12,5,0.150288,0
100,0.839999,118,0.0230777,1
400,0.07,3,0.270565,0
100,0.849999,116,0.0241971,1
100,0.859999,115,0.024488,1
200,0.27,11,0.0754321,0
100,0.869999,114,0.0232926,1
100,0.879999,115,0.022725,1
100,0.889999,112,0.0230709,1
200,0.28,18,0.0775661,0
100,0.899999,111,0.0230013,1
300,0.13,5,0.151969,0
100,0.909999,110,0.0234859,1
100,0.919999,112,0.0238122,1
800,0.02,2,1.05698,0
100,0.929999,109,0.0227797,1
200,0.29,8,0.0773754,0
500,0.05,2,0.428165,0
100,0.939999,109,0.0222454,1
100,0.949999,107,0.023959,1
400,0.08,4,0.272849,0
100,0.959999,106,0.0248568,1
200,0.3,8,0.0726367,0
300,0.14,5,0.153683,0
100,0.969999,106,0.0236046,1
100,0.979999,105,0.0226683,1
100,0.989999,103,0.0236925,1
200,0.31,8,0.0747283,0
100,0.999999,101,0.0215197,1
200,0.32,23,0.0700028,0
300,0.15,4,0.143847,0
200,0.33,10,0.0667047,0
600,0.04,3,0.58189,0
400,0.09,4,0.249461,0
700,0.03,3,0.782196,0
200,0.34,10,0.0652186,0
300,0.16,4,0.130877,0
200,0.35,10,0.0661011,0
500,0.06,2,0.408358,0
200,0.36,13,0.067506,0
300,0.17,5,0.134436,0
900,0.02,2,1.31622,0
400,0.1,3,0.229752,0
200,0.37,13,0.0648148,0
200,0.38,15,0.0678453,0
300,0.18,6,0.13184,0
200,0.39,13,0.0672234,0
200,0.4,15,0.0696427,0
300,0.19,5,0.139209,0
400,0.11,4,0.239226,0
500,0.07,3,0.38072,0
200,0.41,12,0.0699439,0
600,0.05,3,0.543318,0
200,0.42,23,0.0722896,0
300,0.2,4,0.139465,0
200,0.43,23,0.071188,0
800,0.03,4,0.984128,0
400,0.12,6,0.237401,0
200,0.44,9,0.0661548,0
700,0.04,3,0.714371,0
300,0.21,5,0.142322,0
1000,0.02,2,1.52934,0
200,0.45,41,0.0742998,0
200,0.46,17,0.0696713,0
500,0.08,3,0.379256,0
300,0.22,6,0.139248,0
200,0.47,40,0.07253,0
400,0.13,4,0.239538,0
200,0.48,34,0.0708514,0
300,0.23,6,0.14294,0
600,0.06,3,0.525088,0
200,0.49,32,0.0722654,0
200,0.5,42,0.0744904,0
300,0.24,4,0.137676,0
400,0.14,4,0.235239,0
200,0.51,24,0.0695103,0
500,0.09,4,0.364476,0
200,0.52,28,0.0714557,0
300,0.25,6,0.13933,0
200,0.53,79,0.083558,0
900,0.03,3,1.18348,0
700,0.05,3,0.686342,0
400,0.15,4,0.233666,0
300,0.26,12,0.138943,0
200,0.54,56,0.0764588,0
200,0.55,146,0.101194,0
800,0.04,3,0.894008,0
600,0.07,4,0.506269,0
300,0.27,9,0.133021,0
500,0.1,3,0.356444,0
200,0.56,39,0.0714745,0
400,0.16,6,0.23578,0
300,0.28,8,0.144018,0
200,0.57,248,0.119145,0
200,0.58,128,0.0920221,0
300,0.29,11,0.140527,0
400,0.17,5,0.22815,0
500,0.11,4,0.351568,0
200,0.59,435,0.156041,0
300,0.3,9,0.14194,0
600,0.08,3,0.485902,0
700,0.06,5,0.651473,0
400,0.18,6,0.221091,0
200,0.6,430,0.138022,1
300,0.31,13,0.141935,0
1000,0.03,2,1.37858,0
200,0.61,415,0.135329,1
300,0.32,9,0.143221,0
500,0.12,4,0.34603,0
400,0.19,7,0.225221,0
200,0.62,350,0.116546,1
300,0.33,11,0.129685,0
800,0.05,2,0.897697,0
200,0.63,336,0.11824,1
600,0.09,4,0.489219,0
900,0.04,3,1.14156,0
300,0.34,11,0.130109,0
400,0.2,6,0.226038,0
200,0.64,327,0.108481,1
500,0.13,4,0.349121,0
300,0.35,8,0.129442,0
200,0.65,309,0.106162,1
700,0.07,4,0.668188,0
400,0.21,7,0.219678,0
300,0.36,10,0.129705,0
200,0.66,324,0.10951,1
200,0.67,304,0.10323,1
300,0.37,29,0.137713,0
500,0.14,4,0.352842,0
400,0.22,11,0.228536,0
200,0.68,288,0.101397,1
600,0.1,4,0.522051,0
300,0.38,17,0.135832,0
200,0.69,301,0.100452,1
300,0.39,10,0.135617,0
400,0.23,6,0.224398,0
200,0.7,280,0.106783,1
200,0.71,270,0.0964922,1
500,0.15,5,0.351158,0
300,0.4,17,0.137749,0
800,0.06,3,0.906876,0
700,0.08,3,0.682469,0
200,0.72,263,0.0971936,1
400,0.24,7,0.230527,0
300,0.41,22,0.147101,0
200,0.73,264,0.0959195,1
1000,0.04,4,1.41745,0
600,0.11,4,0.523121,0
200,0.74,259,0.0964373,1
300,0.42,10,0.136556,0
900,0.05,3,1.12785,0
400,0.25,9,0.234693,0
500,0.16,6,0.373638,0
200,0.75,251,0.0961197,1
300,0.43,31,0.149438,0
200,0.76,252,0.0965211,1
200,0.77,246,0.0990771,1
400,0.26,6,0.234055,0
300,0.44,14,0.14161,0
200,0.78,245,0.0939373,1
300,0.45,22,0.146742,0
500,0.17,5,0.36719,0
600,0.12,4,0.50692,0
700,0.09,4,0.681151,0
200,0.79,241,0.0926097,1
400,0.27,8,0.230743,0
200,0.8,239,0.0934665,1
300,0.46,17,0.143633,0
800,0.07,5,0.90781,0
200,0.81,238,0.0961502,1
300,0.47,27,0.152766,0
200,0.82,234,0.0937845,1
400,0.28,10,0.233544,0
500,0.18,5,0.353037,0
200,0.83,233,0.0947239,1
300,0.48,34,0.157124,0
200,0.839999,230,0.089661,1
600,0.13,6,0.518366,0
400,0.29,10,0.233655,0
200,0.849999,228,0.0910375,1
300,0.49,29,0.143761,0
200,0.859999,226,0.0862915,1
700,0.1,4,0.686042,0
500,0.19,9,0.36646,0
300,0.5,37,0.15547,0
200,0.869999,225,0.0852224,1
400,0.3,13,0.226558,0
900,0.06,3,1.18441,0
200,0.879999,222,0.0825118,1
300,0.51,44,0.152429,0
200,0.889999,221,0.0814349,1
1000,0.05,3,1.45329,0
400,0.31,16,0.227196,0
200,0.899999,218,0.0850953,1
300,0.52,41,0.150357,0
600,0.14,5,0.521341,0
200,0.909999,217,0.0802014,1
500,0.2,11,0.362779,0
800,0.08,4,0.915934,0
200,0.919999,216,0.0814213,1
300,0.53,42,0.146871,0
400,0.32,18,0.225785,0
200,0.929999,214,0.0788963,1
200,0.939999,213,0.0823686,1
700,0.11,4,0.667593,0
300,0.54,108,0.193488,0
200,0.949999,210,0.0852969,1
400,0.33,11,0.23064,0
500,0.21,6,0.363765,0
200,0.959999,210,0.0866316,1
300,0.55,55,0.165345,0
600,0.15,4,0.503168,0
200,0.969999,207,0.0811137,1
200,0.979999,206,0.0882631,1
400,0.34,10,0.240071,0
200,0.989999,205,0.0793364,1
300,0.56,111,0.198112,0
500,0.22,5,0.358082,0
200,0.999999,201,0.0822941,1
900,0.07,4,1.13895,0
400,0.35,11,0.233755,0
300,0.57,117,0.204018,0
800,0.09,4,0.927297,0
600,0.16,4,0.483683,0
700,0.12,4,0.683844,0
500,0.23,6,0.336543,0
400,0.36,22,0.23107,0
300,0.58,280,0.283425,0
1000,0.06,4,1.38658,0
400,0.37,24,0.238098,0
500,0.24,9,0.328952,0
600,0.17,8,0.463703,0
400,0.38,13,0.199577,0
700,0.13,5,0.58975,0
300,0.59,788,0.478205,1
500,0.25,7,0.322658,0
400,0.39,13,0.208171,0
800,0.1,4,0.816073,0
900,0.08,3,0.982238,0
600,0.18,6,0.453409,0
400,0.4,22,0.211488,0
500,0.26,8,0.315442,0
400,0.41,16,0.203134,0
700,0.14,4,0.579131,0
300,0.6,885,0.508891,1
600,0.19,10,0.447791,0
500,0.27,10,0.308467,0
400,0.42,22,0.215781,0
1000,0.07,3,1.18449,0
800,0.11,6,0.741867,0
400,0.43,18,0.194179,0
300,0.61,906,0.439145,1
500,0.28,8,0.272251,0
700,0.15,4,0.534252,0
900,0.09,4,0.867847,0
600,0.2,11,0.39937,0
400,0.44,26,0.209471,0
500,0.29,8,0.274959,0
300,0.62,807,0.384407,1
400,0.45,39,0.218988,0
600,0.21,10,0.429108,0
500,0.3,10,0.307116,0
400,0.46,32,0.23501,0
800,0.12,5,0.693636,0
700,0.16,6,0.545819,0
300,0.63,507,0.301747,1
400,0.47,35,0.245924,0
500,0.31,15,0.320032,0
600,0.22,6,0.421914,0
300,0.64,511,0.310029,1
900,0.1,4,0.896381,0
1000,0.08,5,1.14804,0
400,0.48,30,0.224067,0
500,0.32,12,0.311993,0
700,0.17,5,0.612011,0
300,0.65,471,0.284042,1
400,0.49,31,0.217723,0
800,0.13,3,0.759939,0
600,0.23,8,0.457768,0
300,0.66,475,0.277284,1
500,0.33,14,0.320232,0
400,0.5,54,0.255263,0
300,0.67,426,0.266086,1
400,0.51,41,0.261854,0
700,0.18,6,0.599045,0
500,0.34,11,0.337905,0
600,0.24,7,0.456047,0
900,0.11,5,0.976746,0
300,0.68,422,0.263241,1
400,0.52,53,0.269941,0
800,0.14,5,0.772033,0
1000,0.09,5,1.22089,0
500,0.35,17,0.337462,0
300,0.69,419,0.257011,1
400,0.53,35,0.245816,0
600,0.25,8,0.454134,0
700,0.19,6,0.608734,0
500,0.36,21,0.339213,0
300,0.7,421,0.259239,1
400,0.54,124,0.341727,0
600,0.26,10,0.453823,0
300,0.71,405,0.245175,1
500,0.37,12,0.324124,0
800,0.15,4,0.778966,0
900,0.12,7,1.00812,0
700,0.2,9,0.606323,0
400,0.55,182,0.399689,0
300,0.72,400,0.243837,1
500,0.38,12,0.280301,0
600,0.27,7,0.425929,0
300,0.73,386,0.239759,1
1000,0.1,5,1.18291,0
400,0.56,129,0.345767,0
500,0.39,16,0.32484,0
300,0.74,377,0.228413,1
700,0.21,6,0.603091,0
800,0.16,5,0.736827,0
600,0.28,7,0.459134,0
300,0.75,378,0.229113,1
500,0.4,17,0.319904,0
900,0.13,6,0.89729,0
400,0.57,254,0.463229,0
300,0.76,376,0.216906,1
600,0.29,11,0.446022,0
500,0.41,26,0.350845,0
700,0.22,7,0.562292,0
300,0.77,365,0.229884,1
800,0.17,6,0.735379,0
400,0.58,366,0.551635,0
300,0.78,365,0.232053,1
500,0.42,23,0.32543,0
1000,0.11,5,1.15104,0
600,0.3,13,0.434405,0
300,0.79,360,0.229383,1
400,0.59,155,0.363893,0
900,0.14,6,0.936556,0
700,0.23,6,0.624602,0
500,0.43,42,0.387559,0
300,0.8,354,0.219683,1
600,0.31,9,0.46728,0
300,0.81,356,0.23142,1
800,0.18,8,0.774157,0
500,0.44,26,0.348774,0
300,0.82,347,0.206345,1
700,0.24,8,0.594112,0
600,0.32,8,0.444744,0
300,0.83,343,0.205087,1
500,0.45,27,0.320449,0
1000,0.12,4,1.17613,0
900,0.15,5,0.919302,0
300,0.839999,341,0.208115,1
500,0.46,23,0.31399,0
400,0.6,1206,1.08129,1
800,0.19,6,0.711457,0
600,0.33,14,0.429535,0
300,0.849999,338,0.197307,1
700,0.25,11,0.545113,0
300,0.859999,336,0.211504,1
500,0.47,25,0.342582,0
300,0.869999,337,0.195529,1
600,0.34,16,0.480422,0
700,0.26,13,0.578751,0
300,0.879999,331,0.201061,1
500,0.48,45,0.362441,0
400,0.61,793,0.742914,1
800,0.2,7,0.742144,0
900,0.16,6,0.927226,0
300,0.889999,328,0.197435,1
600,0.35,11,0.448102,0
1000,0.13,4,1.16413,0
500,0.49,30,0.359049,0
300,0.899999,327,0.200239,1
700,0.27,10,0.587912,0
300,0.909999,324,0.197086,1
600,0.36,14,0.44723,0
500,0.5,53,0.38112,0
300,0.919999,321,0.188094,1
400,0.62,856,0.731536,1
800,0.21,8,0.746747,0
300,0.929999,319,0.202841,1
900,0.17,5,0.971324,0
500,0.51,43,0.385211,0
700,0.28,9,0.555679,0
300,0.939999,316,0.185988,1
600,0.37,27,0.472771,0
300,0.949999,314,0.192508,1
400,0.63,686,0.637471,1
1000,0.14,5,1.11767,0
500,0.52,68,0.392138,0
800,0.22,6,0.73094,0
300,0.959999,313,0.189995,1
600,0.38,23,0.477873,0
700,0.29,11,0.565546,0
300,0.969999,310,0.193732,1
300,0.979999,308,0.186368,1
900,0.18,6,0.900215,0
500,0.53,93,0.443261,0
400,0.64,642,0.591752,1
600,0.39,16,0.432602,0
300,0.989999,306,0.179501,1
700,0.3,12,0.572894,0
800,0.23,9,0.739476,0
300,0.999999,301,0.189241,1
500,0.54,98,0.458893,0
1000,0.15,4,1.02422,0
600,0.4,17,0.361537,0
400,0.65,600,0.563601,1
900,0.19,6,0.80828,0
700,0.31,11,0.500598,0
600,0.41,19,0.370287,0
800,0.24,9,0.600893,0
500,0.55,256,0.657818,0
400,0.66,584,0.523798,1
600,0.42,21,0.369232,0
700,0.32,14,0.485024,0
1000,0.16,7,0.937263,0
500,0.56,83,0.40403,0
800,0.25,6,0.606769,0
900,0.2,7,0.748211,0
600,0.43,24,0.377746,0
400,0.67,579,0.514709,1
700,0.33,18,0.456609,0
600,0.44,24,0.36627,0
500,0.57,177,0.494643,0
800,0.26,7,0.518729,0
400,0.68,573,0.491646,1
700,0.34,12,0.441453,0
900,0.21,6,0.700101,0
1000,0.17,8,0.905887,0
600,0.45,22,0.439741,0
400,0.69,546,0.510755,1
800,0.27,8,0.659109,0
700,0.35,18,0.502562,0
600,0.46,29,0.379181,0
900,0.22,10,0.745888,0
400,0.7,553,0.451991,1
600,0.47,33,0.392704,0
1000,0.18,6,0.862459,0
700,0.36,22,0.509879,0
800,0.28,13,0.54126,0
500,0.58,656,1.28875,0
400,0.71,530,0.376559,1
600,0.48,24,0.422896,0
900,0.23,6,0.760249,0
700,0.37,23,0.595862,0
800,0.29,10,0.636959,0
600,0.49,27,0.343194,0
400,0.72,517,0.481225,1
1000,0.19,8,0.918818,0
700,0.38,14,0.508083,0
400,0.73,516,0.465085,1
800,0.3,9,0.559963,0
900,0.24,11,0.702246,0
600,0.5,82,0.555398,0
700,0.39,28,0.486404,0
400,0.74,497,0.426557,1
1000,0.2,7,0.832791,0
600,0.51,70,0.49474,0
800,0.31,26,0.623853,0
900,0.25,8,0.714164,0
700,0.4,24,0.439295,0
400,0.75,496,0.397496,1
500,0.59,1438,2.10535,1
600,0.52,91,0.491056,0
800,0.32,12,0.59402,0
400,0.76,489,0.420609,1
700,0.41,26,0.598862,0
1000,0.21,8,0.946729,0
900,0.26,7,0.752669,0
600,0.53,61,0.523059,0
400,0.77,492,0.428912,1
800,0.33,12,0.482386,0
700,0.42,29,0.4146,0
400,0.78,480,0.41184,1
600,0.54,78,0.536933,0
900,0.27,11,0.714404,0
1000,0.22,6,0.798451,0
800,0.34,14,0.581831,0
700,0.43,34,0.538452,0
400,0.79,477,0.395746,1
600,0.55,82,0.442797,0
500,0.6,1243,1.61278,1
800,0.35,16,0.60733,0
400,0.8,477,0.415823,1
900,0.28,11,0.707597,0
700,0.44,34,0.597677,0
1000,0.23,7,0.8503,0
400,0.81,466,0.373137,1
700,0.45,25,0.381536,0
800,0.36,19,0.455256,0
600,0.56,192,0.816958,0
900,0.29,15,0.489319,0
400,0.82,458,0.261781,1
1000,0.24,8,0.641072,0
700,0.46,24,0.433155,0
800,0.37,19,0.502645,0
900,0.3,10,0.495465,0
500,0.61,994,1.33687,1
400,0.83,455,0.397759,1
700,0.47,52,0.364812,0
1000,0.25,8,0.528998,0
800,0.38,13,0.447684,0
400,0.839999,452,0.368214,1
900,0.31,21,0.617644,0
700,0.48,42,0.409475,0
600,0.57,389,1.22559,0
400,0.849999,448,0.341954,1
800,0.39,18,0.486289,0
1000,0.26,8,0.604567,0
400,0.859999,446,0.364581,1
500,0.62,921,1.13551,1
900,0.32,14,0.550502,0
700,0.49,44,0.545665,0
400,0.869999,442,0.24121,1
800,0.4,28,0.472214,0
1000,0.27,10,0.6316,0
700,0.5,34,0.47958,0
900,0.33,14,0.534953,0
400,0.879999,437,0.362595,1
600,0.58,320,1.03884,0
800,0.41,20,0.412308,0
400,0.889999,434,0.360672,1
500,0.63,878,1.00614,1
700,0.51,39,0.499745,0
1000,0.28,10,0.729966,0
400,0.899999,435,0.321829,1
900,0.34,16,0.722274,0
800,0.42,25,0.656787,0
700,0.52,39,0.437474,0
400,0.909999,430,0.26486,1
800,0.43,19,0.335077,0
1000,0.29,10,0.507751,0
900,0.35,19,0.447347,0
400,0.919999,427,0.305591,1
600,0.59,445,1.29917,0
500,0.64,792,0.945863,1
700,0.53,82,0.546637,0
800,0.44,35,0.408563,0
400,0.929999,423,0.257708,1
900,0.36,22,0.374516,0
1000,0.3,8,0.468013,0
400,0.939999,422,0.323682,1
800,0.45,29,0.513532,0
1000,0.31,13,0.384869,0
900,0.37,17,0.468895,0
400,0.949999,416,0.227174,1
800,0.46,50,0.227741,0
400,0.959999,415,0.214445,1
500,0.65,773,0.881606,1
700,0.54,206,1.01374,0
1000,0.32,15,0.539949,0
400,0.969999,412,0.323518,1
900,0.38,28,0.601487,0
800,0.47,32,0.495934,0
400,0.979999,410,0.257758,1
900,0.39,13,0.396178,0
1000,0.33,12,0.474498,0
800,0.48,38,0.400128,0
400,0.989999,406,0.246817,1
500,0.66,727,0.855024,1
900,0.4,19,0.190468,0
400,0.999999,401,0.207496,1
700,0.55,181,0.86683,0
1000,0.34,11,0.338876,0
900,0.41,21,0.307615,0
800,0.49,44,0.415131,0
1000,0.35,12,0.335077,0
600,0.6,1431,2.43022,1
500,0.67,710,0.735549,1
900,0.42,18,0.40182,0
800,0.5,49,0.44145,0
700,0.56,199,0.801131,0
1000,0.36,22,0.539664,0
800,0.51,54,0.441688,0
900,0.43,47,0.592947,0
500,0.68,694,0.749999,1
1000,0.37,19,0.549227,0
900,0.44,23,0.339876,0
1000,0.38,19,0.142465,0
700,0.57,204,0.920533,0
1000,0.39,25,0.180281,0
900,0.45,54,0.30816,0
800,0.52,157,0.844109,0
500,0.69,685,0.667859,1
1000,0.4,27,0.194941,0
