n,p,n_steps,time,bottom_reached
100,0.01,2,0.0198028,0
100,0.02,2,0.0201419,0
100,0.03,2,0.01821,0
200,0.01,2,0.0714349,0
100,0.04,2,0.0180957,0
100,0.05,2,0.0180177,0
100,0.06,3,0.0192532,0
100,0.07,2,0.0190704,0
200,0.02,2,0.0672873,0
100,0.08,3,0.0185358,0
300,0.01,2,0.153469,0
100,0.09,2,0.0195646,0
100,0.1,3,0.0170278,0
200,0.03,3,0.0656368,0
100,0.11,5,0.0195149,0
100,0.12,3,0.0176827,0
100,0.13,3,0.0179683,0
400,0.01,2,0.257664,0
100,0.14,4,0.0173492,0
200,0.04,2,0.0713356,0
100,0.15,2,0.0172385,0
100,0.16,5,0.0179099,0
300,0.02,2,0.153394,0
100,0.17,4,0.0166314,0
100,0.18,4,0.017134,0
200,0.05,2,0.067515,0
100,0.19,4,0.0172035,0
100,0.2,3,0.0198853,0
100,0.21,3,0.0175207,0
100,0.22,4,0.0183809,0
500,0.01,2,0.402396,0
200,0.06,3,0.0710052,0
100,0.23,5,0.0181361,0
100,0.24,5,0.0172594,0
300,0.03,2,0.147177,0
100,0.25,4,0.0187053,0
100,0.26,7,0.0185298,0
200,0.07,3,0.0693342,0
100,0.27,11,0.0186019,0
100,0.28,7,0.0183612,0
400,0.02,2,0.261336,0
100,0.29,8,0.0188174,0
200,0.08,2,0.0644048,0
100,0.3,6,0.0177367,0
100,0.31,9,0.0185629,0
600,0.01,2,0.582227,0
100,0.32,8,0.019159,0
300,0.04,3,0.150468,0
100,0.33,6,0.0196934,0
200,0.09,2,0.0677442,0
100,0.34,5,0.0205937,0
100,0.35,9,0.0190776,0
100,0.36,10,0.0196516,0
200,0.1,4,0.06857,0
100,0.37,10,0.0196227,0
100,0.38,8,0.0186199,0
100,0.39,14,0.0216936,0
100,0.4,12,0.0196311,0
300,0.05,3,0.145797,0
200,0.11,3,0.0681482,0
100,0.41,15,0.0211644,0
400,0.03,2,0.256378,0
700,0.01,2,0.776866,0
