n,p,n_steps,time,bottom_reached
100,0.01,2,0.0173816,0
100,0.02,2,0.0165487,0
100,0.03,2,0.0172156,0
200,0.01,2,0.0639098,0
100,0.04,2,0.01628,0
100,0.05,2,0.0164342,0
100,0.06,2,0.0185215,0
300,0.01,2,0.1164,0
100,0.07,2,0.0176586,0
200,0.02,2,0.0628737,0
100,0.08,2,0.0185313,0
100,0.09,2,0.0159172,0
100,0.1,2,0.0167278,0
100,0.11,3,0.014901,0
200,0.03,2,0.0666971,0
100,0.12,3,0.0155129,0
100,0.13,4,0.0150201,0
100,0.14,8,0.0170618,0
300,0.02,2,0.119007,0
400,0.01,2,0.24915,0
100,0.15,4,0.0165696,0
200,0.04,3,0.0619593,0
100,0.16,4,0.0167922,0
100,0.17,5,0.0172989,0
100,0.18,4,0.0165886,0
100,0.19,6,0.0152345,0
200,0.05,2,0.0647016,0
100,0.2,5,0.0173723,0
100,0.21,6,0.0165784,0
300,0.03,3,0.130083,0
100,0.22,6,0.0163853,0
500,0.01,2,0.370792,0
100,0.23,5,0.016366,0
200,0.06,3,0.0631215,0
100,0.24,8,0.0180506,0
100,0.25,4,0.0162868,0
100,0.26,7,0.017154,0
200,0.07,2,0.0646291,0
100,0.27,6,0.0165019,0
100,0.28,5,0.0161989,0
100,0.29,5,0.0169181,0
400,0.02,2,0.236432,0
300,0.04,2,0.129319,0
100,0.3,9,0.0165962,0
200,0.08,3,0.0643325,0
100,0.31,9,0.0165671,0
100,0.32,10,0.0163699,0
600,0.01,2,0.540625,0
100,0.33,12,0.0170769,0
100,0.34,6,0.016632,0
200,0.09,3,0.0628584,0
100,0.35,16,0.0168114,0
100,0.36,11,0.0171675,0
100,0.37,10,0.0170272,0
300,0.05,3,0.128957,0
100,0.38,8,0.0167841,0
200,0.1,4,0.0633297,0
100,0.39,17,0.0169202,0
700,0.01,2,0.658186,0
100,0.4,13,0.0159443,0
100,0.41,12,0.0183916,0
200,0.11,3,0.0646717,0
100,0.42,15,0.0192921,0
100,0.43,20,0.0208,0
400,0.03,2,0.244137,0
500,0.02,2,0.364576,0
100,0.44,33,0.019467,0
300,0.06,3,0.124514,0
100,0.45,15,0.0192587,0
200,0.12,6,0.0651658,0
100,0.46,18,0.0186474,0
100,0.47,21,0.0203835,0
100,0.48,18,0.0188,0
200,0.13,4,0.0672689,0
100,0.49,36,0.0206543,0
100,0.5,44,0.0208309,0
300,0.07,3,0.12329,0
100,0.51,20,0.0181456,0
200,0.14,4,0.0643653,0
100,0.52,24,0.0188117,0
100,0.53,44,0.0192026,0
800,0.01,2,0.937224,0
100,0.54,40,0.0192174,0
100,0.55,72,0.0195406,0
200,0.15,4,0.0614215,0
400,0.04,2,0.245999,0
100,0.56,54,0.0202338,0
300,0.08,3,0.123709,0
100,0.57,64,0.0204961,0
100,0.58,94,0.0219517,0
200,0.16,4,0.0626959,0
100,0.59,33,0.0206425,0
100,0.6,90,0.0213506,0
600,0.02,2,0.535827,0
200,0.17,6,0.0610001,0
100,0.61,171,0.0236215,0
900,0.01,2,1.09471,0
500,0.03,3,0.366587,0
100,0.62,188,0.0268403,1
300,0.09,3,0.127833,0
100,0.63,227,0.027401,1
200,0.18,3,0.0758314,0
100,0.64,234,0.0267485,1
100,0.65,152,0.0239379,1
100,0.66,200,0.0265099,1
400,0.05,3,0.252558,0
200,0.19,6,0.0719089,0
100,0.67,151,0.022616,1
100,0.68,151,0.023922,1
300,0.1,4,0.144917,0
100,0.69,155,0.0237521,1
200,0.2,7,0.0647889,0
100,0.7,142,0.0240238,1
100,0.71,139,0.0232585,1
700,0.02,2,0.683989,0
100,0.72,142,0.0238913,1
200,0.21,6,0.064588,0
100,0.73,130,0.0232135,1
100,0.74,139,0.0243318,1
300,0.11,4,0.157851,0
200,0.22,5,0.0641134,0
100,0.75,133,0.0228189,1
100,0.76,127,0.0230216,1
100,0.77,130,0.0230551,1
1000,0.01,2,1.48776,0
200,0.23,7,0.0655434,0
500,0.04,3,0.392043,0
400,0.06,2,0.267287,0
100,0.78,128,0.0234581,1
100,0.79,123,0.0241378,1
100,0.8,123,0.0239252,1
200,0.24,6,0.0642215,0
100,0.81,121,0.0235314,1
300,0.12,4,0.155699,0
100,0.82,120,0.0207416,1
100,0.83,118,0.0216497,1
200,0.25,11,0.0675203,0
100,0.839999,118,0.0221704,1
100,0.849999,118,0.0221177,1
100,0.859999,115,0.0222578,1
600,0.03,2,0.610022,0
200,0.26,10,0.0681726,0
100,0.869999,114,0.0222464,1
100,0.879999,117,0.0242295,1
300,0.13,3,0.158687,0
100,0.889999,114,0.0234404,1
200,0.27,9,0.0693657,0
100,0.899999,110,0.0218897,1
400,0.07,3,0.279051,0
100,0.909999,113,0.0227817,1
100,0.919999,109,0.0224684,1
200,0.28,11,0.0701758,0
100,0.929999,109,0.0231508,1
100,0.939999,109,0.0210511,1
500,0.05,2,0.381341,0
100,0.949999,106,0.0210984,1
200,0.29,10,0.0679073,0
300,0.14,6,0.15987,0
100,0.959999,107,0.0212399,1
100,0.969999,105,0.0220077,1
100,0.979999,105,0.0223282,1
200,0.3,8,0.0658286,0
100,0.989999,103,0.0219104,1
800,0.02,2,1.04227,0
100,0.999999,101,0.0197407,1
200,0.31,9,0.0647824,0
400,0.08,3,0.271464,0
300,0.15,3,0.156052,0
200,0.32,8,0.0646312,0
200,0.33,11,0.0680586,0
700,0.03,4,0.848415,0
300,0.16,6,0.138919,0
200,0.34,9,0.0638921,0
500,0.06,3,0.3658,0
600,0.04,3,0.579584,0
200,0.35,11,0.0601933,0
400,0.09,3,0.24475,0
300,0.17,4,0.146616,0
200,0.36,9,0.0652912,0
900,0.02,3,1.2757,0
200,0.37,11,0.0645469,0
300,0.18,6,0.136981,0
200,0.38,14,0.0649015,0
400,0.1,3,0.231056,0
200,0.39,12,0.0669392,0
200,0.4,14,0.0643108,0
500,0.07,3,0.375798,0
300,0.19,5,0.138664,0
200,0.41,12,0.0661542,0
200,0.42,12,0.0688977,0
300,0.2,6,0.131911,0
400,0.11,4,0.250905,0
600,0.05,2,0.539037,0
200,0.43,12,0.0651289,0
300,0.21,7,0.134236,0
200,0.44,27,0.0730066,0
800,0.03,2,0.911817,0
700,0.04,3,0.72391,0
1000,0.02,2,1.45134,0
200,0.45,16,0.0666938,0
