n,p,n_steps,time,bottom_reached
100,0.01,1,0.0187811,0
100,0.02,2,0.0199061,0
100,0.03,2,0.0209738,0
200,0.01,2,0.0769688,0
100,0.04,2,0.0196975,0
100,0.05,3,0.0223279,0
100,0.06,3,0.0207779,0
100,0.07,2,0.0209056,0
200,0.02,2,0.0765037,0
100,0.08,3,0.0230859,0
300,0.01,2,0.166815,0
100,0.09,2,0.0209153,0
100,0.1,3,0.0216604,0
200,0.03,2,0.0722348,0
100,0.11,3,0.0206539,0
100,0.12,2,0.0205202,0
100,0.13,3,0.0193307,0
100,0.14,4,0.0209613,0
400,0.01,2,0.297401,0
200,0.04,3,0.0737078,0
100,0.15,4,0.021582,0
100,0.16,5,0.0205645,0
300,0.02,2,0.168735,0
100,0.17,7,0.0212496,0
200,0.05,2,0.0738873,0
100,0.18,3,0.0221257,0
100,0.19,6,0.0209234,0
100,0.2,4,0.0213,0
100,0.21,6,0.0205673,0
200,0.06,3,0.0739924,0
500,0.01,2,0.45042,0
100,0.22,5,0.0213918,0
100,0.23,4,0.020953,0
100,0.24,9,0.0208766,0
300,0.03,2,0.165125,0
200,0.07,3,0.0740952,0
100,0.25,4,0.0197088,0
100,0.26,5,0.02083,0
100,0.27,5,0.0213727,0
400,0.02,2,0.282643,0
100,0.28,5,0.0206694,0
200,0.08,3,0.0712557,0
100,0.29,5,0.0195029,0
100,0.3,6,0.0198294,0
600,0.01,2,0.640891,0
100,0.31,10,0.0205048,0
200,0.09,3,0.0742493,0
100,0.32,7,0.0224584,0
300,0.04,3,0.166271,0
100,0.33,10,0.0212635,0
100,0.34,14,0.0215672,0
100,0.35,9,0.0225753,0
200,0.1,3,0.073376,0
100,0.36,16,0.0216482,0
100,0.37,6,0.0206046,0
100,0.38,17,0.0211756,0
200,0.11,3,0.074292,0
100,0.39,8,0.0208691,0
100,0.4,7,0.022052,0
300,0.05,2,0.170788,0
100,0.41,19,0.0217807,0
400,0.03,2,0.280607,0
700,0.01,2,0.869593,0
100,0.42,20,0.0228528,0
200,0.12,3,0.0739702,0
100,0.43,19,0.0228905,0
500,0.02,3,0.457699,0
100,0.44,12,0.0218395,0
100,0.45,9,0.0233981,0
200,0.13,4,0.076017,0
100,0.46,24,0.0243121,0
100,0.47,18,0.0231238,0
300,0.06,2,0.162124,0
100,0.48,27,0.025653,0
200,0.14,4,0.0782915,0
100,0.49,29,0.024359,0
100,0.5,58,0.0247675,0
100,0.51,23,0.0248552,0
800,0.01,2,1.11108,0
200,0.15,4,0.0733287,0
100,0.52,76,0.0275924,0
100,0.53,30,0.024907,0
400,0.04,2,0.293739,0
300,0.07,3,0.164949,0
100,0.54,41,0.0248466,0
200,0.16,3,0.0761737,0
100,0.55,15,0.0223543,0
100,0.56,68,0.026698,0
100,0.57,158,0.0305718,0
200,0.17,5,0.0738286,0
600,0.02,2,0.639239,0
100,0.58,201,0.0329151,0
100,0.59,171,0.0290101,0
300,0.08,4,0.160744,0
500,0.03,2,0.425025,0
200,0.18,6,0.0682542,0
100,0.6,376,0.0346903,1
100,0.61,222,0.0301061,1
200,0.19,4,0.0686442,0
100,0.62,206,0.0291678,1
400,0.05,2,0.277425,0
100,0.63,193,0.0272558,1
900,0.01,2,1.45227,0
100,0.64,209,0.0285185,1
300,0.09,8,0.141396,0
200,0.2,8,0.0722109,0
100,0.65,159,0.0249439,1
100,0.66,166,0.0266259,1
100,0.67,156,0.0249567,1
200,0.21,5,0.0729878,0
100,0.68,154,0.0246588,1
100,0.69,143,0.0241311,1
300,0.1,3,0.145839,0
200,0.22,8,0.0685994,0
100,0.7,139,0.024932,1
100,0.71,142,0.0248103,1
700,0.02,2,0.792071,0
100,0.72,139,0.0233457,1
200,0.23,9,0.0716825,0
100,0.73,134,0.0253643,1
400,0.06,2,0.265456,0
500,0.04,2,0.380321,0
100,0.74,133,0.0246237,1
1000,0.01,2,1.73644,0
100,0.75,129,0.0233216,1
300,0.11,4,0.144856,0
200,0.24,6,0.0726339,0
100,0.76,141,0.02366,1
100,0.77,125,0.0250862,1
100,0.78,127,0.0235023,1
200,0.25,5,0.0744668,0
100,0.79,126,0.0244117,1
100,0.8,127,0.0225021,1
600,0.03,2,0.598245,0
100,0.81,121,0.0232323,1
100,0.82,123,0.0238798,1
300,0.12,3,0.150598,0
200,0.26,6,0.0748651,0
100,0.83,117,0.0226473,1
100,0.839999,116,0.0228973,1
400,0.07,4,0.272797,0
100,0.849999,118,0.0229859,1
200,0.27,7,0.0704113,0
100,0.859999,116,0.0239879,1
100,0.869999,114,0.0237382,1
100,0.879999,111,0.0236292,1
200,0.28,14,0.0751402,0
300,0.13,4,0.154074,0
100,0.889999,112,0.0238586,1
100,0.899999,111,0.0217119,1
100,0.909999,110,0.022544,1
500,0.05,3,0.400526,0
200,0.29,15,0.077555,0
100,0.919999,109,0.0216761,1
100,0.929999,108,0.0239456,1
100,0.939999,108,0.021231,1
800,0.02,2,1.07211,0
100,0.949999,107,0.0210439,1
200,0.3,8,0.0728022,0
300,0.14,3,0.152909,0
100,0.959999,106,0.0215093,1
400,0.08,3,0.271456,0
100,0.969999,105,0.0204923,1
100,0.979999,105,0.0234466,1
200,0.31,12,0.0751321,0
100,0.989999,104,0.0212548,1
100,0.999999,101,0.0217279,1
200,0.32,8,0.0733928,0
300,0.15,5,0.147958,0
200,0.33,9,0.0700642,0
700,0.03,2,0.769168,0
600,0.04,4,0.593494,0
400,0.09,4,0.2538,0
200,0.34,9,0.0708964,0
300,0.16,4,0.133252,0
500,0.06,2,0.393799,0
200,0.35,14,0.0718472,0
300,0.17,5,0.142983,0
200,0.36,17,0.0736152,0
200,0.37,10,0.0716602,0
900,0.02,3,1.2658,0
400,0.1,4,0.255598,0
300,0.18,6,0.138372,0
200,0.38,11,0.0689286,0
200,0.39,12,0.0683163,0
500,0.07,2,0.369278,0
300,0.19,6,0.137207,0
200,0.4,15,0.0718194,0
200,0.41,18,0.0716513,0
400,0.11,3,0.249125,0
600,0.05,2,0.551134,0
300,0.2,5,0.134763,0
200,0.42,14,0.0666691,0
200,0.43,26,0.0718119,0
700,0.04,2,0.706338,0
800,0.03,2,0.99292,0
300,0.21,7,0.133717,0
200,0.44,14,0.0655455,0
500,0.08,3,0.346523,0
400,0.12,5,0.231855,0
1000,0.02,2,1.52165,0
200,0.45,13,0.0644022,0
300,0.22,5,0.146764,0
200,0.46,25,0.0704918,0
200,0.47,13,0.0762262,0
300,0.23,7,0.14033,0
400,0.13,7,0.249989,0
200,0.48,24,0.0755232,0
600,0.06,3,0.536896,0
200,0.49,32,0.0766571,0
500,0.09,4,0.363305,0
300,0.24,10,0.140181,0
200,0.5,87,0.0906747,0
200,0.51,62,0.0800027,0
400,0.14,5,0.255531,0
300,0.25,5,0.134104,0
200,0.52,37,0.0772369,0
700,0.05,3,0.678447,0
200,0.53,47,0.0769921,0
300,0.26,8,0.141284,0
900,0.03,2,1.18581,0
500,0.1,5,0.360145,0
200,0.54,55,0.0834452,0
400,0.15,7,0.241739,0
300,0.27,6,0.143955,0
200,0.55,35,0.0767473,0
600,0.07,4,0.563772,0
200,0.56,165,0.107414,0
300,0.28,7,0.14462,0
800,0.04,5,1.00577,0
400,0.16,5,0.242041,0
200,0.57,308,0.142176,0
500,0.11,5,0.362567,0
300,0.29,8,0.141564,0
200,0.58,79,0.0901784,0
400,0.17,7,0.238148,0
300,0.3,7,0.14489,0
700,0.06,4,0.693105,0
200,0.59,577,0.178391,1
300,0.31,9,0.136483,0
500,0.12,7,0.36229,0
600,0.08,4,0.548501,0
200,0.6,254,0.118374,0
400,0.18,4,0.243433,0
1000,0.03,2,1.45391,0
300,0.32,8,0.138699,0
200,0.61,426,0.135771,1
300,0.33,13,0.145778,0
400,0.19,4,0.245148,0
200,0.62,368,0.130154,1
300,0.34,21,0.15818,0
500,0.13,4,0.371254,0
200,0.63,373,0.123032,1
900,0.04,3,1.2034,0
800,0.05,3,0.972689,0
400,0.2,8,0.232224,0
200,0.64,330,0.115168,1
300,0.35,11,0.147842,0
700,0.07,3,0.689492,0
600,0.09,4,0.544093,0
200,0.65,307,0.11206,1
300,0.36,14,0.161006,0
200,0.66,303,0.113109,1
400,0.21,7,0.252237,0
500,0.14,7,0.402357,0
300,0.37,12,0.151815,0
200,0.67,293,0.111976,1
200,0.68,293,0.112283,1
300,0.38,15,0.158409,0
