n,p,n_steps,time,bottom_reached
100,0.01,2,0.0219316,0
100,0.02,2,0.0247068,0
100,0.03,2,0.0250153,0
200,0.01,2,0.0804115,0
100,0.04,2,0.0236311,0
100,0.05,2,0.0234207,0
100,0.06,2,0.0259133,0
200,0.02,2,0.0785163,0
100,0.07,4,0.0239929,0
300,0.01,2,0.179271,0
100,0.08,3,0.0233487,0
100,0.09,2,0.0234216,0
200,0.03,2,0.0797859,0
100,0.1,3,0.0239083,0
100,0.11,2,0.0237099,0
100,0.12,3,0.0247054,0
100,0.13,3,0.0223792,0
200,0.04,2,0.0833187,0
400,0.01,2,0.331133,0
100,0.14,6,0.0222046,0
300,0.02,2,0.174558,0
100,0.15,4,0.0242438,0
100,0.16,3,0.0231101,0
200,0.05,2,0.0799175,0
100,0.17,4,0.0231652,0
100,0.18,4,0.0250575,0
100,0.19,4,0.0235608,0
100,0.2,3,0.0242088,0
500,0.01,2,0.479506,0
200,0.06,2,0.0802353,0
100,0.21,4,0.0235489,0
100,0.22,4,0.0229325,0
300,0.03,2,0.181939,0
100,0.23,4,0.025108,0
200,0.07,4,0.0818223,0
100,0.24,10,0.0253104,0
100,0.25,15,0.0247062,0
100,0.26,7,0.0232022,0
200,0.08,4,0.0804297,0
100,0.27,8,0.0245755,0
400,0.02,2,0.323464,0
100,0.28,7,0.0237666,0
100,0.29,17,0.0238169,0
600,0.01,2,0.696261,0
300,0.04,3,0.17587,0
100,0.3,3,0.0245099,0
200,0.09,3,0.0830414,0
100,0.31,5,0.0250658,0
100,0.32,9,0.0258487,0
100,0.33,8,0.0249426,0
200,0.1,3,0.0815618,0
100,0.34,11,0.0238575,0
100,0.35,6,0.0246089,0
100,0.36,24,0.024095,0
100,0.37,11,0.0249927,0
200,0.11,3,0.0834546,0
300,0.05,4,0.184127,0
100,0.38,9,0.023916,0
100,0.39,6,0.0247525,0
500,0.02,2,0.477678,0
100,0.4,14,0.022819,0
200,0.12,4,0.0775489,0
400,0.03,2,0.315853,0
700,0.01,2,0.971954,0
100,0.41,13,0.0241875,0
100,0.42,14,0.0250483,0
100,0.43,7,0.0235469,0
200,0.13,4,0.0803488,0
100,0.44,12,0.0235737,0
300,0.06,4,0.180254,0
100,0.45,13,0.022191,0
100,0.46,16,0.026671,0
200,0.14,5,0.0801028,0
100,0.47,28,0.0239753,0
100,0.48,21,0.0245799,0
100,0.49,12,0.0217822,0
800,0.01,2,1.18527,0
100,0.5,31,0.0230286,0
200,0.15,5,0.0827729,0
100,0.51,39,0.0277643,0
100,0.52,15,0.0241477,0
300,0.07,2,0.178133,0
400,0.04,4,0.308288,0
100,0.53,70,0.0293093,0
200,0.16,4,0.0832483,0
100,0.54,49,0.0281751,0
100,0.55,56,0.025282,0
100,0.56,91,0.0275076,0
200,0.17,4,0.0839476,0
600,0.02,2,0.693008,0
100,0.57,196,0.0340637,1
100,0.58,137,0.0302975,0
300,0.08,3,0.175769,0
500,0.03,2,0.483635,0
100,0.59,120,0.0289077,0
200,0.18,5,0.0788442,0
100,0.6,203,0.0302672,1
100,0.61,194,0.0307364,1
900,0.01,2,1.52994,0
200,0.19,5,0.0810737,0
100,0.62,165,0.0297706,1
100,0.63,232,0.0299634,1
400,0.05,2,0.316074,0
300,0.09,3,0.169629,0
100,0.64,199,0.0277866,1
200,0.2,6,0.0838025,0
100,0.65,159,0.0285734,1
100,0.66,161,0.0288323,1
100,0.67,168,0.0275036,1
200,0.21,3,0.0832437,0
100,0.68,156,0.0278326,1
100,0.69,143,0.0284464,1
100,0.7,147,0.0268041,1
300,0.1,6,0.176325,0
200,0.22,6,0.0838392,0
100,0.71,141,0.0275625,1
1000,0.01,2,1.82091,0
100,0.72,137,0.0247378,1
100,0.73,138,0.0269719,1
200,0.23,4,0.0838075,0
100,0.74,136,0.0249805,1
100,0.75,137,0.0259129,1
400,0.06,2,0.32046,0
500,0.04,3,0.477622,0
100,0.76,128,0.0261196,1
700,0.02,2,0.957001,0
300,0.11,3,0.175478,0
100,0.77,127,0.0264673,1
200,0.24,8,0.0817734,0
100,0.78,125,0.0267915,1
100,0.79,125,0.0296681,1
200,0.25,5,0.0815504,0
100,0.8,122,0.0288256,1
100,0.81,119,0.0258488,1
600,0.03,2,0.683741,0
100,0.82,119,0.0284277,1
200,0.26,10,0.0802603,0
100,0.83,120,0.0273491,1
300,0.12,4,0.178707,0
100,0.839999,116,0.0276575,1
100,0.849999,120,0.030658,1
200,0.27,6,0.078464,0
100,0.859999,114,0.026203,1
400,0.07,3,0.312621,0
100,0.869999,114,0.0267062,1
100,0.879999,114,0.0270552,1
200,0.28,8,0.0768106,0
100,0.889999,113,0.0258174,1
300,0.13,3,0.183937,0
100,0.899999,111,0.0281351,1
100,0.909999,111,0.0264074,1
200,0.29,9,0.0795256,0
100,0.919999,110,0.025344,1
800,0.02,2,1.19215,0
500,0.05,3,0.466536,0
100,0.929999,110,0.0273465,1
100,0.939999,110,0.0262097,1
200,0.3,13,0.0785374,0
100,0.949999,106,0.0250255,1
100,0.959999,106,0.0263663,1
300,0.14,4,0.177206,0
100,0.969999,105,0.0246,1
200,0.31,9,0.0801504,0
100,0.979999,105,0.0251214,1
400,0.08,6,0.313179,0
100,0.989999,103,0.0263186,1
100,0.999999,101,0.0269013,1
200,0.32,9,0.0776521,0
200,0.33,7,0.0713524,0
300,0.15,5,0.171747,0
600,0.04,3,0.660867,0
200,0.34,11,0.0737748,0
200,0.35,17,0.0760373,0
400,0.09,3,0.275353,0
700,0.03,3,0.896562,0
300,0.16,6,0.16641,0
500,0.06,4,0.456567,0
200,0.36,9,0.0721582,0
200,0.37,17,0.0758336,0
300,0.17,8,0.162369,0
900,0.02,3,1.47047,0
200,0.38,24,0.0799444,0
400,0.1,4,0.269977,0
200,0.39,16,0.0756349,0
300,0.18,5,0.163475,0
200,0.4,22,0.075379,0
200,0.41,15,0.074159,0
500,0.07,2,0.441267,0
300,0.19,8,0.168978,0
200,0.42,10,0.0749276,0
600,0.05,3,0.613676,0
400,0.11,4,0.267376,0
200,0.43,31,0.0788104,0
200,0.44,8,0.0724982,0
300,0.2,6,0.166749,0
1000,0.02,2,1.67274,0
800,0.03,3,1.12607,0
200,0.45,34,0.081746,0
400,0.12,4,0.265547,0
200,0.46,20,0.0777233,0
300,0.21,4,0.162378,0
700,0.04,2,0.842103,0
500,0.08,2,0.42949,0
