n,p,n_steps,time,bottom_reached
100,0.01,2,0.0203408,0
100,0.02,2,0.0193511,0
100,0.03,2,0.0182163,0
200,0.01,2,0.0649416,0
100,0.04,2,0.0187708,0
100,0.05,2,0.0201555,0
100,0.06,3,0.0198153,0
200,0.02,2,0.0591556,0
100,0.07,3,0.0201508,0
100,0.08,2,0.0189576,0
300,0.01,2,0.15806,0
100,0.09,3,0.019164,0
200,0.03,2,0.0650584,0
100,0.1,3,0.0196847,0
100,0.11,3,0.0192306,0
100,0.12,3,0.0194185,0
200,0.04,2,0.0632752,0
100,0.13,2,0.0199337,0
400,0.01,3,0.262691,0
100,0.14,3,0.01987,0
100,0.15,2,0.0196551,0
300,0.02,2,0.150525,0
100,0.16,4,0.0184306,0
200,0.05,2,0.06259,0
100,0.17,4,0.0198333,0
100,0.18,3,0.0204622,0
100,0.19,6,0.0211913,0
200,0.06,3,0.0660992,0
100,0.2,7,0.0207502,0
100,0.21,5,0.0173836,0
500,0.01,2,0.416798,0
100,0.22,7,0.0178547,0
200,0.07,3,0.0632486,0
100,0.23,8,0.0187566,0
300,0.03,3,0.154052,0
100,0.24,4,0.0183078,0
100,0.25,7,0.0197152,0
100,0.26,5,0.0183345,0
200,0.08,2,0.0648242,0
100,0.27,6,0.0176921,0
400,0.02,2,0.262243,0
100,0.28,5,0.0196885,0
600,0.01,2,0.554376,0
100,0.29,7,0.0177742,0
200,0.09,3,0.0649166,0
100,0.3,8,0.0193778,0
100,0.31,9,0.018357,0
300,0.04,2,0.1502,0
100,0.32,7,0.0179478,0
100,0.33,8,0.0178212,0
200,0.1,4,0.0679242,0
100,0.34,9,0.0187017,0
100,0.35,10,0.0197199,0
100,0.36,9,0.0195687,0
200,0.11,4,0.0655441,0
100,0.37,10,0.0179196,0
100,0.38,9,0.0186611,0
100,0.39,16,0.019829,0
300,0.05,4,0.151961,0
100,0.4,27,0.0204575,0
200,0.12,3,0.0680352,0
100,0.41,7,0.0179854,0
400,0.03,3,0.259941,0
700,0.01,2,0.790624,0
100,0.42,18,0.0206284,0
100,0.43,12,0.0198784,0
500,0.02,2,0.411754,0
200,0.13,4,0.0660854,0
100,0.44,26,0.0212604,0
100,0.45,35,0.0210938,0
100,0.46,13,0.0199465,0
100,0.47,21,0.0197757,0
200,0.14,5,0.0684555,0
300,0.06,3,0.148422,0
100,0.48,37,0.0220189,0
800,0.01,2,0.936518,0
100,0.49,22,0.0193367,0
100,0.5,19,0.0213399,0
200,0.15,4,0.0657488,0
100,0.51,39,0.0213725,0
100,0.52,40,0.0212276,0
100,0.53,69,0.02395,0
400,0.04,2,0.252218,0
200,0.16,3,0.0652204,0
300,0.07,3,0.142194,0
100,0.54,69,0.0224253,0
100,0.55,135,0.0253123,0
200,0.17,6,0.0626736,0
600,0.02,2,0.552513,0
100,0.56,179,0.0275805,0
100,0.57,41,0.0186373,0
100,0.58,148,0.0227071,0
200,0.18,5,0.0559296,0
100,0.59,209,0.0249379,1
300,0.08,3,0.139472,0
100,0.6,305,0.0289594,1
500,0.03,2,0.382087,0
200,0.19,4,0.0563499,0
100,0.61,85,0.0215896,0
900,0.01,2,1.25482,0
100,0.62,225,0.026547,1
400,0.05,2,0.236126,0
200,0.2,5,0.0617032,0
100,0.63,172,0.0227519,1
100,0.64,221,0.0252771,1
100,0.65,179,0.0220551,1
300,0.09,4,0.140785,0
200,0.21,6,0.0646628,0
100,0.66,162,0.0213293,1
100,0.67,155,0.0220496,1
100,0.68,154,0.0211695,1
200,0.22,7,0.0627946,0
100,0.69,150,0.0207644,1
100,0.7,146,0.0204728,1
100,0.71,141,0.0209027,1
200,0.23,6,0.0648379,0
100,0.72,151,0.0205977,1
1000,0.01,2,1.47449,0
300,0.1,4,0.139495,0
100,0.73,147,0.0208079,1
100,0.74,139,0.0206212,1
400,0.06,3,0.243305,0
700,0.02,2,0.741974,0
200,0.24,5,0.064797,0
100,0.75,130,0.0204199,1
100,0.76,129,0.019633,1
100,0.77,129,0.0198433,1
500,0.04,2,0.380896,0
100,0.78,128,0.0196966,1
200,0.25,7,0.0660566,0
100,0.79,123,0.0194631,1
300,0.11,4,0.146633,0
100,0.8,124,0.0191225,1
100,0.81,119,0.0191326,1
200,0.26,7,0.0637319,0
600,0.03,2,0.560465,0
100,0.82,123,0.0191181,1
100,0.83,118,0.0195425,1
100,0.839999,116,0.0195709,1
100,0.849999,117,0.019307,1
200,0.27,8,0.0653373,0
100,0.859999,115,0.0199961,1
400,0.07,3,0.243913,0
100,0.869999,114,0.0194525,1
300,0.12,4,0.148022,0
100,0.879999,113,0.0179574,1
200,0.28,7,0.0659144,0
100,0.889999,112,0.0194398,1
100,0.899999,111,0.0201961,1
100,0.909999,111,0.0190343,1
200,0.29,6,0.0643857,0
100,0.919999,111,0.0177846,1
800,0.02,2,0.944447,0
100,0.929999,108,0.018784,1
100,0.939999,108,0.018558,1
300,0.13,5,0.149514,0
100,0.949999,107,0.0200495,1
200,0.3,9,0.063865,0
100,0.959999,105,0.020912,1
100,0.969999,105,0.019573,1
100,0.979999,106,0.0207883,1
500,0.05,3,0.391498,0
200,0.31,9,0.0626351,0
100,0.989999,103,0.0192816,1
400,0.08,4,0.254135,0
100,0.999999,101,0.0198201,1
200,0.32,10,0.0593295,0
