n,p,n_steps,time,bottom_reached
100,0.01,2,0.0167549,0
100,0.02,2,0.0197742,0
100,0.03,2,0.0193706,0
200,0.01,2,0.0726943,0
100,0.04,2,0.0197576,0
100,0.05,2,0.0185645,0
100,0.06,2,0.0182549,0
100,0.07,2,0.020257,0
200,0.02,2,0.0733976,0
100,0.08,2,0.0193979,0
300,0.01,2,0.166218,0
100,0.09,2,0.0186772,0
100,0.1,2,0.0197532,0
100,0.11,3,0.0198534,0
200,0.03,2,0.0699433,0
100,0.12,4,0.0212777,0
400,0.01,2,0.237205,0
100,0.13,3,0.0203117,0
100,0.14,3,0.0199807,0
200,0.04,2,0.0738389,0
100,0.15,3,0.0191849,0
100,0.16,3,0.0188485,0
300,0.02,2,0.161342,0
100,0.17,5,0.0194084,0
100,0.18,5,0.0196475,0
200,0.05,2,0.0715964,0
100,0.19,3,0.0201445,0
100,0.2,5,0.020141,0
100,0.21,4,0.020261,0
500,0.01,2,0.427524,0
100,0.22,4,0.0190668,0
200,0.06,3,0.0709771,0
100,0.23,5,0.0192731,0
100,0.24,6,0.0198609,0
100,0.25,5,0.020101,0
300,0.03,2,0.161799,0
400,0.02,2,0.258489,0
200,0.07,3,0.0720728,0
100,0.26,7,0.0210639,0
100,0.27,12,0.0202498,0
100,0.28,7,0.0205901,0
600,0.01,2,0.554216,0
100,0.29,5,0.0194419,0
200,0.08,3,0.0709172,0
100,0.3,8,0.0208854,0
100,0.31,9,0.0220404,0
100,0.32,9,0.0202519,0
200,0.09,4,0.0699333,0
300,0.04,3,0.160705,0
100,0.33,9,0.0200914,0
100,0.34,13,0.0221087,0
100,0.35,8,0.0211717,0
100,0.36,6,0.0200692,0
200,0.1,3,0.0722408,0
100,0.37,7,0.0211453,0
100,0.38,12,0.0209539,0
400,0.03,2,0.267332,0
100,0.39,10,0.019754,0
200,0.11,4,0.071865,0
100,0.4,9,0.0207787,0
300,0.05,4,0.163363,0
700,0.01,2,0.818193,0
100,0.41,14,0.020503,0
100,0.42,17,0.0205566,0
500,0.02,2,0.432942,0
200,0.12,5,0.0721739,0
100,0.43,29,0.0229649,0
100,0.44,31,0.0214196,0
100,0.45,15,0.0223848,0
100,0.46,15,0.0195556,0
200,0.13,4,0.0724632,0
100,0.47,20,0.0221499,0
100,0.48,40,0.022866,0
300,0.06,2,0.161009,0
100,0.49,21,0.020639,0
200,0.14,4,0.072988,0
100,0.5,48,0.0237255,0
400,0.04,3,0.263882,0
100,0.51,28,0.0219228,0
100,0.52,26,0.0214688,0
200,0.15,3,0.070743,0
100,0.53,46,0.0231002,0
800,0.01,3,1.08813,0
100,0.54,67,0.0237036,0
100,0.55,64,0.0231106,0
300,0.07,3,0.161642,0
600,0.02,2,0.581992,0
200,0.16,5,0.0713801,0
100,0.56,27,0.0206743,0
100,0.57,110,0.0261001,0
100,0.58,242,0.0316645,1
200,0.17,4,0.0717111,0
100,0.59,148,0.0263534,0
100,0.6,249,0.0314109,0
500,0.03,2,0.419128,0
400,0.05,2,0.261302,0
200,0.18,3,0.0722614,0
300,0.08,6,0.158498,0
100,0.61,289,0.0331806,1
900,0.01,2,1.32599,0
100,0.62,225,0.0291784,1
100,0.63,231,0.029216,1
200,0.19,3,0.0681163,0
100,0.64,172,0.0256871,1
100,0.65,153,0.0259775,1
200,0.2,5,0.0718077,0
100,0.66,160,0.0257936,1
300,0.09,3,0.159621,0
100,0.67,155,0.0251632,1
100,0.68,156,0.0268192,1
200,0.21,6,0.0705515,0
100,0.69,147,0.0246505,1
100,0.7,144,0.0253492,1
400,0.06,2,0.257713,0
100,0.71,142,0.026821,1
1000,0.01,2,1.56566,0
200,0.22,8,0.0721784,0
100,0.72,140,0.0227769,1
700,0.02,3,0.775942,0
300,0.1,4,0.154124,0
100,0.73,134,0.0251097,1
100,0.74,139,0.0241264,1
200,0.23,7,0.0732456,0
100,0.75,136,0.0251052,1
100,0.76,130,0.0234647,1
500,0.04,3,0.41258,0
100,0.77,131,0.0243487,1
600,0.03,3,0.577927,0
200,0.24,6,0.0737429,0
100,0.78,129,0.0250591,1
100,0.79,123,0.0238107,1
300,0.11,4,0.151758,0
100,0.8,124,0.0251122,1
200,0.25,5,0.0722443,0
100,0.81,124,0.023558,1
400,0.07,3,0.276158,0
100,0.82,120,0.0243032,1
100,0.83,120,0.0222254,1
200,0.26,6,0.072901,0
100,0.839999,116,0.0262254,1
100,0.849999,115,0.0253232,1
300,0.12,5,0.15917,0
100,0.859999,117,0.0239934,1
200,0.27,8,0.075325,0
100,0.869999,116,0.0237383,1
100,0.879999,114,0.0225191,1
100,0.889999,112,0.0230051,1
200,0.28,10,0.0721919,0
100,0.899999,111,0.0217978,1
100,0.909999,110,0.0211818,1
100,0.919999,110,0.0213737,1
300,0.13,3,0.155095,0
100,0.929999,108,0.0204724,1
500,0.05,2,0.393902,0
200,0.29,8,0.0717679,0
400,0.08,5,0.271265,0
100,0.939999,108,0.0222339,1
100,0.949999,107,0.0228941,1
100,0.959999,106,0.0214997,1
800,0.02,3,1.06462,0
200,0.3,7,0.0758999,0
100,0.969999,106,0.0205592,1
100,0.979999,104,0.0221193,1
100,0.989999,103,0.0226576,1
300,0.14,4,0.157781,0
100,0.999999,101,0.0209362,1
200,0.31,8,0.0768404,0
200,0.32,7,0.0697133,0
600,0.04,3,0.600845,0
400,0.09,3,0.266563,0
300,0.15,5,0.145431,0
200,0.33,9,0.0691828,0
700,0.03,3,0.82512,0
500,0.06,3,0.35253,0
200,0.34,19,0.0662053,0
200,0.35,13,0.0710628,0
300,0.16,4,0.145825,0
