n,p,n_steps,time,bottom_reached
100,0.01,2,0.0184096,0
100,0.02,2,0.0168525,0
100,0.03,3,0.0195809,0
200,0.01,1,0.0664043,0
100,0.04,2,0.0186748,0
100,0.05,2,0.0182931,0
100,0.06,2,0.0173488,0
100,0.07,3,0.0181014,0
200,0.02,2,0.0665225,0
300,0.01,2,0.140454,0
100,0.08,3,0.0174481,0
100,0.09,2,0.0172456,0
100,0.1,2,0.0166584,0
100,0.11,4,0.0174081,0
200,0.03,2,0.0680742,0
100,0.12,2,0.0169033,0
100,0.13,3,0.0186659,0
400,0.01,2,0.240394,0
100,0.14,3,0.0170578,0
100,0.15,4,0.0178916,0
200,0.04,2,0.0658698,0
300,0.02,2,0.136776,0
100,0.16,5,0.0174197,0
100,0.17,3,0.0173491,0
100,0.18,6,0.0175065,0
200,0.05,2,0.0648931,0
100,0.19,3,0.0178917,0
100,0.2,5,0.0178429,0
100,0.21,6,0.0186647,0
500,0.01,2,0.376072,0
100,0.22,4,0.0173066,0
200,0.06,3,0.06708,0
100,0.23,5,0.0170068,0
300,0.03,3,0.137501,0
100,0.24,4,0.0171061,0
100,0.25,5,0.01673,0
100,0.26,8,0.0179636,0
200,0.07,3,0.0639917,0
100,0.27,5,0.0183242,0
400,0.02,3,0.243986,0
100,0.28,7,0.0175486,0
100,0.29,12,0.0179088,0
200,0.08,2,0.0628831,0
100,0.3,11,0.0182313,0
600,0.01,2,0.540708,0
100,0.31,6,0.0175097,0
300,0.04,2,0.14297,0
100,0.32,7,0.0180558,0
100,0.33,9,0.0166529,0
200,0.09,4,0.0623524,0
100,0.34,9,0.0167563,0
100,0.35,9,0.0167962,0
100,0.36,8,0.0172354,0
100,0.37,12,0.0194134,0
200,0.1,3,0.0661997,0
100,0.38,8,0.0183626,0
100,0.39,12,0.0184809,0
300,0.05,2,0.138599,0
100,0.4,12,0.0183253,0
200,0.11,4,0.0654773,0
100,0.41,10,0.0191679,0
400,0.03,2,0.247977,0
100,0.42,15,0.0190951,0
700,0.01,2,0.74798,0
500,0.02,2,0.390287,0
100,0.43,18,0.0193186,0
200,0.12,3,0.0634374,0
100,0.44,10,0.0188282,0
100,0.45,10,0.0193248,0
100,0.46,14,0.0187453,0
300,0.06,3,0.135001,0
100,0.47,18,0.0197386,0
200,0.13,7,0.0666028,0
100,0.48,11,0.0185985,0
100,0.49,21,0.019822,0
100,0.5,28,0.0194527,0
200,0.14,2,0.0626978,0
100,0.51,48,0.0212003,0
100,0.52,37,0.0202785,0
800,0.01,2,0.944161,0
100,0.53,78,0.0208859,0
300,0.07,2,0.139091,0
400,0.04,2,0.245873,0
200,0.15,6,0.0658338,0
100,0.54,96,0.0225757,0
100,0.55,65,0.0220468,0
100,0.56,84,0.0211515,0
200,0.16,5,0.0648822,0
100,0.57,31,0.0202996,0
100,0.58,92,0.0233591,0
600,0.02,2,0.545574,0
100,0.59,115,0.0257766,0
200,0.17,4,0.0725553,0
100,0.6,28,0.0191733,0
300,0.08,4,0.159219,0
500,0.03,2,0.366856,0
100,0.61,185,0.0258173,1
100,0.62,152,0.0236425,1
200,0.18,4,0.0710306,0
100,0.63,178,0.0241096,1
900,0.01,2,1.21005,0
100,0.64,189,0.0257026,1
400,0.05,3,0.251452,0
100,0.65,154,0.0233222,1
200,0.19,8,0.0710575,0
100,0.66,149,0.0230089,1
100,0.67,153,0.0226234,1
300,0.09,3,0.16162,0
100,0.68,161,0.0232608,1
200,0.2,4,0.0676782,0
100,0.69,142,0.0223479,1
100,0.7,139,0.0231809,1
100,0.71,154,0.0235623,1
200,0.21,4,0.0692374,0
100,0.72,146,0.022792,1
100,0.73,135,0.0217471,1
700,0.02,2,0.68466,0
300,0.1,4,0.152114,0
100,0.74,131,0.0207268,1
200,0.22,5,0.0692378,0
100,0.75,127,0.0216564,1
400,0.06,4,0.24783,0
100,0.76,129,0.0212673,1
500,0.04,3,0.355974,0
100,0.77,135,0.0220483,1
1000,0.01,2,1.52417,0
100,0.78,123,0.0214737,1
200,0.23,12,0.0682142,0
100,0.79,125,0.0218467,1
100,0.8,126,0.0224207,1
300,0.11,5,0.144765,0
100,0.81,122,0.023679,1
200,0.24,6,0.0704542,0
100,0.82,121,0.0222159,1
100,0.83,125,0.022337,1
600,0.03,3,0.571219,0
100,0.839999,121,0.0233607,1
200,0.25,6,0.066001,0
100,0.849999,118,0.0223684,1
100,0.859999,116,0.0230228,1
400,0.07,3,0.238533,0
100,0.869999,114,0.0204317,1
300,0.12,4,0.144404,0
200,0.26,7,0.0688602,0
100,0.879999,114,0.0203051,1
100,0.889999,114,0.022064,1
100,0.899999,112,0.0214228,1
200,0.27,12,0.0692146,0
100,0.909999,112,0.0215053,1
100,0.919999,110,0.0217281,1
100,0.929999,109,0.0229517,1
500,0.05,3,0.378307,0
200,0.28,9,0.0676811,0
300,0.13,3,0.147208,0
100,0.939999,108,0.0211616,1
100,0.949999,107,0.0222045,1
800,0.02,2,0.976246,0
100,0.959999,107,0.0197996,1
200,0.29,7,0.069882,0
100,0.969999,105,0.020948,1
400,0.08,4,0.244903,0
100,0.979999,105,0.0214775,1
100,0.989999,104,0.0197185,1
100,0.999999,101,0.0198678,1
200,0.3,8,0.0667956,0
300,0.14,5,0.141866,0
200,0.31,9,0.0624364,0
200,0.32,10,0.063308,0
300,0.15,4,0.127721,0
700,0.03,2,0.747483,0
600,0.04,3,0.534268,0
200,0.33,13,0.0601069,0
400,0.09,4,0.249033,0
500,0.06,3,0.357894,0
200,0.34,13,0.0632944,0
300,0.16,5,0.129751,0
200,0.35,10,0.0638163,0
200,0.36,11,0.0623887,0
900,0.02,2,1.184,0
300,0.17,7,0.130157,0
200,0.37,11,0.0615768,0
400,0.1,3,0.241862,0
200,0.38,22,0.0684303,0
300,0.18,8,0.133209,0
500,0.07,3,0.336596,0
200,0.39,12,0.0631856,0
200,0.4,12,0.0640442,0
300,0.19,4,0.134949,0
600,0.05,3,0.496332,0
400,0.11,5,0.239198,0
200,0.41,13,0.0717474,0
200,0.42,9,0.0696804,0
300,0.2,4,0.132111,0
200,0.43,24,0.0722444,0
800,0.03,3,0.957405,0
500,0.08,4,0.348031,0
400,0.12,4,0.235532,0
700,0.04,4,0.749611,0
200,0.44,25,0.0742007,0
300,0.21,6,0.134914,0
1000,0.02,2,1.43004,0
200,0.45,17,0.0689404,0
200,0.46,32,0.0726011,0
300,0.22,7,0.137169,0
200,0.47,30,0.0730222,0
400,0.13,4,0.233173,0
600,0.06,2,0.507155,0
300,0.23,6,0.132611,0
200,0.48,42,0.0756946,0
500,0.09,4,0.353208,0
200,0.49,30,0.0734033,0
300,0.24,8,0.138329,0
200,0.5,27,0.0744882,0
400,0.14,4,0.234168,0
200,0.51,50,0.077966,0
300,0.25,7,0.148104,0
200,0.52,100,0.0908463,0
900,0.03,3,1.1603,0
400,0.15,4,0.21473,0
500,0.1,2,0.356475,0
200,0.53,109,0.0973647,0
300,0.26,13,0.145598,0
700,0.05,2,0.728332,0
600,0.07,3,0.50442,0
200,0.54,93,0.0895482,0
300,0.27,7,0.148225,0
800,0.04,4,0.942131,0
400,0.16,7,0.212278,0
200,0.55,175,0.112141,0
200,0.56,98,0.0877948,0
300,0.28,8,0.135949,0
500,0.11,5,0.363659,0
200,0.57,70,0.0842414,0
400,0.17,5,0.219153,0
300,0.29,11,0.153915,0
200,0.58,507,0.175677,1
600,0.08,5,0.500224,0
300,0.3,10,0.149252,0
400,0.18,5,0.230659,0
200,0.59,116,0.0957625,0
1000,0.03,2,1.37566,0
500,0.12,4,0.370563,0
300,0.31,9,0.149896,0
200,0.6,225,0.12163,0
700,0.06,3,0.753352,0
400,0.19,6,0.244955,0
300,0.32,14,0.140606,0
200,0.61,433,0.14132,1
300,0.33,12,0.144457,0
200,0.62,443,0.137482,1
900,0.04,3,1.15519,0
600,0.09,3,0.524406,0
500,0.13,4,0.385171,0
400,0.2,6,0.237995,0
800,0.05,3,0.970568,0
200,0.63,353,0.123335,1
300,0.34,18,0.149445,0
200,0.64,352,0.118379,1
300,0.35,13,0.152467,0
400,0.21,7,0.242466,0
200,0.65,324,0.114168,1
500,0.14,4,0.364288,0
300,0.36,16,0.144711,0
200,0.66,305,0.103883,1
700,0.07,5,0.731312,0
400,0.22,7,0.223244,0
200,0.67,302,0.105056,1
600,0.1,4,0.525828,0
300,0.37,9,0.135715,0
200,0.68,292,0.101509,1
300,0.38,12,0.14218,0
400,0.23,7,0.225348,0
500,0.15,5,0.342782,0
200,0.69,288,0.0990094,1
300,0.39,13,0.140185,0
200,0.7,280,0.0979592,1
200,0.71,272,0.10183,1
1000,0.04,3,1.33324,0
400,0.24,7,0.226352,0
300,0.4,17,0.138764,0
800,0.06,3,0.915746,0
200,0.72,280,0.0986458,1
600,0.11,4,0.518414,0
500,0.16,5,0.353556,0
300,0.41,28,0.142834,0
900,0.05,4,1.12615,0
700,0.08,4,0.698501,0
200,0.73,259,0.0965675,1
400,0.25,9,0.220726,0
200,0.74,265,0.099346,1
300,0.42,14,0.13417,0
200,0.75,256,0.0950348,1
300,0.43,20,0.140278,0
400,0.26,9,0.217224,0
200,0.76,247,0.0940828,1
500,0.17,5,0.349764,0
300,0.44,16,0.129355,0
200,0.77,250,0.0932316,1
600,0.12,4,0.496997,0
400,0.27,6,0.197012,0
200,0.78,242,0.0863577,1
300,0.45,20,0.115822,0
200,0.79,247,0.0830884,1
500,0.18,6,0.311463,0
300,0.46,32,0.128094,0
200,0.8,239,0.0895748,1
700,0.09,5,0.653979,0
400,0.28,13,0.209889,0
800,0.07,5,0.84738,0
200,0.81,240,0.0857845,1
300,0.47,26,0.122578,0
200,0.82,235,0.081423,1
600,0.13,7,0.441631,0
300,0.48,24,0.122534,0
400,0.29,8,0.206701,0
200,0.83,229,0.0819947,1
500,0.19,6,0.30888,0
200,0.839999,230,0.0853239,1
300,0.49,27,0.121275,0
900,0.06,3,1.00712,0
