n,p,n_steps,time,bottom_reached
100,0.01,2,0.0172056,0
100,0.02,2,0.0166781,0
100,0.03,2,0.0177233,0
200,0.01,2,0.0673994,0
100,0.04,2,0.0166671,0
100,0.05,2,0.0164577,0
100,0.06,2,0.0171792,0
100,0.07,2,0.0176768,0
200,0.02,2,0.0651581,0
100,0.08,2,0.0190393,0
300,0.01,2,0.147618,0
100,0.09,4,0.0185807,0
100,0.1,3,0.0176669,0
100,0.11,3,0.019012,0
200,0.03,2,0.0672913,0
100,0.12,2,0.018517,0
100,0.13,4,0.0176591,0
400,0.01,2,0.248257,0
100,0.14,3,0.0185936,0
200,0.04,2,0.0662924,0
100,0.15,3,0.0179092,0
100,0.16,6,0.0184728,0
300,0.02,2,0.146539,0
100,0.17,5,0.0183035,0
100,0.18,3,0.017801,0
200,0.05,3,0.0661984,0
100,0.19,6,0.0180456,0
100,0.2,4,0.0181316,0
100,0.21,5,0.0180246,0
500,0.01,2,0.385502,0
100,0.22,6,0.0165258,0
200,0.06,2,0.0677651,0
100,0.23,5,0.0189986,0
100,0.24,5,0.0188007,0
300,0.03,3,0.142099,0
100,0.25,4,0.0170888,0
100,0.26,8,0.01834,0
200,0.07,3,0.0696649,0
100,0.27,6,0.0183743,0
400,0.02,2,0.246088,0
100,0.28,7,0.0180929,0
100,0.29,7,0.0191329,0
200,0.08,2,0.0656595,0
100,0.3,11,0.0182947,0
600,0.01,2,0.555612,0
100,0.31,5,0.0182716,0
100,0.32,17,0.0190482,0
300,0.04,3,0.144212,0
100,0.33,13,0.0195138,0
200,0.09,3,0.0685196,0
100,0.34,8,0.0194859,0
100,0.35,10,0.0193086,0
100,0.36,11,0.0180341,0
100,0.37,18,0.0185854,0
200,0.1,5,0.0690516,0
100,0.38,12,0.0177051,0
100,0.39,17,0.0187757,0
300,0.05,3,0.140289,0
100,0.4,7,0.0186939,0
700,0.01,2,0.73357,0
400,0.03,3,0.246914,0
200,0.11,2,0.0685541,0
100,0.41,13,0.0185141,0
500,0.02,2,0.365483,0
100,0.42,13,0.019037,0
100,0.43,17,0.0204637,0
100,0.44,25,0.0200372,0
200,0.12,3,0.0661455,0
100,0.45,25,0.0221683,0
100,0.46,18,0.0192225,0
300,0.06,2,0.142061,0
100,0.47,25,0.0206498,0
200,0.13,4,0.0665647,0
100,0.48,35,0.0197334,0
100,0.49,30,0.0219256,0
100,0.5,26,0.0193791,0
200,0.14,5,0.0688403,0
100,0.51,19,0.0193776,0
100,0.52,23,0.0200073,0
100,0.53,21,0.0203302,0
800,0.01,2,0.990063,0
400,0.04,3,0.250474,0
300,0.07,3,0.141984,0
100,0.54,36,0.0198166,0
200,0.15,4,0.0664411,0
100,0.55,25,0.0202769,0
100,0.56,103,0.0240631,0
100,0.57,71,0.0221141,0
200,0.16,4,0.0673544,0
100,0.58,96,0.0241097,0
500,0.03,2,0.371431,0
100,0.59,189,0.0293085,1
600,0.02,2,0.581675,0
300,0.08,4,0.14905,0
200,0.17,4,0.0773149,0
100,0.6,199,0.0295874,1
100,0.61,212,0.0300343,1
100,0.62,181,0.026676,1
200,0.18,3,0.0773448,0
