n,p,n_steps,time,bottom_reached
100,0.01,1,0.0224594,0
100,0.02,2,0.0205833,0
100,0.03,2,0.0203577,0
200,0.01,2,0.0737258,0
100,0.04,3,0.0218287,0
100,0.05,2,0.0197307,0
100,0.06,3,0.019027,0
200,0.02,2,0.0690508,0
100,0.07,2,0.0207792,0
300,0.01,2,0.153545,0
100,0.08,2,0.0207283,0
100,0.09,3,0.0212764,0
100,0.1,3,0.0194078,0
200,0.03,2,0.0699461,0
100,0.11,2,0.0191181,0
100,0.12,3,0.0206312,0
100,0.13,6,0.0208338,0
400,0.01,2,0.279469,0
200,0.04,2,0.0713022,0
100,0.14,3,0.0200637,0
100,0.15,2,0.0194294,0
300,0.02,2,0.154192,0
100,0.16,2,0.0200551,0
100,0.17,3,0.0179595,0
200,0.05,3,0.068924,0
100,0.18,4,0.0208778,0
100,0.19,5,0.019599,0
100,0.2,4,0.0209379,0
500,0.01,2,0.416226,0
200,0.06,2,0.0733318,0
100,0.21,5,0.0206104,0
100,0.22,6,0.0193544,0
300,0.03,2,0.155101,0
100,0.23,8,0.0202704,0
100,0.24,5,0.0185417,0
200,0.07,2,0.0753646,0
100,0.25,5,0.0199038,0
100,0.26,6,0.0220456,0
100,0.27,9,0.0196077,0
400,0.02,2,0.271457,0
100,0.28,5,0.0209118,0
200,0.08,3,0.078092,0
100,0.29,8,0.0207599,0
100,0.3,10,0.019604,0
600,0.01,2,0.611133,0
300,0.04,3,0.156754,0
100,0.31,6,0.0206552,0
100,0.32,7,0.0203991,0
200,0.09,3,0.0742165,0
100,0.33,13,0.020176,0
100,0.34,5,0.0204598,0
100,0.35,11,0.0211288,0
200,0.1,4,0.0706345,0
100,0.36,6,0.0205647,0
100,0.37,11,0.0211717,0
100,0.38,15,0.0210674,0
300,0.05,2,0.154228,0
100,0.39,8,0.0213359,0
200,0.11,3,0.073639,0
700,0.01,2,0.812364,0
500,0.02,2,0.397406,0
100,0.4,10,0.0198446,0
400,0.03,3,0.267946,0
100,0.41,14,0.02095,0
100,0.42,17,0.0210042,0
200,0.12,5,0.0726404,0
100,0.43,18,0.021676,0
100,0.44,21,0.0209369,0
100,0.45,15,0.0200096,0
300,0.06,3,0.154673,0
100,0.46,12,0.0201845,0
200,0.13,4,0.0701188,0
100,0.47,39,0.0215883,0
100,0.48,17,0.0226998,0
100,0.49,34,0.0222918,0
200,0.14,3,0.0675345,0
100,0.5,17,0.0209051,0
100,0.51,29,0.0217023,0
800,0.01,2,1.05704,0
300,0.07,2,0.143132,0
100,0.52,52,0.0238731,0
200,0.15,6,0.0646302,0
100,0.53,27,0.0223741,0
400,0.04,3,0.282841,0
100,0.54,58,0.023506,0
200,0.16,6,0.0677435,0
100,0.55,107,0.0273015,0
100,0.56,219,0.030164,1
100,0.57,53,0.0231581,0
200,0.17,4,0.0687222,0
300,0.08,4,0.141386,0
500,0.03,2,0.414261,0
600,0.02,2,0.616799,0
100,0.58,265,0.0319168,1
100,0.59,45,0.0216176,0
200,0.18,4,0.0638029,0
100,0.6,238,0.0297997,1
100,0.61,102,0.0266646,0
900,0.01,2,1.31742,0
100,0.62,188,0.0255248,1
200,0.19,7,0.062816,0
300,0.09,2,0.139042,0
100,0.63,198,0.0278365,1
400,0.05,4,0.268364,0
100,0.64,230,0.027,1
200,0.2,6,0.0619562,0
100,0.65,167,0.0249775,1
100,0.66,215,0.0264443,1
200,0.21,5,0.0643835,0
100,0.67,160,0.0245729,1
100,0.68,165,0.0250948,1
300,0.1,3,0.1412,0
100,0.69,139,0.0240739,1
200,0.22,5,0.0668905,0
100,0.7,141,0.0248908,1
100,0.71,138,0.0251734,1
1000,0.01,2,1.58029,0
100,0.72,135,0.0230106,1
200,0.23,7,0.0642786,0
100,0.73,143,0.0242125,1
300,0.11,6,0.139864,0
