n,p,n_steps,time,bottom_reached
100,0.01,1,0.0185364,0
100,0.02,2,0.0178414,0
100,0.03,2,0.0176408,0
200,0.01,1,0.0693775,0
100,0.04,2,0.017384,0
100,0.05,2,0.0195923,0
100,0.06,2,0.0192875,0
100,0.07,2,0.0169363,0
200,0.02,2,0.0674345,0
100,0.08,2,0.0185441,0
300,0.01,2,0.149403,0
100,0.09,3,0.0172871,0
100,0.1,4,0.0187642,0
100,0.11,3,0.0174778,0
200,0.03,2,0.0667159,0
100,0.12,4,0.0190578,0
100,0.13,2,0.0190463,0
100,0.14,3,0.0190324,0
400,0.01,2,0.260469,0
100,0.15,4,0.0190592,0
200,0.04,2,0.0733644,0
100,0.16,3,0.0172594,0
300,0.02,2,0.145932,0
100,0.17,4,0.0174898,0
100,0.18,4,0.0187986,0
200,0.05,2,0.0685523,0
100,0.19,4,0.0189453,0
100,0.2,3,0.0204419,0
100,0.21,4,0.0184198,0
500,0.01,2,0.397612,0
100,0.22,5,0.0175631,0
200,0.06,3,0.0675689,0
100,0.23,5,0.0192291,0
100,0.24,8,0.0186467,0
300,0.03,3,0.156339,0
100,0.25,5,0.0191141,0
100,0.26,10,0.0197916,0
200,0.07,5,0.0719885,0
100,0.27,5,0.0189797,0
100,0.28,5,0.0188582,0
400,0.02,2,0.273765,0
100,0.29,8,0.0193877,0
200,0.08,2,0.0706041,0
100,0.3,7,0.0194845,0
600,0.01,2,0.563522,0
100,0.31,6,0.0192331,0
100,0.32,9,0.0195902,0
300,0.04,2,0.154408,0
100,0.33,10,0.0200959,0
200,0.09,4,0.0675919,0
100,0.34,7,0.0186218,0
100,0.35,13,0.0188613,0
100,0.36,18,0.0193533,0
100,0.37,9,0.018262,0
200,0.1,4,0.0695657,0
100,0.38,9,0.0189751,0
100,0.39,15,0.0201225,0
700,0.01,2,0.749901,0
300,0.05,3,0.144123,0
100,0.4,13,0.019552,0
200,0.11,3,0.0681185,0
100,0.41,23,0.0203292,0
100,0.42,13,0.0206825,0
500,0.02,3,0.409427,0
400,0.03,2,0.274994,0
100,0.43,16,0.0200328,0
200,0.12,5,0.0712336,0
100,0.44,27,0.0210145,0
100,0.45,14,0.0186881,0
100,0.46,20,0.0196209,0
100,0.47,24,0.0203995,0
300,0.06,4,0.141814,0
200,0.13,5,0.0700647,0
100,0.48,28,0.0209693,0
100,0.49,26,0.0209864,0
100,0.5,29,0.0217384,0
200,0.14,6,0.0694124,0
100,0.51,38,0.0215356,0
800,0.01,2,0.976886,0
100,0.52,18,0.0203599,0
100,0.53,56,0.0232045,0
300,0.07,4,0.142186,0
200,0.15,3,0.0700746,0
100,0.54,47,0.0226476,0
100,0.55,53,0.0220031,0
400,0.04,3,0.264829,0
100,0.56,38,0.0228769,0
200,0.16,4,0.0655424,0
100,0.57,238,0.0289992,1
600,0.02,2,0.55859,0
100,0.58,187,0.0303245,0
100,0.59,196,0.0267852,1
200,0.17,3,0.0695624,0
300,0.08,3,0.143627,0
100,0.6,72,0.0224217,0
500,0.03,2,0.404049,0
100,0.61,192,0.0262009,1
200,0.18,6,0.071196,0
100,0.62,175,0.0257663,1
900,0.01,2,1.26167,0
100,0.63,181,0.0237894,1
100,0.64,213,0.0260473,1
400,0.05,3,0.235732,0
200,0.19,7,0.0662052,0
100,0.65,167,0.024949,1
300,0.09,3,0.149816,0
100,0.66,165,0.0255785,1
100,0.67,158,0.0248437,1
200,0.2,7,0.0695389,0
100,0.68,152,0.0240092,1
100,0.69,150,0.025483,1
100,0.7,142,0.0218565,1
200,0.21,5,0.0723446,0
100,0.71,143,0.0245942,1
300,0.1,5,0.149965,0
100,0.72,143,0.0217862,1
700,0.02,2,0.756044,0
1000,0.01,2,1.51053,0
100,0.73,134,0.0222814,1
200,0.22,7,0.068293,0
100,0.74,134,0.0225458,1
400,0.06,3,0.239187,0
100,0.75,133,0.0235815,1
100,0.76,128,0.0220275,1
200,0.23,6,0.0707369,0
100,0.77,126,0.0236531,1
500,0.04,3,0.398173,0
100,0.78,124,0.0222927,1
300,0.11,5,0.151873,0
100,0.79,122,0.0232269,1
200,0.24,5,0.0723613,0
100,0.8,125,0.0234988,1
100,0.81,120,0.0229442,1
600,0.03,3,0.575358,0
100,0.82,121,0.0229102,1
200,0.25,7,0.0694664,0
100,0.83,120,0.0228604,1
100,0.839999,121,0.0223858,1
300,0.12,3,0.154315,0
100,0.849999,119,0.0212208,1
400,0.07,3,0.245971,0
200,0.26,8,0.0694145,0
100,0.859999,116,0.0214197,1
100,0.869999,113,0.0222274,1
100,0.879999,113,0.0205977,1
100,0.889999,112,0.0213384,1
200,0.27,8,0.0681491,0
100,0.899999,112,0.0209484,1
800,0.02,3,0.920778,0
100,0.909999,110,0.023219,1
300,0.13,8,0.149713,0
100,0.919999,110,0.0232061,1
200,0.28,6,0.0677586,0
100,0.929999,109,0.0213908,1
100,0.939999,108,0.0204816,1
500,0.05,2,0.37579,0
100,0.949999,107,0.019606,1
200,0.29,13,0.0684535,0
100,0.959999,106,0.0205037,1
100,0.969999,106,0.0192985,1
400,0.08,3,0.255673,0
100,0.979999,104,0.0203972,1
200,0.3,9,0.0670854,0
100,0.989999,103,0.0195722,1
300,0.14,4,0.152406,0
100,0.999999,101,0.0200862,1
200,0.31,9,0.0667278,0
200,0.32,16,0.0654514,0
300,0.15,6,0.138125,0
600,0.04,3,0.544659,0
700,0.03,3,0.74104,0
200,0.33,12,0.0643577,0
400,0.09,5,0.241099,0
500,0.06,3,0.347623,0
200,0.34,15,0.0628502,0
300,0.16,5,0.136053,0
200,0.35,12,0.0630077,0
900,0.02,3,1.20125,0
200,0.36,10,0.0645924,0
300,0.17,7,0.140643,0
400,0.1,5,0.236541,0
200,0.37,13,0.0664695,0
200,0.38,22,0.0664969,0
300,0.18,6,0.141547,0
500,0.07,4,0.325198,0
200,0.39,21,0.0658538,0
200,0.4,19,0.0643504,0
600,0.05,3,0.501597,0
400,0.11,4,0.230473,0
300,0.19,6,0.13801,0
800,0.03,3,0.886047,0
200,0.41,15,0.0631902,0
200,0.42,18,0.0653196,0
1000,0.02,2,1.35727,0
300,0.2,5,0.140695,0
200,0.43,20,0.0650454,0
700,0.04,3,0.699215,0
200,0.44,12,0.0624872,0
400,0.12,4,0.230982,0
500,0.08,3,0.343508,0
200,0.45,32,0.0706347,0
300,0.21,5,0.140092,0
200,0.46,17,0.0629613,0
200,0.47,38,0.0720554,0
300,0.22,9,0.137263,0
400,0.13,5,0.224376,0
600,0.06,3,0.486086,0
200,0.48,52,0.074869,0
300,0.23,6,0.129615,0
200,0.49,31,0.0678229,0
500,0.09,4,0.342951,0
200,0.5,42,0.0692143,0
400,0.14,6,0.201018,0
300,0.24,6,0.130827,0
200,0.51,45,0.0721343,0
900,0.03,2,1.07359,0
200,0.52,50,0.0721268,0
700,0.05,2,0.635313,0
300,0.25,8,0.124499,0
400,0.15,5,0.197835,0
200,0.53,48,0.0703782,0
800,0.04,3,0.876239,0
500,0.1,5,0.335632,0
600,0.07,3,0.455635,0
200,0.54,113,0.0864587,0
300,0.26,6,0.124336,0
400,0.16,4,0.191015,0
200,0.55,267,0.126088,0
300,0.27,6,0.122091,0
200,0.56,177,0.10413,0
300,0.28,4,0.131448,0
400,0.17,6,0.204456,0
200,0.57,69,0.0780445,0
500,0.11,4,0.331265,0
300,0.29,10,0.125426,0
200,0.58,148,0.0933952,0
600,0.08,4,0.448866,0
1000,0.03,2,1.30734,0
700,0.06,4,0.596404,0
400,0.18,5,0.185864,0
300,0.3,11,0.115434,0
200,0.59,535,0.151612,1
500,0.12,4,0.296614,0
300,0.31,20,0.125971,0
400,0.19,5,0.194305,0
200,0.6,492,0.152949,1
800,0.05,4,0.777474,0
300,0.32,13,0.121425,0
900,0.04,4,0.95348,0
600,0.09,4,0.404533,0
300,0.33,10,0.114273,0
200,0.61,642,0.158978,1
400,0.2,5,0.195419,0
500,0.13,4,0.283676,0
200,0.62,383,0.120052,1
300,0.34,16,0.12864,0
700,0.07,3,0.58496,0
400,0.21,7,0.210616,0
200,0.63,400,0.119655,1
300,0.35,10,0.129678,0
500,0.14,6,0.304412,0
200,0.64,358,0.115102,1
300,0.36,18,0.133679,0
600,0.1,4,0.43436,0
400,0.22,7,0.209357,0
200,0.65,351,0.103143,1
300,0.37,13,0.12459,0
200,0.66,318,0.0985269,1
800,0.06,3,0.750726,0
300,0.38,11,0.120452,0
500,0.15,5,0.318737,0
400,0.23,6,0.214918,0
200,0.67,294,0.102304,1
300,0.39,18,0.119533,0
200,0.68,285,0.0979086,1
700,0.08,5,0.596209,0
1000,0.04,3,1.18781,0
600,0.11,3,0.428641,0
200,0.69,275,0.0966917,1
400,0.24,6,0.21736,0
900,0.05,3,0.952036,0
300,0.4,19,0.130867,0
200,0.7,285,0.100404,1
500,0.16,5,0.351541,0
300,0.41,17,0.134038,0
200,0.71,268,0.0951102,1
400,0.25,13,0.215683,0
200,0.72,270,0.0905494,1
300,0.42,29,0.131759,0
200,0.73,269,0.0896827,1
300,0.43,26,0.132954,0
600,0.12,5,0.457769,0
