n,p,n_steps,time,bottom_reached
100,0.01,2,0.0234197,0
100,0.02,2,0.020215,0
100,0.03,2,0.0210513,0
200,0.01,2,0.0771158,0
100,0.04,3,0.0210176,0
100,0.05,2,0.0203203,0
100,0.06,2,0.0218814,0
100,0.07,2,0.0216047,0
300,0.01,2,0.15488,0
200,0.02,2,0.0783276,0
100,0.08,2,0.0218175,0
100,0.09,3,0.021419,0
100,0.1,2,0.0229045,0
200,0.03,3,0.0766496,0
100,0.11,3,0.0226183,0
100,0.12,3,0.0212981,0
100,0.13,3,0.0227127,0
400,0.01,2,0.303385,0
100,0.14,3,0.0220541,0
300,0.02,2,0.152854,0
200,0.04,2,0.0760107,0
100,0.15,4,0.0216267,0
100,0.16,2,0.0228412,0
100,0.17,3,0.0210081,0
200,0.05,2,0.0780615,0
100,0.18,8,0.0229957,0
100,0.19,6,0.022749,0
500,0.01,2,0.422169,0
100,0.2,3,0.0222567,0
100,0.21,8,0.0226901,0
300,0.03,2,0.154538,0
200,0.06,3,0.0761791,0
100,0.22,6,0.0205043,0
100,0.23,5,0.0224288,0
100,0.24,6,0.0212469,0
200,0.07,3,0.0779043,0
100,0.25,7,0.0228733,0
100,0.26,5,0.0219542,0
100,0.27,4,0.0224484,0
400,0.02,2,0.300393,0
100,0.28,8,0.0207977,0
300,0.04,3,0.152756,0
200,0.08,2,0.0791505,0
100,0.29,7,0.0221619,0
100,0.3,6,0.0226578,0
600,0.01,2,0.661031,0
100,0.31,6,0.020729,0
200,0.09,3,0.0824853,0
100,0.32,7,0.0239575,0
100,0.33,7,0.022813,0
100,0.34,11,0.0224181,0
100,0.35,7,0.0198615,0
300,0.05,2,0.157744,0
200,0.1,4,0.0797707,0
100,0.36,13,0.0220887,0
700,0.01,2,0.793799,0
100,0.37,10,0.0210402,0
500,0.02,2,0.406181,0
100,0.38,11,0.0220995,0
200,0.11,4,0.0730612,0
100,0.39,14,0.0238995,0
100,0.4,25,0.0231937,0
400,0.03,3,0.299553,0
100,0.41,14,0.0237961,0
100,0.42,15,0.0218891,0
200,0.12,3,0.075291,0
300,0.06,3,0.164121,0
100,0.43,13,0.0221709,0
100,0.44,14,0.0227761,0
100,0.45,10,0.0213287,0
200,0.13,3,0.0782647,0
100,0.46,19,0.0235848,0
100,0.47,17,0.0228052,0
100,0.48,11,0.0243377,0
200,0.14,4,0.0782546,0
100,0.49,42,0.0275255,0
300,0.07,2,0.15642,0
800,0.01,2,1.11109,0
100,0.5,29,0.0245043,0
100,0.51,37,0.0258139,0
200,0.15,3,0.0730668,0
100,0.52,24,0.0256572,0
100,0.53,38,0.0277369,0
400,0.04,3,0.308294,0
100,0.54,70,0.0263323,0
200,0.16,5,0.0767602,0
100,0.55,38,0.0243088,0
300,0.08,4,0.165787,0
100,0.56,142,0.0285002,0
500,0.03,2,0.447349,0
600,0.02,2,0.625918,0
100,0.57,94,0.027129,0
200,0.17,4,0.074247,0
100,0.58,210,0.0330785,1
100,0.59,214,0.0314204,1
900,0.01,2,1.375,0
200,0.18,4,0.0767902,0
100,0.6,104,0.0291773,0
100,0.61,228,0.0321522,1
300,0.09,4,0.167248,0
100,0.62,207,0.027533,1
200,0.19,3,0.0748952,0
100,0.63,184,0.0298508,1
100,0.64,196,0.0294941,1
400,0.05,3,0.307911,0
200,0.2,6,0.0780059,0
100,0.65,183,0.0288555,1
100,0.66,163,0.0286104,1
300,0.1,3,0.168127,0
100,0.67,164,0.0270736,1
200,0.21,8,0.0796895,0
100,0.68,160,0.0285602,1
700,0.02,2,0.839791,0
100,0.69,143,0.0275305,1
100,0.7,149,0.0256576,1
200,0.22,6,0.0795159,0
100,0.71,149,0.0275318,1
500,0.04,3,0.453104,0
100,0.72,139,0.0277202,1
300,0.11,3,0.165745,0
100,0.73,130,0.026433,1
200,0.23,5,0.0768229,0
1000,0.01,2,1.78684,0
100,0.74,134,0.0265647,1
400,0.06,4,0.292936,0
100,0.75,131,0.0266746,1
100,0.76,132,0.0278826,1
200,0.24,6,0.0800957,0
100,0.77,129,0.0263842,1
100,0.78,129,0.0260991,1
100,0.79,124,0.0239727,1
300,0.12,3,0.165327,0
200,0.25,6,0.0774828,0
100,0.8,121,0.0245744,1
600,0.03,3,0.669951,0
100,0.81,121,0.0258418,1
100,0.82,121,0.0252954,1
200,0.26,7,0.0772319,0
100,0.83,120,0.0258914,1
100,0.839999,120,0.0254327,1
100,0.849999,120,0.0268926,1
200,0.27,8,0.0804144,0
300,0.13,4,0.170173,0
100,0.859999,116,0.0249183,1
400,0.07,3,0.305915,0
100,0.869999,114,0.0273204,1
100,0.879999,113,0.0238452,1
200,0.28,9,0.0805194,0
100,0.889999,112,0.02582,1
500,0.05,2,0.459843,0
100,0.899999,113,0.0248933,1
100,0.909999,111,0.0256158,1
800,0.02,3,1.13244,0
200,0.29,6,0.0775775,0
100,0.919999,110,0.0266031,1
300,0.14,4,0.171488,0
100,0.929999,109,0.0249402,1
100,0.939999,108,0.0254771,1
100,0.949999,107,0.0240663,1
200,0.3,8,0.0820285,0
100,0.959999,106,0.0241174,1
100,0.969999,106,0.0257333,1
100,0.979999,104,0.0246856,1
200,0.31,6,0.0812881,0
100,0.989999,103,0.0242442,1
400,0.08,3,0.310997,0
300,0.15,5,0.171706,0
100,0.999999,101,0.0232379,1
200,0.32,11,0.076357,0
700,0.03,2,0.913218,0
200,0.33,15,0.0742182,0
300,0.16,5,0.152218,0
600,0.04,3,0.655626,0
500,0.06,3,0.446882,0
200,0.34,15,0.0736565,0
200,0.35,9,0.0729979,0
400,0.09,5,0.294961,0
300,0.17,4,0.160552,0
200,0.36,17,0.0726154,0
200,0.37,10,0.0746139,0
900,0.02,3,1.49341,0
300,0.18,5,0.170155,0
200,0.38,10,0.0747068,0
200,0.39,11,0.0741889,0
