n,p,n_steps,time,bottom_reached,n_threads
44,0.7,77,0.00200009,1,3
32,0.6,67,0.00100017,1,3
44,0.8,58,0.000999928,1,3
32,0.7,51,0.000999928,1,3
44,0.9,51,0.000999928,1,3
70,0.7,100,0.00399995,1,3
32,0.8,44,0.000999928,1,3
44,1,45,0.000999928,1,3
45,0.1,2,0,0,3
32,0.9,39,0.000999928,1,3
45,0.2,3,0,0,3
45,0.3,3,0.00100017,0,3
32,1,33,0.00100017,1,3
33,0.1,2,0,0,3
33,0.2,2,0,0,3
33,0.3,5,0,0,3
45,0.4,21,0.000999928,0,3
33,0.4,5,0.000999928,0,3
33,0.5,28,0.000999928,0,3
45,0.5,31,0.000999928,0,3
70,0.8,86,0.00399995,1,3
45,0.6,65,0.00100017,1,3
33,0.6,97,0.00200009,1,3
45,0.7,62,0.000999928,1,3
33,0.7,52,0.000999928,1,3
70,0.9,79,0.00300002,1,3
45,0.8,57,0.000999928,1,3
33,0.8,42,0.00100017,1,3
45,0.9,53,0.00100017,1,3
33,0.9,39,0.000999928,1,3
45,1,46,0.000999928,1,3
46,0.1,2,0,0,3
33,1,34,0.000999928,1,3
46,0.2,2,0.000999928,0,3
70,1,71,0.00300002,1,3
34,0.1,2,0,0,3
46,0.3,5,0,0,3
34,0.2,3,0,0,3
71,0.1,3,0,0,3
46,0.4,10,0,0,3
34,0.3,6,0,0,3
71,0.2,5,0,0,3
34,0.4,6,0.00100017,0,3
46,0.5,32,0.00100017,0,3
71,0.3,10,0.00100017,0,3
34,0.5,32,0,0,3
71,0.4,9,0.000999928,0,3
34,0.6,20,0.000999928,0,3
46,0.6,90,0.00199986,1,3
34,0.7,65,0.00199986,1,3
71,0.5,33,0.00199986,0,3
46,0.7,65,0.000999928,1,3
34,0.8,46,0.00100017,1,3
46,0.8,56,0.00100017,1,3
34,0.9,41,0.000999928,1,3
46,0.9,54,0.000999928,1,3
34,1,35,0.000999928,1,3
46,1,47,0.000999928,1,3
47,0.1,2,0.00100017,0,3
47,0.2,3,0,0,3
47,0.3,14,0,0,3
47,0.4,7,0.000999928,0,3
47,0.5,66,0.000999928,0,3
71,0.6,138,0.00700021,1,3
47,0.6,69,0.00200009,0,3
47,0.7,68,0.000999928,1,3
47,0.8,62,0.000999928,1,3
71,0.7,114,0.00299978,1,3
47,0.9,54,0.00100017,1,3
47,1,48,0.000999928,1,3
48,0.1,3,0,0,3
48,0.2,4,0,0,3
48,0.3,6,0.000999928,0,3
48,0.4,13,0,0,3
71,0.8,88,0.00300002,1,3
48,0.5,29,0.00100017,0,3
71,0.9,81,0.00300002,1,3
48,0.6,104,0.00199986,1,3
48,0.7,71,0.00200009,1,3
71,1,72,0.00200009,1,3
48,0.8,59,0.000999928,1,3
72,0.1,5,0.000999928,0,3
72,0.2,4,0,0,3
72,0.3,7,0.00100017,0,3
48,0.9,55,0.00100017,1,3
48,1,49,0.000999928,1,3
72,0.4,17,0.000999928,0,3
49,0.1,3,0,0,3
49,0.2,3,0,0,3
49,0.3,4,0.000999928,0,3
49,0.4,20,0,0,3
72,0.5,20,0.00199986,0,3
49,0.5,20,0.000999928,0,3
49,0.6,90,0.00200009,1,3
49,0.7,74,0.000999928,1,3
49,0.8,64,0.00200009,1,3
49,0.9,58,0.000999928,1,3
72,0.6,128,0.00600004,0,3
49,1,50,0.00100017,1,3
50,0.1,2,0,0,3
50,0.2,8,0,0,3
50,0.3,7,0.000999928,0,3
50,0.4,22,0,0,3
50,0.5,8,0.000999928,0,3
72,0.7,111,0.00399995,1,3
50,0.6,75,0.00200009,0,3
50,0.7,70,0.000999928,1,3
72,0.8,89,0.00300002,1,3
50,0.8,64,0.00200009,1,3
50,0.9,56,0.000999928,1,3
72,0.9,82,0.00300002,1,3
50,1,51,0.000999928,1,3
51,0.1,2,0,0,3
51,0.2,2,0,0,3
51,0.3,9,0.00100017,0,3
51,0.4,13,0,0,3
51,0.5,16,0.000999928,0,3
72,1,74,0.00300002,1,3
73,0.1,2,0,0,3
51,0.6,42,0.000999928,0,3
73,0.2,3,0,0,3
73,0.3,5,0.00100017,0,3
73,0.4,14,0.000999928,0,3
51,0.7,81,0.00200009,1,3
51,0.8,65,0.00199986,1,3
51,0.9,59,0.00100017,1,3
73,0.5,67,0.00399995,0,3
51,1,52,0.000999928,1,3
52,0.1,2,0.000999928,0,3
52,0.2,6,0,0,3
52,0.3,5,0,0,3
52,0.4,23,0.00100017,0,3
52,0.5,34,0.000999928,0,3
73,0.6,54,0.00399995,0,3
52,0.6,100,0.00300002,1,3
73,0.7,105,0.00399995,1,3
52,0.7,79,0.00199986,1,3
52,0.8,66,0.00200009,1,3
73,0.8,90,0.00300002,1,3
52,0.9,61,0.00300002,1,3
73,0.9,82,0.00300002,1,3
52,1,53,0.000999928,1,3
53,0.1,2,0.00100017,0,3
53,0.2,4,0,0,3
53,0.3,5,0,0,3
53,0.4,6,0.000999928,0,3
53,0.5,30,0.000999928,0,3
73,1,74,0.00300002,1,3
74,0.1,2,0,0,3
74,0.2,6,0.00100017,0,3
74,0.3,7,0,0,3
53,0.6,55,0.00200009,0,3
74,0.4,8,0.000999928,0,3
53,0.7,82,0.000999928,1,3
74,0.5,23,0.00199986,0,3
53,0.8,73,0.00200009,1,3
53,0.9,59,0.000999928,1,3
53,1,54,0.00200009,1,3
54,0.1,2,0,0,3
54,0.2,3,0,0,3
54,0.3,9,0,0,3
54,0.4,10,0.000999928,0,3
54,0.5,29,0.000999928,0,3
54,0.6,33,0.00100017,0,3
74,0.6,202,0.00800014,1,3
54,0.7,95,0.00199986,1,3
54,0.8,69,0.000999928,1,3
54,0.9,65,0.00200009,1,3
74,0.7,111,0.00399995,1,3
54,1,55,0.000999928,1,3
55,0.1,3,0,0,3
55,0.2,3,0,0,3
55,0.3,3,0.00100017,0,3
55,0.4,19,0,0,3
55,0.5,12,0.000999928,0,3
74,0.8,92,0.00300002,1,3
55,0.6,95,0.00300002,1,3
74,0.9,83,0.00399995,1,3
55,0.7,87,0.00300002,1,3
55,0.8,70,0.00199986,1,3
74,1,75,0.00500011,1,3
75,0.1,2,0.000999928,0,3
75,0.2,9,55,0.000999928,0,3
0.9,62,0.00300002,1,3
75,0.3,7,0.00100017,0,3
55,1,56,0.00200009,1,3
56,0.1,2,0,0,3
75,0.4,14,0.00199986,0,3
56,0.2,4,0.000999928,0,3
56,0.3,7,0.00100017,0,3
75,0.5,12,0.00100017,0,3
56,0.4,10,0,0,3
56,0.5,18,0.00199986,0,3
56,0.6,115,0.00500011,1,3
75,0.6,90,0.00699997,0,3
56,0.7,87,0.00300002,1,3
56,0.8,78,0.00299978,1,3
75,0.7,111,0.00699997,1,3
56,0.9,64,0.00300002,1,3
56,1,57,0.00100017,1,3
57,0.1,2,0,0,3
57,0.2,4,0.000999928,0,3
57,0.3,7,0,0,3
75,0.8,94,0.00499988,1,3
57,0.4,11,0.000999928,0,3
57,0.5,46,0.00100017,0,3
75,0.9,84,0.00300002,1,3
57,0.6,75,0.00300002,0,3
75,1,76,0.00300002,1,3
76,0.1,3,0.000999928,0,3
57,0.7,87,0.00299978,1,3
76,0.2,4,0.00100017,0,3
76,0.3,8,0.000999928,0,3
76,57,0.8,2,,1000,,0.00300002,10.000999928,,30,
,
76,0.5,24,0.00300002,0,3
57,0.9,67,0.00300002,1,3
57,1,59,0.00300002,1,3
58,0.1,3,0,0,3
58,0.2,4,0.000999928,0,3
58,0.3,6,0,0,3
58,0.4,9,0.00100017,0,3
58,0.5,15,0.000999928,0,3
76,0.6,151,0.00900006,1,3
58,0.6,84,0.00399995,0,3
58,0.7,89,0.00200009,1,3
76,0.7,112,0.00399995,1,3
58,0.8,76,0.00200009,1,3
58,0.9,67,0.00199986,1,3
76,0.8,95,0.00399995,1,3
58,1,59,0.00200009,1,3
59,0.1,3,0,0,3
59,0.2,3,0,0,3
59,0.3,5,0,0,3
59,0.4,19,0.000999928,0,3
76,0.9,87,0.00300002,1,3
59,0.5,30,0.00200009,0,3
76,1,77,0.00300002,1,3
77,0.1,2,0,0,3
77,0.2,5,0.00100017,0,3
77,0.3,5,0,0,3
59,0.6,64,0.00300002,0,3
77,0.4,18,0.00199986,0,3
59,0.7,85,0.00399995,1,3
77,0.5,45,0.00300002,0,3
59,0.8,77,0.00300002,1,3
59,0.9,65,0.00300002,1,3
77,0.6,148,0.00600004,1,3
59,1,60,0.00199986,1,3
60,0.1,2,0.00100017,0,3
60,0.2,2,0,0,3
60,0.3,9,0.000999928,0,3
60,0.4,9,0.000999928,0,3
77,0.7,116,0.00499988,1,3
60,0.5,14,0.000999928,0,3
77,0.8,101,0.00300002,1,3
60,0.6,124,0.00500011,1,3
77,0.9,87,0.00400019,1,3
60,0.7,98,0.00399995,1,3
77,1,79,0.00299978,1,3
78,0.1,2,0,0,3
78,0.2,5,0.00100017,0,3
78,0.3,9,0,0,3
60,0.8,73,0.00300002,1,3
78,0.4,18,0.00300002,0,3
60,0.9,67,0.00200009,1,3
78,0.5,16,0.000999928,0,3
60,1,62,0.00300002,1,3
61,0.1,3,0,0,3
61,0.2,6,0.000999928,0,3
61,0.3,6,0,0,3
61,0.4,7,0.000999928,0,3
61,0.5,20,0.00200009,0,3
61,0.6,58,0.00300002,0,3
61,0.7,87,0.00199986,1,3
78,0.6,276,0.0139999,1,3
61,0.8,77,0.00300002,1,3
61,0.9,70,0.00200009,1,3
61,1,62,0.00199986,1,3
62,0.1,2,0,0,3
62,0.2,4,0.00100017,0,3
78,0.7,120,0.00500011,1,3
62,0.3,3,0,0,3
62,0.4,10,0.000999928,0,3
62,0.5,7,0,0,3
62,0.6,38,0.00200009,0,3
78,0.8,99,0.00300002,1,3
62,0.7,95,0.00300002,1,3
78,0.9,89,0.00399995,1,3
62,0.8,78,0.00199986,1,3
62,0.9,71,0.00200009,1,3
78,1,79,0.00300002,1,3
79,0.1,2,0.000999928,0,3
79,0.2,3,0,0,3
62,1,63,0.00199986,1,3
79,0.3,6,0.000999928,0,3
63,0.1,2,0,0,3
63,0.2,2,0,0,3
79,0.4,10,0.00100017,0,3
63,0.3,10,0.00100017,0,3
63,0.4,13,0,0,3
79,0.5,22,0.000999928,0,3
63,0.5,51,0.00300002,0,3
63,0.6,55,0.00199986,0,3
63,0.7,96,0.00300002,1,3
63,0.8,83,0.00200009,1,3
79,0.6,199,0.00999999,1,3
63,0.9,71,0.00199986,1,3
63,1,64,0.00200009,1,3
64,0.1,3,0,0,3
64,0.2,4,0.000999928,0,3
64,0.3,14,0,0,3
79,0.7,114,0.00399995,1,3
64,0.4,14,0.00100017,0,3
64,0.5,15,0.000999928,0,3
79,0.8,98,0.00500011,1,3
64,0.6,123,0.00399995,1,3
79,0.9,91,0.00300002,1,3
64,0.7,99,0.00300002,1,3
79,1,80,0.00300002,1,3
64,0.8,80,0.00300002,1,3
80,0.1,4,0.000999928,0,3
80,0.2,3,0,0,3
80,0.3,6,0.000999928,0,3
64,0.9,72,0.00200009,1,3
80,0.4,13,0.00100017,0,3
80,0.5,13,0.00199986,0,3
64,1,65,0.00199986,1,3
65,0.1,4,0,0,3
65,0.2,4,0,0,3
65,0.3,7,0.000999928,0,3
65,0.4,8,0.00100017,0,3
65,0.5,30,0.000999928,0,3
65,0.6,131,0.00500011,1,3
80,0.6,168,0.00800014,1,3
65,0.7,109,0.00499988,1,3
80,0.7,121,0.0059998,1,3
65,0.8,85,0.00399995,1,3
80,0.8,99,0.00400019,1,3
65,0.9,74,0.00400019,1,3
80,0.9,90,0.00399995,1,3
65,1,66,0.00199986,1,3
66,0.1,2,0,0,3
66,0.2,2,0,0,3
66,0.3,9,0.000999928,0,3
66,0.4,16,0.00100017,0,3
80,1,81,0.00300002,1,3
81,0.1,2,0.000999928,0,3
66,0.5,12,0.000999928,0,3
81,0.2,5,0,0,3
81,0.3,5,0.000999928,0,3
81,0.4,10,0.00100017,0,3
81,0.5,21,0.00199986,0,3
66,0.6,159,0.00600004,1,3
66,0.7,100,0.00399995,1,3
66,0.8,82,0.00200009,1,3
81,0.6,163,0.00900006,1,3
66,0.9,77,0.00300002,1,3
66,1,67,0.00199986,1,3
67,0.1,2,0,0,3
67,0.2,4,0.00100017,0,3
67,0.3,7,0,0,3
81,0.7,119,0.00600004,1,3
67,0.4,14,0.000999928,0,3
67,0.5,22,0.00199986,0,3
81,0.8,100,0.00399995,1,3
67,0.6,118,0.00400019,1,3
81,0.9,91,0.00399995,1,3
67,0.7,97,0.00399995,1,3
81,1,82,0.00399995,1,3
82,0.1,2,0,0,3
67,0.8,84,0.00199986,1,3
82,0.2,4,0.00100017,0,3
82,0.3,8,0.000999928,0,3
67,0.9,77,0.00300002,1,3
82,0.4,19,0.000999928,0,3
82,0.5,17,0.00200009,0,3
67,1,68,0.00200009,1,3
82,0.6,139,0.00900006,1,3
82,0.7,120,0.00499988,1,3
82,0.8,102,0.00500011,1,3
82,0.9,92,0.00399995,1,3
82,1,83,0.00399995,1,3
83,0.1,4,0,0,3
83,0.2,3,0.00100017,0,3
83,0.3,6,0,0,3
83,0.4,8,0.000999928,0,3
83,0.5,36,0.00300002,0,3
83,0.6,85,0.00600004,0,3
83,0.7,138,0.0059998,1,3
83,0.8,102,0.00500011,1,3
83,0.9,94,0.00399995,1,3
83,1,84,0.00399995,1,3
84,0.1,4,0,0,3
84,0.2,4,0.00100017,0,3
84,0.3,9,0.000999928,0,3
84,0.4,22,0.00200009,0,3
84,0.5,25,0.00199986,0,3
84,0.6,178,0.0120001,0,3
84,0.7,121,0.00600004,1,3
84,0.8,105,0.00499988,1,3
84,0.9,94,0.00500011,1,3
84,1,86,0.00300002,1,3
85,0.1,3,0.000999928,0,3
85,0.2,5,0,0,3
85,0.3,5,0.000999928,0,3
85,0.4,13,0.000999928,0,3
85,0.5,30,0.00300002,0,3
85,0.6,251,0.0140002,1,3
85,0.7,119,0.00499988,1,3
85,0.8,104,0.00500011,1,3
85,0.9,96,0.00499988,1,3
85,1,86,0.00300002,1,3
86,0.1,2,0.000999928,0,3
86,0.2,5,0,0,3
86,0.3,11,0.00100017,0,3
86,0.4,15,0.00199986,0,3
86,0.5,25,0.00200009,0,3
86,0.6,111,0.00900006,0,3
86,0.7,131,0.00600004,1,3
86,0.8,105,0.00499988,1,3
86,0.9,97,0.00500011,1,3
86,1,87,0.00299978,1,3
87,0.1,3,0.00100017,0,3
87,0.2,4,0,0,3
87,0.3,13,0.000999928,0,3
87,0.4,10,0.000999928,0,3
87,0.5,32,0.00300002,0,3
87,0.6,191,0.00999999,1,3
87,0.7,139,0.00699997,1,3
87,0.8,107,0.00500011,1,3
87,0.9,97,0.00399995,1,3
87,1,88,0.00399995,1,3
88,0.1,2,0.00100017,0,3
88,0.2,5,0,0,3
88,0.3,3,0.000999928,0,3
88,0.4,20,0.00200009,0,3
88,0.5,14,0.000999928,0,3
88,0.6,209,0.0139999,1,3
88,0.7,130,0.00699997,1,3
88,0.8,108,0.00500011,1,3
88,0.9,98,0.00499988,1,3
88,1,89,0.00400019,1,3
89,0.1,3,0.000999928,0,3
89,0.2,4,0,0,3
89,0.3,6,0.000999928,0,3
89,0.4,15,0.000999928,0,3
89,0.5,37,0.00400019,0,3
89,0.6,146,0.00999999,0,3
89,0.7,130,0.00699997,1,3
89,0.8,110,0.00399995,1,3
89,0.9,99,0.00500011,1,3
89,1,90,0.00399995,1,3
90,0.1,3,0,0,3
90,0.2,4,0,0,3
90,0.3,5,0.000999928,0,3
90,0.4,22,0.00200009,0,3
90,0.5,55,0.00399995,0,3
90,0.6,238,0.013,1,3
90,0.7,140,0.00600004,1,3
90,0.8,108,0.00600004,1,3
90,0.9,101,0.00399995,1,3
90,1,92,0.00499988,1,3
91,0.1,3,0,0,3
91,0.2,14,0.00100017,0,3
91,0.3,8,0.000999928,0,3
91,0.4,8,0.000999928,0,3
91,0.5,37,0.00399995,0,3
91,0.6,211,0.0120001,1,3
91,0.7,132,0.00699997,1,3
91,0.8,117,0.00600004,1,3
91,0.9,101,0.00500011,1,3
91,1,92,0.00499988,1,3
92,0.1,2,0,0,3
92,0.2,6,0.000999928,0,3
92,0.3,5,0.00100017,0,3
92,0.4,9,0.000999928,0,3
92,0.5,16,0.00200009,0,3
92,0.6,308,0.0189998,1,3
92,0.7,133,0.0059998,1,3
92,0.8,115,0.00500011,1,3
92,0.9,103,0.00500011,1,3
92,1,93,0.00399995,1,3
93,0.1,3,0.000999928,0,3
93,0.2,6,0.000999928,0,3
93,0.3,6,0,0,3
93,0.4,34,0.00300002,0,3
93,0.5,25,0.00300002,0,3
93,0.6,165,0.00999999,1,3
93,0.7,127,0.00699997,1,3
93,0.8,115,0.00500011,1,3
93,0.9,104,0.00499988,1,3
93,1,94,0.00500011,1,3
94,0.1,3,0,0,3
94,0.2,6,0.000999928,0,3
94,0.3,10,0.000999928,0,3
94,0.4,11,0.00200009,0,3
94,0.5,26,0.00200009,0,3
94,0.6,160,0.0119998,1,3
94,0.7,128,0.00600004,1,3
94,0.8,119,0.00699997,1,3
94,0.9,105,0.00500011,1,3
94,1,95,0.00499988,1,3
95,0.1,3,0,0,3
95,0.2,6,0.00100017,0,3
95,0.3,5,0.000999928,0,3
95,0.4,9,0.000999928,0,3
95,0.5,40,0.00399995,0,3
95,0.6,216,0.013,1,3
95,0.7,134,0.00600004,1,3
95,0.8,117,0.00600004,1,3
95,0.9,106,0.00500011,1,3
95,1,96,0.00399995,1,3
96,0.1,3,0.000999928,0,3
96,0.2,6,0,0,3
96,0.3,19,0.00200009,0,3
96,0.4,6,0.000999928,0,3
96,0.5,44,0.00399995,0,3
96,0.6,297,0.0150001,1,3
96,0.7,137,0.00699997,1,3
96,0.8,118,0.00600004,1,3
96,0.9,108,0.00499988,1,3
96,1,97,0.00399995,1,3
97,0.1,3,0.00100017,0,3
97,0.2,4,0,0,3
97,0.3,5,0.000999928,0,3
97,0.4,23,0.00200009,0,3
97,0.5,18,0.00300002,0,3
97,0.6,80,0.00699997,0,3
97,0.7,134,0.00699997,1,3
97,0.8,117,0.00600004,1,3
97,0.9,109,0.00499988,1,3
97,1,99,0.00600004,1,3
98,0.1,4,0,0,3
98,0.2,4,0.000999928,0,3
98,0.3,5,0.00100017,0,3
98,0.4,13,0.000999928,0,3
98,0.5,23,0.00200009,0,3
98,0.6,196,0.0159998,0,3
98,0.7,147,0.00800014,1,3
98,0.8,119,0.00600004,1,3
98,0.9,110,0.00499988,1,3
98,1,99,0.00699997,1,3
99,0.1,2,0.00100017,0,3
99,0.2,6,0,0,3
99,0.3,5,0.000999928,0,3
99,0.4,8,0.000999928,0,3
99,0.5,50,0.00500011,0,3
99,0.6,95,0.0079999,0,3
99,0.7,141,0.00800014,1,3
99,0.8,120,0.0059998,1,3
99,0.9,110,0.00700021,1,3
99,1,101,0.00499988,1,3
100,0.1,4,0.000999928,0,3
100,0.2,4,0,0,3
100,0.3,11,0.00200009,0,3
100,0.4,19,0.00200009,0,3
100,0.5,40,0.00399995,0,3
100,0.6,255,0.0179999,1,3
100,0.7,142,0.00800014,1,3
100,0.8,121,0.00699997,1,3
100,0.9,111,0.00699997,1,3
100,1,101,0.00600004,1,3
1,0.1,1,0,0,4
1,0.2,2,0,1,4
1,0.3,2,0,1,4
1,0.4,1,0,0,4
1,0.5,1,0,0,4
1,0.6,1,0,0,4
1,0.7,2,0,1,4
26,0.1,2,0,0,4
1,0.8,2,0,1,4
1,0.9,2,0,1,4
1,1,2,0,1,4
2,0.1,1,0,0,4
2,0.2,1,0,0,4
2,0.3,1,0,0,4
51,0.1,3,0.0009999285,0,4
0.4,2,0.000999928,0,4
2,0.5,3,0,1,4
26,0.2,3,0.000999928,0,4
2,0.6,3,0,1,4
2,0.7,2,0,0,4
2,0.8,4,0,1,4
2,0.9,4,0,1,4
2,1,3,0,1,4
76,0.1,2,0.000999928,0,4
3,0.1,1,0,0,4
51,0.2,3,0,0,4
2639,0.2,2,0.3,6,0,0,4
0,0,4
3,0.3,2,0,0,4
3,0.4,3,0,0,4
3,0.5,3,0,0,4
3,0.6,5,0,1,4
3,0.7,2,0,0,4
26,0.4,6,0,0,4
3,0.8,5,0,1,4
3,0.9,5,0,1,4
51,0.3,5,0,0,4
3,1,4,0,1,4
4,0.1,1,0,0,4
4,0.2,2,0,0,4
4,0.3,1,0,0,4
26,0.5,7,0,0,4
4,0.4,6,0,1,4
76,0.2,5,0,0,4
4,0.5,6,0,1,4
4,0.6,4,0,0,4
4,0.7,7,0,1,4
4,0.8,5,0,1,4
51,4,0.4,5,0,0,4
0.9,6,0,1,4
4,1,5,0.000999928,1,4
5,0.1,1,0,0,4
5,0.2,2,0,0,4
5,0.3,2,0,0,4
26,0.6,44,0.000999928,1,4
5,0.4,3,0,0,4
5,0.5,2,0,0,4
5,0.6,6,0,0,4
5,0.7,5,0,0,4
5,0.8,7,0,1,4
5,0.9,9,0,1,4
5,1,6,0,1,4
6,0.1,1,0,0,4
26,0.7,40,0,1,4
6,0.2,1,0,0,4
76,0.3,5,0.000999928,0,4
6,0.3,2,0,0,4
6,0.4,2,0,0,4
6,0.5,4,0,0,4
6,0.6,8,0,1,4
6,0.7,8,0,1,4
6,0.8,11,0.00100017,1,4
26,0.8,33,0.00100017,1,4
6,0.9,8,0,1,4
6,1,7,0,1,4
7,0.1,1,0,0,4
7,0.2,7,0,0,4
7,0.3,6,0,0,4
7,0.4,2,0,0,4
51,0.5,29,0.00200009,0,4
7,0.5,3,0,0,4
76,0.4,10,0.00100017,0,4
26,0.9,32,0,1,4
7,0.6,13,0,1,4
7,0.7,4,0,0,4
7,0.8,10,0,1,4
7,0.9,5,0,0,4
7,1,8,0.000999928,1,4
8,0.1,1,0,0,4
26,1,27,0.000999928,1,4
8,0.2,3,0,0,4
8,0.3,3,0,0,4
8,0.4,5,0,0,4
8,0.5,6,0,0,4
27,0.1,2,0,0,4
8,0.6,13,0,1,4
27,0.2,2,0,0,4
8,0.7,16,0,1,4
27,0.3,3,0,0,4
8,0.8,10,0,1,4
8,0.9,11,0,1,4
27,8,0.4,8,1,9,0,0,4
0,1,4
9,0.1,2,0,0,4
9,0.2,3,0,0,4
9,0.3,3,0,0,4
9,0.4,4,0,0,4
9,0.5,6,0,0,4
9,0.6,8,0,0,4
27,0.5,23,0,0,4
9,0.7,12,0,1,4
9,0.8,16,0.000999928,1,4
9,0.9,12,0,1,4
9,1,10,0,1,4
10,0.1,2,0,0,4
10,27,0.2,2,0,0,4
0.6,32,0.000999928,0,4
10,0.3,3,0,0,4
10,0.4,3,0,0,4
10,0.5,7,0,0,4
10,0.6,6,0,0,4
10,0.7,27,0,1,4
10,0.8,13,0,1,4
10,0.9,12,0,1,4
27,0.7,37,0,1,4
10,1,11,0,1,4
11,0.1,1,0,0,4
11,0.2,2,0,0,4
11,0.3,4,0,0,4
11,0.4,9,0,0,4
11,0.5,10,0.00100017,0,4
27,0.8,34,0.00100017,1,4
76,0.5,31,0.00300002,0,4
11,0.6,19,0,1,4
11,0.7,19,0,1,4
11,0.8,17,0,1,4
27,0.9,32,0,1,4
11,0.9,14,0,1,4
11,1,12,0,1,4
12,0.1,2,0,0,4
12,0.2,3,0,0,4
12,0.3,5,0,0,4
27,1,28,0,1,4
12,0.4,11,0,0,4
28,0.1,2,0,0,4
28,0.2,4,0,0,4
12,0.5,33,0.000999928,1,4
28,0.3,5,0.000999928,0,4
28,0.4,5,0,0,4
12,0.6,21,0,0,4
51,0.6,106,0.00399995,1,4
12,0.7,19,0,1,4
12,0.8,17,0,1,4
28,0.5,20,0,0,4
12,0.9,16,0,1,4
12,1,13,0,1,4
13,0.1,2,0,0,4
13,0.2,2,0,0,4
13,0.3,3,0,0,4
13,0.4,3,0,0,4
13,0.5,6,0,0,4
28,0.6,47,0.000999928,0,4
13,0.6,22,0.000999928,1,4
13,0.7,22,0,1,4
13,0.8,20,0,1,4
13,0.9,16,0,1,4
28,0.7,45,0,1,4
13,1,14,0,1,4
14,0.1,4,0,0,4
14,0.2,5,0,0,4
14,0.3,7,0,0,4
14,0.4,8,0,0,4
14,0.5,18,0.00100017,0,4
28,0.8,46,0.00100017,1,4
14,0.6,9,0,0,4
14,0.7,19,0,1,4
28,0.9,33,0,1,4
14,0.8,23,0,1,4
14,0.9,17,0,1,4
14,1,15,0,1,4
15,0.1,2,0,0,4
28,15,1,29,0.2,1,0,1,4
0,0,4
15,0.3,5,0,0,4
29,0.1,3,0,0,4
15,0.4,2,0,0,4
15,0.5,7,0,0,4
29,0.2,3,0,0,4
29,0.3,3,0.000999928,0,4
51,0.7,80,0.00300002,1,4
15,0.6,28,0.000999928,1,4
29,0.4,8,0,0,4
15,0.7,25,0,1,4
15,0.8,20,0,1,4
29,0.5,24,0,0,4
15,0.9,18,0,1,4
15,1,16,0,1,4
16,0.1,2,0,0,4
16,0.2,2,0,0,4
16,0.3,4,0,0,4
16,0.4,4,0,0,4
16,0.5,8,0.000999928,0,4
29,0.6,55,0.000999928,0,4
16,0.6,24,0,1,4
16,0.7,21,0,1,4
16,0.8,23,0,1,4
29,0.7,54,0,1,4
16,0.9,20,0,1,4
16,1,17,0,1,4
17,0,0,3
98,0.2,4,0.000999928,0,3
98,0.3,5,0.00100017,0,3
98,0.4,13,0.000999928,0,3
98,0.5,23,0.00200009,0,3
98,0.6,196,0.0159998,0,3
98,0.7,147,0.00800014,1,3
98,0.8,119,0.00600004,1,3
98,0.9,110,0.00499988,1,3
98,1,99,0.00699997,1,3
99,0.1,2,0.00100017,0,3
99,0.2,6,0,0,3
99,0.3,5,0.000999928,0,3
99,0.4,8,0.000999928,0,3
99,0.5,50,0.00500011,0,3
99,0.6,95,0.0079999,0,3
99,0.7,141,0.00800014,1,3
99,0.8,120,0.0059998,1,3
99,0.9,110,0.00700021,1,3
99,1,101,0.00499988,1,3
100,0.1,4,0.000999928,0,3
100,0.2,4,0,0,3
100,0.3,11,0.00200009,0,3
100,0.4,19,0.00200009,0,3
100,0.5,40,0.00399995,0,3
100,0.6,255,0.0179999,1,3
100,0.7,142,0.00800014,1,3
100,0.8,121,0.00699997,1,3
100,0.9,111,0.00699997,1,3
100,1,101,0.00600004,1,3
1,0.1,1,0,0,4
1,0.2,2,0,1,4
1,0.3,2,0,1,4
1,0.4,1,0,0,4
1,0.5,1,0,0,4
1,0.6,1,0,0,4
1,0.7,2,0,1,4
26,0.1,2,0,0,4
1,0.8,2,0,1,4
1,0.9,2,0,1,4
1,1,2,0,1,4
2,0.1,1,0,0,4
2,0.2,1,0,0,4
2,0.3,1,0,0,4
51,0.1,3,0.0009999285,0,4
0.4,2,0.000999928,0,4
2,0.5,3,0,1,4
26,0.2,3,0.000999928,0,4
2,0.6,3,0,1,4
2,0.7,2,0,0,4
2,0.8,4,0,1,4
2,0.9,4,0,1,4
2,1,3,0,1,4
76,0.1,2,0.000999928,0,4
3,0.1,1,0,0,4
51,0.2,3,0,0,4
2639,0.2,2,0.3,6,0,0,4
0,0,4
3,0.3,2,0,0,4
3,0.4,3,0,0,4
3,0.5,3,0,0,4
3,0.6,5,0,1,4
3,0.7,2,0,0,4
26,0.4,6,0,0,4
3,0.8,5,0,1,4
3,0.9,5,0,1,4
51,0.3,5,0,0,4
3,1,4,0,1,4
4,0.1,1,0,0,4
4,0.2,2,0,0,4
4,0.3,1,0,0,4
26,0.5,7,0,0,4
4,0.4,6,0,1,4
76,0.2,5,0,0,4
4,0.5,6,0,1,4
4,0.6,4,0,0,4
4,0.7,7,0,1,4
4,0.8,5,0,1,4
51,4,0.4,5,0,0,4
0.9,6,0,1,4
4,1,5,0.000999928,1,4
5,0.1,1,0,0,4
5,0.2,2,0,0,4
5,0.3,2,0,0,4
26,0.6,44,0.000999928,1,4
5,0.4,3,0,0,4
5,0.5,2,0,0,4
5,0.6,6,0,0,4
