n_threads,iteration,time
5,9,1.59322
5,10,1.44714
5,12,1.46878
5,11,1.49903
5,13,1.47212
5,14,1.43656
5,15,1.42994
5,16,1.39327
5,18,1.35924
5,17,1.48513
5,19,1.42625
5,20,1.48181
5,22,1.54158
5,21,1.57032
5,23,1.5303
5,24,1.58601
5,25,1.51134
5,26,1.51117
5,27,1.53709
5,28,1.51706
5,29,1.56878
5,30,1.46039
5,31,1.48895
5,33,1.4292
5,32,1.52362
5,34,1.51582
5,35,1.44063
5,37,1.41168
5,36,1.4723
5,38,1.50382
5,39,1.49893
5,40,1.42759
5,41,1.44892
5,42,1.47762
5,43,1.42664
5,44,1.46253
5,45,1.46946
5,46,1.47103
5,47,1.45128
5,48,1.5035
5,49,1.4315
5,50,1.46354
5,51,1.48481
5,52,1.45896
5,53,1.52474
5,54,1.45688
5,55,1.3908
5,57,1.43257
5,56,1.46538
5,58,1.43862
5,59,1.42066
5,60,1.46566
5,62,1.49054
5,61,1.54407
5,63,1.45657
5,64,1.49407
5,65,1.34904
5,66,1.49587
5,67,1.4592
5,68,1.40797
5,69,1.48699
5,70,1.41583
5,71,1.41153
5,72,1.42745
5,73,1.4933
5,74,1.45948
5,75,1.3592
5,76,1.42243
5,77,1.46006
5,78,1.40552
5,79,1.42507
5,80,1.35593
5,82,1.40992
5,81,1.46616
5,83,1.4775
5,84,1.47236
5,85,1.37922
5,86,1.46552
5,87,1.50496
5,88,1.53786
5,89,1.5604
5,90,1.45766
5,91,1.40232
5,92,1.41671
5,93,1.39998
5,94,1.38571
5,95,1.30473
5,96,1.16859
5,97,1.1654
5,98,1.06039
5,99,0.942776
6,1,2.26386
6,4,2.34914
6,2,2.35971
6,5,2.39875
6,3,2.45633
6,0,2.7733
6,6,2.67716
6,8,2.63387
6,9,2.61219
6,7,2.72382
6,10,2.68952
6,11,2.59257
6,12,2.32614
6,13,2.38219
6,15,2.33178
6,14,2.60959
6,16,2.49898
6,17,2.64452
6,18,2.65254
6,19,2.57953
6,20,2.79552
6,21,2.71729
6,22,2.71092
6,23,2.61631
6,24,2.39725
6,25,2.44975
6,26,2.39929
6,27,2.46325
6,28,2.68975
6,29,2.75721
6,30,2.35434
6,31,2.48866
6,32,2.53663
6,33,2.61947
6,34,2.45373
6,35,2.7098
6,36,2.57609
6,37,2.63142
6,38,2.53676
6,39,2.61843
6,40,2.54177
6,41,2.6627
6,42,2.46961
6,43,2.63703
6,44,2.4994
6,45,2.60414
6,46,2.60236
6,47,2.71715
6,48,2.60915
6,49,2.63817
6,50,2.63085
6,51,2.67625
6,52,2.71316
6,53,2.62515
6,54,2.70944
6,56,2.66701
6,55,2.72152
6,57,2.57092
6,58,2.63179
6,59,2.68594
6,60,2.77089
6,61,2.67319
6,62,2.6997
6,63,2.68308
6,64,2.63929
6,65,2.67753
6,66,2.68114
6,67,2.66757
6,68,2.65637
6,69,2.75075
6,70,2.76189
6,71,2.66319
6,72,2.59741
6,73,2.41709
6,74,2.58542
6,76,2.16698
6,75,2.28304
6,77,2.19543
6,78,2.32137
6,79,2.52792
6,81,2.29223
6,80,2.51052
6,82,2.48656
6,83,2.6276
6,84,2.60367
6,86,2.50376
6,85,2.63849
6,87,2.55912
6,88,2.58372
6,89,2.57882
6,90,2.41921
6,92,2.47381
6,91,2.6073
6,93,2.52834
6,94,2.63801
6,95,2.12611
6,96,1.67003
6,98,1.23664
6,99,1.15525
6,97,1.37155
7,1,3.50335
7,3,3.50547
7,6,3.56195
7,5,3.64082
7,4,3.69049
7,2,3.69395
7,0,3.76673
7,7,3.41362
7,8,3.44688
7,9,3.49775
7,10,3.49047
7,13,3.53583
7,11,3.6192
7,12,3.83387
7,16,3.16648
7,14,3.40709
7,15,3.41554
7,17,3.31711
7,18,3.41979
7,19,3.75774
7,20,3.59001
7,21,3.24632
7,22,3.61305
7,23,3.57698
7,24,3.6521
7,25,3.73991
7,26,3.6495
7,27,3.71188
7,28,3.5411
7,30,3.61848
7,31,3.52847
7,29,3.70005
7,32,3.50777
7,33,3.69246
7,34,3.61817
7,35,3.56358
7,37,3.62913
7,38,3.6404
7,36,3.82177
7,39,3.71643
7,41,3.46556
7,40,3.52299
7,42,3.49166
7,43,3.58769
7,45,3.60559
7,46,3.52315
7,44,4.04436
7,47,3.62965
7,48,4.07762
7,49,3.52381
7,50,3.51689
7,51,3.60942
7,52,3.96934
7,54,3.63684
7,53,4.07141
7,55,3.42118
7,56,3.48732
7,58,3.49789
7,57,3.73689
7,60,3.57554
7,59,3.81512
7,61,4.16099
7,62,4.254
7,63,3.40081
7,64,3.64078
7,65,3.85868
7,66,3.63556
7,67,3.90102
7,68,3.6775
7,69,3.929
7,70,3.73085
7,71,3.65269
7,72,3.81141
7,73,3.72062
7,74,3.47216
7,75,3.51302
7,76,3.26561
7,77,3.9582
7,78,3.80421
7,79,3.69956
7,80,3.65914
7,81,3.60524
7,82,3.49842
7,83,3.9277
7,84,3.46331
7,85,3.48508
7,86,3.32273
7,87,3.04495
7,88,3.21647
7,89,3.19216
7,90,3.16213
7,91,2.97467
7,92,3.03826
7,95,2.8332
7,93,3.25065
7,94,3.22907
7,96,2.87378
7,97,2.42755
7,98,1.84566
7,99,0.949354
8,2,4.54847
8,7,4.56691
8,0,4.72434
8,1,4.72722
8,6,4.72775
8,4,4.74502
8,5,4.74519
8,3,4.85507
8,10,4.31408
8,14,4.44604
8,13,4.45601
8,8,4.69791
8,12,4.53169
8,11,4.62256
8,15,4.54551
8,9,4.85691
8,17,4.25438
8,22,4.17611
8,19,4.36782
8,16,4.58865
8,20,4.39027
8,18,4.59405
8,21,4.53836
8,23,4.85563
8,25,4.47005
8,24,4.75705
8,26,4.6721
8,28,4.79354
8,27,5.03845
8,30,4.84846
8,29,4.94529
8,31,4.78935
8,32,4.43396
8,34,4.50427
8,33,4.83753
8,35,5.00826
8,36,4.81315
8,37,4.74857
8,38,4.81332
8,39,5.01953
8,40,4.51057
8,41,4.90887
8,42,4.95342
8,46,4.55511
8,43,4.68627
8,45,4.71924
8,44,5.05298
8,47,4.75422
8,48,4.93988
8,49,4.74242
8,50,4.83922
8,51,4.73863
8,53,4.70654
8,52,4.88199
8,54,4.8696
8,55,5.17571
8,56,4.69306
8,57,4.93106
8,59,4.73192
8,58,4.77508
8,60,4.81092
8,61,4.87768
8,62,5.03467
8,63,4.64799
8,64,4.6239
8,67,4.43321
8,65,4.93008
8,68,4.78617
8,66,5.17047
8,69,4.85563
8,70,4.67803
8,71,4.48876
8,72,4.89801
8,73,4.67071
8,74,4.85899
8,75,4.72509
8,76,4.61964
8,77,4.92292
8,78,4.87611
8,79,4.98459
8,80,4.58235
8,81,5.01276
8,82,4.69148
8,84,4.65475
8,83,4.90719
8,85,4.82041
8,86,4.96082
8,87,4.93577
8,88,4.77746
8,89,4.53217
8,90,4.53696
8,91,4.56758
8,92,4.49269
8,93,4.5024
8,94,4.217
8,95,4.14401
8,96,2.28421
8,97,1.62107
8,99,1.32595
8,98,1.52888
9,4,5.29686
9,1,5.30855
9,3,5.37439
9,2,5.46436
9,5,5.53919
9,6,5.57485
9,8,5.58591
9,7,5.58983
9,0,5.62241
9,9,5.47379
9,12,5.34121
9,10,5.55194
9,16,5.41799
9,11,5.73273
9,15,5.67422
9,17,5.66732
9,13,5.75305
9,14,5.76747
9,22,4.94028
9,19,5.37088
9,18,5.53455
9,21,5.38099
9,20,5.79666
9,24,5.63787
9,25,5.71834
9,23,5.87469
9,26,5.9519
9,27,5.37088
9,29,5.21201
9,28,5.73824
9,30,5.58967
9,32,5.31159
9,31,5.65382
9,34,5.57949
9,35,5.44939
9,33,5.73472
9,36,5.00886
9,37,5.56259
9,40,5.05736
9,38,5.58126
9,41,5.26553
9,39,5.79807
9,43,5.4647
9,42,5.57223
9,44,5.83437
9,45,5.59726
9,46,5.47736
9,48,5.27832
9,47,5.81786
9,49,5.72254
9,50,5.66988
9,51,5.26793
9,52,5.60023
9,53,5.81886
9,54,5.7695
9,55,5.48357
9,56,5.45698
9,57,5.75445
9,60,5.48796
9,58,5.75308
9,59,5.6555
9,61,5.74493
9,62,5.65057
9,63,5.44957
9,64,5.35222
9,68,5.03125
9,65,5.86835
9,69,5.06962
9,66,5.77639
9,67,5.85122
9,70,5.88089
9,71,5.65888
9,73,5.26135
9,72,5.59901
9,74,5.09215
9,76,5.06857
9,75,5.84122
9,77,5.54816
9,78,5.67616
9,79,5.68889
9,80,5.82134
9,81,5.59917
9,82,5.45998
9,84,5.64166
9,83,5.73381
9,85,5.66352
9,86,5.56584
9,87,5.43704
9,88,5.78742
9,89,5.57414
9,92,5.08445
9,91,5.72389
9,90,5.80228
9,94,4.88804
9,93,5.61814
9,96,4.69416
9,95,4.95958
9,97,3.81881
9,98,3.73477
9,99,1.19402
10,6,6.15196
10,8,6.25148
10,9,6.31205
10,0,6.34086
10,2,6.34616
10,5,6.39682
10,1,6.41219
10,4,6.46582
10,7,6.52268
10,3,6.54002
10,10,6.1007
10,17,5.93177
10,13,6.14634
10,18,6.00727
10,15,6.36183
10,12,6.44775
10,11,6.55254
10,16,6.59375
10,14,6.69925
10,19,6.52877
10,20,6.28429
10,22,6.32005
10,21,6.42229
10,23,6.46318
10,27,6.12448
10,24,6.40084
10,25,6.40986
10,26,6.42257
10,28,6.55785
10,29,6.5487
10,30,6.15449
10,32,5.98257
10,36,6.00274
10,35,6.06412
10,31,6.7227
10,37,6.37692
10,33,6.64022
10,34,6.71029
10,38,6.50867
10,39,6.52059
10,41,6.14082
10,40,6.37808
10,42,6.50591
10,43,6.55365
10,46,6.35359
10,45,6.40566
10,44,6.55253
10,49,5.95755
10,47,6.32052
10,48,6.50534
10,50,5.92018
10,51,6.18095
10,52,6.53808
10,53,6.44445
10,55,6.2207
10,57,6.17415
10,58,6.37227
10,56,6.50333
10,54,6.61296
10,59,6.7342
10,60,6.16522
10,61,6.15152
10,63,5.79868
10,65,5.81872
10,64,6.67076
10,62,6.77364
10,66,6.53711
10,67,6.66581
10,68,6.73908
10,69,6.73385
10,70,6.18356
10,71,6.19122
10,72,6.34217
10,73,6.3308
10,74,6.29098
10,75,6.45845
10,76,6.59822
10,77,6.43557
10,78,6.54249
10,79,6.34262
10,80,6.24127
10,81,6.47662
10,82,6.46936
10,83,6.47626
10,84,6.07713
10,86,6.11351
10,85,6.33664
10,87,6.40473
10,88,6.62202
10,89,6.56473
10,90,6.26899
10,91,6.39288
10,92,6.02525
10,93,6.00269
10,94,5.72272
10,95,5.23299
10,96,5.28361
10,97,5.05007
10,98,4.64496
10,99,4.23848
11,0,6.97749
11,5,6.99495
11,9,7.05721
11,7,7.07587
11,1,7.10491
11,3,7.14269
11,4,7.14969
11,8,7.19084
11,2,7.23264
11,10,7.28884
11,6,7.28914
11,12,7.02341
11,13,7.06638
11,15,7.04093
11,11,7.21212
11,14,7.18906
11,18,7.11037
11,16,7.17955
11,17,7.1823
11,19,7.26485
11,20,7.2145
11,21,7.2387
11,23,7.07558
11,22,7.24254
11,24,7.14764
11,25,7.20375
11,27,7.10808
11,32,6.92645
11,30,6.98475
11,26,7.27433
11,31,7.03938
11,29,7.24104
11,28,7.29461
11,33,7.05959
11,34,7.11457
11,35,7.21323
11,39,7.05176
11,36,7.15684
11,38,7.15585
11,41,7.07772
11,37,7.26915
11,40,7.17052
11,42,7.18291
11,43,7.21124
11,44,7.1626
11,45,7.15379
11,46,7.07096
