n,p,n_steps,time,bottom_reached
1,0.01,2,0.000396922,1
1,0.02,1,1.3452e-05,0
1,0.03,1,9.20147e-06,0
1,0.04,1,4.09782e-07,0
1,0.05,1,9.15676e-06,0
1,0.06,2,4.95464e-07,1
1,0.07,1,7.82311e-07,0
1,0.08,1,2.37413e-05,0
1,0.09,1,9.77516e-06,0
1,0.1,1,6.07222e-07,0
1,0.11,1,5.26123e-05,0
1,0.12,2,5.47618e-07,1
1,0.13,1,1.11759e-05,0
1,0.14,1,6.74278e-07,0
1,0.15,1,1.9066e-05,0
1,0.16,1,2.6878e-05,0
1,0.17,1,7.45058e-07,0
1,0.18,1,2.98098e-05,0
5,0.01,1,0.00102802,0
1,0.19,2,1.95801e-05,1
1,0.2,2,8.00937e-07,1
1,0.21,1,5.43892e-07,0
1,0.22,1,1.40518e-05,0
1,0.23,1,9.90927e-07,0
1,0.24,1,1.0848e-05,0
1,0.25,2,9.913e-06,1
1,0.26,2,4.88013e-07,1
13,0.01,1,0.00113848,0
1,0.27,2,5.30928e-05,1
1,0.28,1,6.4075e-07,0
1,0.29,1,2.06754e-05,0
1,0.3,1,1.63428e-05,0
1,0.31,2,1.41039e-05,1
1,0.32,1,2.94819e-05,0
1,0.33,1,1.24052e-05,0
1,0.34,1,5.17815e-07,0
1,0.35,1,9.53302e-06,0
1,0.36,1,4.43384e-05,0
1,0.37,1,7.59959e-07,0
1,0.38,1,4.11831e-05,0
1,0.39,1,1.80565e-05,0
1,0.4,1,7.0408e-07,0
1,0.41,1,5.28991e-07,0
1,0.42,1,9.89437e-06,0
5,0.02,1,0.000355378,0
1,0.43,1,1.11125e-05,0
1,0.44,1,6.14673e-07,0
9,0.01,1,0.00141609,0
1,0.45,2,1.25878e-05,1
1,0.46,2,2.28211e-05,1
1,0.47,2,1.96211e-05,1
1,0.48,1,2.39722e-05,0
1,0.49,1,1.86525e-05,0
1,0.5,2,2.48365e-05,1
1,0.51,1,2.1968e-05,0
1,0.52,2,7.6741e-07,1
1,0.53,1,5.17815e-07,0
1,0.54,1,7.86036e-07,0
1,0.55,1,1.38097e-05,0
1,0.56,1,1.04792e-05,0
1,0.57,2,1.25915e-06,1
1,0.58,2,6.31958e-05,1
1,0.59,2,1.13845e-05,1
1,0.6,2,1.48304e-05,1
1,0.61,1,5.58794e-07,0
1,0.62,2,8.53091e-06,1
1,0.63,1,5.60768e-05,0
5,0.03,1,0.000361659,0
1,0.64,2,1.12392e-05,1
1,0.65,1,2.08318e-05,0
1,0.66,1,7.33882e-07,0
1,0.67,2,6.27898e-05,1
1,0.68,2,1.02818e-06,1
1,0.69,2,4.84288e-07,1
1,0.7,2,5.99623e-05,1
1,0.71,2,5.47618e-07,1
1,0.72,2,8.49366e-07,1
9,0.02,1,0.000521693,0
1,0.73,2,2.7664e-05,1
1,0.74,1,9.68575e-07,0
1,0.75,1,1.08257e-05,0
1,0.76,2,1.10716e-05,1
1,0.77,2,1.64285e-05,1
1,0.78,2,2.35587e-05,1
25,0.01,1,0.00202494,0
1,0.79,2,1.0211e-05,1
1,0.8,2,1.07847e-05,1
1,0.81,2,6.51926e-07,1
1,0.82,2,4.19095e-05,1
1,0.83,2,2.00607e-05,1
1,0.839999,1,4.73112e-07,0
5,0.04,1,0.000363205,0
1,0.849999,2,2.91355e-05,1
1,0.859999,1,1.38581e-06,0
1,0.869999,2,1.72295e-05,1
1,0.879999,2,1.15931e-05,1
1,0.889999,2,1.38208e-05,1
1,0.899999,1,7.7486e-07,0
1,0.909999,2,2.09808e-05,1
1,0.919999,2,1.56052e-05,1
1,0.929999,2,8.73953e-06,1
1,0.939999,1,4.28893e-05,0
1,0.949999,2,2.76715e-05,1
5,0.05,1,0.00023159,0
1,0.959999,2,4.5497e-05,1
9,0.03,1,0.000458747,0
5,0.06,2,9.74908e-05,0
1,0.969999,2,0.000162151,1
1,0.979999,2,4.99189e-07,1
1,0.989999,2,1.23344e-05,1
1,0.999999,2,7.33882e-07,1
5,0.07,1,0.000202537,0
5,0.08,2,0.000201937,0
17,0.01,1,0.0029908,0
13,0.02,1,0.00198432,0
9,0.04,1,0.000762694,0
5,0.09,2,0.000312172,0
2,0.01,1,0.000680838,0
2,0.02,1,5.36218e-05,0
2,0.03,2,7.72178e-05,0
2,0.04,1,1.07288e-06,0
2,0.05,1,2.30595e-06,0
2,0.06,2,1.14143e-05,0
2,0.07,2,1.42679e-06,0
5,0.1,1,0.000268064,0
2,0.08,1,9.16868e-05,0
21,0.01,1,0.00354767,0
2,0.09,1,7.72588e-05,0
2,0.1,1,5.1178e-05,0
5,0.11,2,0.000204671,0
2,0.11,1,7.40699e-05,0
2,0.12,1,4.03151e-05,0
9,0.05,2,0.000615578,0
2,0.13,1,0.000165042,0
5,0.12,2,0.000273585,0
2,0.14,1,9.71705e-05,0
2,0.15,2,1.95876e-05,0
2,0.16,1,4.14811e-05,0
2,0.17,1,2.27317e-05,0
2,0.18,1,6.16536e-05,0
2,0.19,1,1.52364e-06,0
2,0.2,1,6.20447e-05,0
2,0.21,1,5.28283e-05,0
5,0.13,1,0.000366338,0
2,0.22,1,6.48871e-05,0
2,0.23,1,1.06171e-06,0
2,0.24,2,0.000111703,0
2,0.25,2,8.35247e-05,0
2,0.26,1,1.78814e-06,0
5,0.14,1,0.000267476,0
2,0.27,2,6.05322e-05,0
2,0.28,2,4.11272e-05,0
2,0.29,1,1.45175e-05,0
2,0.3,2,2.61143e-06,0
2,0.31,2,4.91403e-05,0
9,0.06,1,0.000920601,0
5,0.15,1,0.000140894,0
2,0.32,2,1.55568e-05,0
2,0.33,1,1.02147e-05,0
2,0.34,3,1.19507e-05,1
2,0.35,1,3.90485e-05,0
13,0.03,2,0.00168119,0
5,0.16,1,0.000153728,0
2,0.36,2,0.000110421,0
2,0.37,3,2.35736e-05,1
2,0.38,1,6.50063e-05,0
2,0.39,2,4.35561e-05,0
5,0.17,3,0.000202067,0
2,0.4,1,9.76734e-05,0
2,0.41,1,2.08989e-06,0
2,0.42,4,1.42306e-06,1
5,0.18,2,0.00014054,0
2,0.43,3,0.000145569,1
2,0.44,1,8.14945e-05,0
17,0.02,1,0.00240061,0
2,0.45,2,3.64818e-05,0
9,0.07,1,0.000712708,0
5,0.19,1,0.00027081,0
2,0.46,2,0.000109643,0
2,0.47,1,5.91762e-05,0
2,0.48,2,1.63913e-06,0
5,0.2,6,0.00017298,0
13,0.04,1,0.00096944,0
2,0.49,2,0.000221372,0
5,0.21,1,0.000261474,0
2,0.5,2,0.000147965,0
2,0.51,1,1.5907e-06,0
2,0.52,1,1.42679e-06,0
2,0.53,2,5.65574e-05,0
2,0.54,4,3.45111e-05,1
2,0.55,1,1.11237e-05,0
25,0.02,1,0.00407422,0
2,0.56,2,4.94495e-05,0
2,0.57,3,5.9858e-05,1
9,0.08,1,0.000771813,0
5,0.22,2,0.000275902,0
29,0.01,1,0.00620965,0
2,0.58,2,5.44526e-05,0
21,0.02,1,0.00271462,0
2,0.59,4,7.44611e-05,1
5,0.23,1,0.000191148,0
2,0.6,3,9.89214e-05,1
2,0.61,2,1.57952e-06,0
2,0.62,3,0.000124648,1
5,0.24,2,0.000226609,0
2,0.63,3,0.000170846,1
2,0.64,2,1.31503e-06,0
2,0.65,3,1.17682e-05,1
2,0.66,4,2.08616e-05,1
2,0.67,2,5.41136e-05,0
5,0.25,2,0.000243507,0
13,0.05,1,0.00112294,0
2,0.68,3,0.000127461,1
2,0.69,3,4.33959e-05,1
2,0.7,4,6.36242e-05,1
2,0.71,2,1.22264e-05,0
2,0.72,4,2.17184e-05,1
2,0.73,3,3.51183e-05,1
5,0.26,2,0.000255775,0
9,0.09,2,0.000950798,0
2,0.74,3,5.65834e-05,1
5,0.27,8,0.000106115,1
2,0.75,2,7.02627e-05,0
2,0.76,3,8.89637e-05,1
17,0.03,1,0.00200655,0
2,0.77,4,0.000106774,1
5,0.28,2,0.000244725,0
9,0.1,1,0.000339452,0
2,0.78,3,9.63137e-05,1
2,0.79,4,4.6704e-05,1
5,0.29,1,0.000124544,0
2,0.8,4,4.26024e-05,1
2,0.81,4,4.3083e-05,1
2,0.82,3,2.67848e-06,1
33,0.01,2,0.0076846,0
5,0.3,3,0.000125684,0
2,0.83,4,8.2165e-05,1
2,0.839999,2,1.53854e-06,0
2,0.849999,3,0.00011773,1
5,0.31,2,0.000201419,0
2,0.859999,3,6.91973e-05,1
2,0.869999,4,4.11458e-05,1
2,0.879999,3,1.07959e-05,1
2,0.889999,4,2.43112e-05,1
2,0.899999,3,4.8928e-05,1
2,0.909999,3,7.33249e-05,1
2,0.919999,3,4.15668e-05,1
5,0.32,3,0.000358831,0
2,0.929999,4,9.13925e-05,1
2,0.939999,3,1.46031e-06,1
9,0.11,1,0.000829563,0
13,0.06,2,0.0014643,0
5,0.33,2,9.121e-05,0
2,0.949999,3,9.75318e-05,1
2,0.959999,3,4.80935e-05,1
2,0.969999,3,1.19321e-05,1
5,0.34,3,0.000135832,0
2,0.979999,3,9.03755e-05,1
2,0.989999,3,5.99027e-05,1
2,0.999999,3,1.03898e-05,1
3,0.01,1,8.80472e-05,0
21,0.03,1,0.00249925,0
5,0.35,3,0.000282612,0
3,0.02,1,0.000215713,0
3,0.03,1,0.000112049,0
5,0.36,4,0.00032907,0
3,0.04,1,0.000122365,0
9,0.12,2,0.000865631,0
17,0.04,1,0.00186183,0
3,0.05,2,0.000136163,0
3,0.06,1,8.27052e-05,0
5,0.37,1,0.000334714,0
3,0.07,2,0.000130672,0
3,0.08,1,2.14092e-05,0
9,0.13,1,0.000363059,0
3,0.09,1,0.000116218,0
5,0.38,3,0.000230912,0
13,0.07,2,0.0013549,0
3,0.1,1,0.000148337,0
5,0.39,4,0.000191186,0
25,0.03,2,0.00387931,0
5,0.4,2,0.000131264,0
3,0.11,1,0.000248447,0
37,0.01,1,0.0100772,0
5,0.41,3,0.000185903,0
9,0.14,2,0.000766702,0
41,0.01,2,0.0104453,0
5,0.42,2,0.000283472,0
29,0.02,1,0.00447742,0
3,0.12,1,0.0006846,0
5,0.43,8,0.000324339,1
17,0.05,1,0.00177978,0
3,0.13,4,0.000314429,1
13,0.08,2,0.00132677,0
9,0.15,3,0.000813454,0
5,0.44,7,0.000434674,1
45,0.01,1,0.01134,0
3,0.14,1,0.00027613,0
3,0.15,1,8.88854e-05,0
5,0.45,10,0.000292014,1
9,0.16,2,0.000517629,0
3,0.16,1,0.000209033,0
3,0.17,1,0.000226635,0
5,0.46,7,0.000363793,1
3,0.18,1,5.93923e-05,0
3,0.19,1,0.000157297,0
21,0.04,2,0.00340426,0
3,0.2,1,0.000172649,0
5,0.47,2,0.000373788,0
9,0.17,2,0.000686251,0
3,0.21,2,8.2761e-05,0
13,0.09,1,0.00134548,0
3,0.22,2,6.38925e-05,0
3,0.23,1,2.96682e-05,0
3,0.24,1,9.3352e-05,0
3,0.25,1,4.74341e-05,0
3,0.26,5,4.43831e-05,1
3,0.27,1,0.000115845,0
5,0.48,4,0.000470482,0
3,0.28,2,7.00094e-05,0
3,0.29,1,0.000149164,0
3,0.3,2,6.97188e-05,0
5,0.49,3,0.000295389,0
17,0.06,1,0.00209024,0
9,0.18,2,0.000851255,0
3,0.31,2,0.000202518,0
3,0.32,1,4.59142e-05,0
3,0.33,2,0.00011861,0
5,0.5,2,0.000392567,0
5,0.51,3,7.90395e-05,0
3,0.34,1,0.000118509,0
3,0.35,4,0.000128105,1
3,0.36,4,2.43783e-05,0
3,0.37,4,8.23066e-05,1
13,0.1,3,0.00141059,0
3,0.38,3,8.0362e-05,0
5,0.52,6,0.000334967,0
9,0.19,2,0.000774447,0
3,0.39,1,0.000241879,0
3,0.4,2,8.18782e-05,0
5,0.53,6,0.000325631,0
3,0.41,2,0.000152566,0
5,0.54,2,0.000201534,0
3,0.42,5,0.000124663,1
3,0.43,3,6.35684e-05,0
3,0.44,1,8.78796e-05,0
5,0.55,4,0.000237055,0
21,0.05,2,0.00253991,0
3,0.45,2,0.00012533,0
9,0.2,2,0.000798933,0
5,0.56,4,0.0002192,0
3,0.46,3,0.000130683,0
3,0.47,2,6.18622e-05,0
9,0.21,2,0.000423186,0
5,0.57,7,0.000321899,0
3,0.48,2,0.000204332,0
13,0.11,2,0.0014458,0
3,0.49,3,4.83505e-05,0
25,0.04,2,0.00540004,0
49,0.01,1,0.0154007,0
5,0.58,10,0.000211477,1
3,0.5,1,9.31025e-05,0
3,0.51,4,3.52524e-05,0
17,0.07,1,0.00234191,0
3,0.52,3,4.64022e-05,0
3,0.53,4,8.43704e-05,1
5,0.59,2,0.000225514,0
3,0.54,3,7.81007e-05,0
29,0.03,1,0.00502403,0
5,0.6,9,9.47565e-05,1
3,0.55,4,7.36453e-05,1
3,0.56,1,0.000100501,0
5,0.61,6,0.000185277,1
33,0.02,2,0.00826072,0
3,0.57,4,0.000131804,0
3,0.58,5,1.25654e-05,1
9,0.22,5,0.000797059,0
3,0.59,4,2.99923e-05,1
3,0.6,4,4.1768e-05,1
13,0.12,2,0.000792507,0
5,0.62,6,0.000258189,1
3,0.61,2,0.000182968,0
3,0.62,5,0.000184298,1
5,0.63,7,0.000351064,1
9,0.23,1,0.000636481,0
5,0.64,12,0.000112057,1
3,0.63,6,0.000257496,1
3,0.64,5,0.000117332,1
3,0.65,5,0.000102058,1
3,0.66,4,8.05221e-05,1
5,0.65,3,0.000370368,0
3,0.67,4,0.00015372,1
13,0.13,3,0.00114428,0
9,0.24,2,0.000593685,0
53,0.01,2,0.0173089,0
5,0.66,6,0.000293262,0
3,0.68,4,0.000164922,1
37,0.02,2,0.00728268,0
3,0.69,2,7.69459e-05,0
5,0.67,9,0.000183158,1
3,0.7,5,0.000161942,1
3,0.71,5,0.000128772,1
9,0.25,3,0.000472367,0
5,0.68,8,0.000214398,1
3,0.72,3,5.43743e-05,0
3,0.73,5,7.70018e-05,1
5,0.69,5,0.000200722,0
3,0.74,4,0.000186805,1
21,0.06,2,0.00341149,0
3,0.75,4,0.000133958,1
9,0.26,2,0.000477999,0
5,0.7,3,0.000265844,0
5,0.71,6,6.57067e-05,0
17,0.08,2,0.00281356,0
3,0.76,5,0.000173382,1
3,0.77,4,3.59304e-05,1
3,0.78,4,0.000108607,1
5,0.72,7,0.00026444,1
3,0.79,6,0.000108697,1
3,0.8,5,3.5353e-06,1
3,0.81,4,0.000159677,1
5,0.73,8,0.000319723,1
3,0.82,5,0.000208102,1
5,0.74,8,0.000192534,1
25,0.05,2,0.00365129,0
9,0.27,3,0.00088321,0
57,0.01,1,0.0190836,0
3,0.83,4,0.000140555,1
13,0.14,6,0.00202335,0
3,0.839999,3,0.000171576,0
3,0.849999,5,0.000154663,1
5,0.75,9,0.000489421,1
3,0.859999,4,0.000140525,1
5,0.76,8,9.66452e-05,1
3,0.869999,4,0.000158783,1
9,0.28,1,0.000694659,0
3,0.879999,4,9.07928e-05,1
3,0.889999,5,0.000127811,1
5,0.77,7,0.000351757,1
3,0.899999,5,3.44254e-05,1
3,0.909999,5,3.75025e-05,1
9,0.29,2,0.000336878,0
3,0.919999,5,0.000132356,1
5,0.78,7,0.000295386,1
3,0.929999,6,0.00013255,1
3,0.939999,4,9.19998e-05,1
17,0.09,1,0.00207658,0
61,0.01,3,0.0204315,0
29,0.04,2,0.00471274,0
5,0.79,7,0.000234213,1
3,0.949999,5,0.000129092,1
3,0.959999,4,0.000142042,1
9,0.3,4,0.000641719,0
3,0.969999,4,0.000105307,1
3,0.979999,4,3.84301e-05,1
5,0.8,10,0.000383642,1
3,0.989999,4,0.000186533,1
5,0.81,7,0.00022852,1
3,0.999999,4,0.000181563,1
4,0.01,1,8.49925e-05,0
41,0.02,1,0.0108161,0
21,0.07,1,0.0031747,0
9,0.31,5,0.000587869,0
5,0.82,7,0.000237536,1
4,0.02,1,0.000235144,0
5,0.83,7,0.000182409,1
5,0.839999,7,0.000187088,1
13,0.15,3,0.00257624,0
9,0.32,6,0.000620801,0
4,0.03,2,0.000528809,0
4,0.04,1,0.000105694,0
5,0.849999,8,0.000422873,1
33,0.03,2,0.00622739,0
4,0.05,2,0.000286851,0
5,0.859999,7,0.000394639,1
9,0.33,4,0.000715848,0
4,0.06,1,0.000271589,0
4,0.07,1,9.1061e-05,0
5,0.869999,7,0.000252951,1
17,0.1,2,0.00256883,0
5,0.879999,8,0.000258002,1
4,0.08,1,0.000325069,0
5,0.889999,7,5.57899e-05,1
13,0.16,2,0.00145829,0
5,0.899999,8,0.00019522,1
25,0.06,2,0.00438597,0
9,0.34,1,0.000768796,0
68,0.01,2,0.0234687,0
45,0.02,1,0.0121289,0
4,0.09,1,0.000384562,0
5,0.909999,7,0.000285588,1
4,0.1,1,0.000145257,0
4,0.11,2,0.000192393,0
5,0.919999,7,0.000383686,1
9,0.35,2,0.000559837,0
4,0.12,1,0.0002212,0
5,0.929999,7,0.000342648,1
4,0.13,2,0.000395425,0
13,0.17,2,0.00122074,0
9,0.36,2,0.000650812,0
4,0.14,1,0.000228561,0
5,0.939999,6,0.000403002,1
21,0.08,2,0.00360384,0
4,0.15,1,0.00022836,0
5,0.949999,6,0.000316635,1
9,0.37,3,0.000436816,0
4,0.16,1,0.000309747,0
17,0.11,2,0.00232693,0
4,0.17,1,0.000133507,0
5,0.959999,7,0.000389177,1
4,0.18,2,0.000164151,0
4,0.19,1,5.97015e-05,0
37,0.03,2,0.0082598,0
5,0.969999,6,0.000274867,1
13,0.18,2,0.00125455,0
4,0.2,1,0.000206664,0
71,0.01,1,0.0260096,0
4,0.21,2,0.000221469,0
9,0.38,8,0.000964645,0
5,0.979999,7,0.000345986,1
65,0.01,1,0.0260852,0
4,0.22,2,0.000191718,0
5,0.989999,6,0.000203658,1
4,0.23,1,9.3177e-05,0
5,0.999999,6,0.000237621,1
29,0.05,2,0.00617457,0
4,0.24,2,0.000341818,0
9,0.39,2,0.00072071,0
6,0.01,1,0.000262912,0
4,0.25,2,0.000138812,0
17,0.12,1,0.00156891,0
25,0.07,1,0.00361868,0
4,0.26,1,0.000257656,0
13,0.19,2,0.00139674,0
6,0.02,1,0.000457928,0
9,0.4,9,0.000484429,0
4,0.27,2,0.000244416,0
4,0.28,1,1.27517e-05,0
4,0.29,5,0.000128686,1
6,0.03,1,0.000270285,0
4,0.3,5,0.00023615,0
4,0.31,3,6.60531e-05,0
4,0.32,2,0.000134774,0
21,0.09,2,0.00303574,0
9,0.41,10,0.000736356,0
4,0.33,1,0.000144981,0
4,0.34,1,0.000295069,0
6,0.04,1,0.000833336,0
4,0.35,4,0.000159804,0
33,0.04,2,0.00637116,0
6,0.05,1,0.00025481,0
9,0.42,2,0.000631329,0
17,0.13,2,0.00185321,0
13,0.2,3,0.00156513,0
4,0.36,3,0.000256334,0
4,0.37,2,0.000166789,0
6,0.06,2,0.000314884,0
4,0.38,4,0.000107568,0
6,0.07,1,0.000251163,0
4,0.39,4,0.000152867,0
9,0.43,7,0.000586502,0
4,0.4,2,6.19888e-05,0
41,0.03,1,0.00809231,0
4,0.41,2,0.000240218,0
6,0.08,1,0.000451904,0
4,0.42,7,0.000163469,1
4,0.43,2,0.000191141,0
9,0.44,13,0.000621378,1
6,0.09,2,0.000342138,0
4,0.44,3,0.000199731,0
4,0.45,3,5.50225e-06,0
4,0.46,7,4.32618e-05,1
13,0.21,3,0.00138669,0
4,0.47,6,0.000152249,1
6,0.1,1,0.000432085,0
4,0.48,5,0.00029451,0
9,0.45,4,0.000714384,0
17,0.14,2,0.00187993,0
4,0.49,2,0.000195198,0
6,0.11,1,0.000375181,0
74,0.01,2,0.030805,0
49,0.02,1,0.0154179,0
4,0.5,5,0.000209183,1
6,0.12,1,0.00021366,0
9,0.46,4,0.000471681,0
21,0.1,3,0.0032105,0
